fm,fold,seed,cell_type,wall_s,n_train_cells,device,smoke,timestamp
geneformer,loco_onek1k,0,CD4+ T,11215.947721004486,9500,cuda,False,2026-04-26T11:24:55
geneformer,loco_onek1k,0,CD4+ T,637.2680642604828,250,cuda,False,2026-04-26T12:16:02
geneformer,loco_onek1k,0,CD4+ T,118.68779802322388,250,cuda,False,2026-04-26T12:19:28
geneformer,loco_onek1k,0,CD4+ T,99.99316072463988,250,cuda,False,2026-04-26T12:21:45
geneformer,loco_onek1k,0,CD4+ T,16327.40205025673,9500,cuda,False,2026-04-26T20:34:48
geneformer,loco_onek1k,0,CD4+ T,15.451773643493652,16,cpu,True,2026-04-26T23:13:44
geneformer,loco_onek1k,0,CD4+ T,9354.000630140305,9500,cuda,False,2026-04-27T01:50:25
geneformer,loco_onek1k,0,CD4+ T,5993.8957278728485,9500,cuda,False,2026-04-27T09:05:47
geneformer,loco_onek1k,0,CD4+ T,8692.85576224327,9500,cuda,False,2026-04-27T11:57:44
geneformer,loco_onek1k,0,CD4+ T,15346.597869634628,93702,cuda,False,2026-04-27T16:33:19
geneformer,loco_onek1k,1,CD4+ T,5973.614086866379,9500,cuda,False,2026-04-27T18:16:16
geneformer,loco_onek1k,2,CD4+ T,5970.407015800476,9500,cuda,False,2026-04-27T19:56:31
geneformer,loco_terekhova,0,CD4+ T,21895.18797969818,50250,cuda,False,2026-04-28T02:39:33
geneformer,loco_onek1k,0,B,4576.490091085434,9687,cuda,False,2026-04-28T04:29:20
geneformer,loco_onek1k,0,NK,4808.559867620468,9709,cuda,False,2026-04-28T05:57:00
geneformer,loco_terekhova,0,B,16762.91155052185,48875,cuda,False,2026-04-28T10:44:06
geneformer,loco_onek1k,0,CD4+ T,5990.700713157654,9500,cuda,False,2026-04-29T07:54:58
