donor_id,true_age,predicted_age,n_cells
aida:IN_NIB_H019,25.0,39.80241,51
aida:IN_NIB_H020,29.0,38.741875,83
aida:IN_NIB_H021,24.0,31.444674,84
aida:IN_NIB_H022,26.0,32.361656,38
aida:IN_NIB_H023,29.0,31.885756,82
aida:IN_NIB_H024,24.0,39.013,218
aida:IN_NIB_H025,30.0,39.124313,82
aida:IN_NIB_H026,24.0,39.224648,172
aida:IN_NIB_H027,26.0,39.36196,90
aida:IN_NIB_H028,31.0,32.506516,64
aida:IN_NIB_H029,28.0,38.84091,86
aida:IN_NIB_H030,27.0,39.77633,76
aida:IN_NIB_H031,22.0,32.391895,127
aida:IN_NIB_H032,24.0,32.400333,43
aida:IN_NIB_H033,22.0,31.901651,35
aida:IN_NIB_H034,24.0,31.516283,154
aida:IN_NIB_H035,24.0,31.590324,156
aida:IN_NIB_H036,26.0,38.810272,252
aida:IN_NIB_H037,27.0,31.579962,149
aida:IN_NIB_H038,23.0,31.674017,287
aida:IN_NIB_H039,26.0,38.250927,109
aida:IN_NIB_H040,30.0,31.997124,101
aida:IN_NIB_H041,28.0,38.614773,200
aida:IN_NIB_H042,28.0,38.31702,112
aida:IN_NIB_H043,25.0,32.226444,131
aida:IN_NIB_H044,29.0,32.4077,125
aida:IN_NIB_H045,27.0,38.314114,185
aida:IN_NIB_H046,34.0,31.82883,132
aida:IN_NIB_H047,28.0,38.18876,178
aida:IN_NIB_H048,30.0,32.3834,43
aida:JP_RIK_H001,34.0,32.10012,14
aida:JP_RIK_H002,23.0,32.17614,25
aida:JP_RIK_H003,47.0,31.622175,18
aida:JP_RIK_H004,37.0,36.694786,6
aida:JP_RIK_H005,37.0,37.700798,9
aida:JP_RIK_H006,48.0,32.240864,15
aida:JP_RIK_H007,45.0,37.612362,6
aida:JP_RIK_H008,43.0,37.002758,9
aida:JP_RIK_H009,26.0,37.358013,17
aida:JP_RIK_H010,46.0,36.81593,41
aida:JP_RIK_H011,31.0,38.04064,21
aida:JP_RIK_H012,49.0,36.86618,48
aida:JP_RIK_H013,24.0,37.39246,41
aida:JP_RIK_H014,47.0,37.12595,62
aida:JP_RIK_H015,63.0,31.945053,32
aida:JP_RIK_H016,33.0,36.498104,217
aida:JP_RIK_H017,47.0,36.6114,145
aida:JP_RIK_H018,39.0,36.073277,113
aida:JP_RIK_H019,21.0,31.159286,83
aida:JP_RIK_H020,45.0,36.160694,88
aida:JP_RIK_H021,39.0,31.962162,215
aida:JP_RIK_H022,40.0,36.359726,144
aida:JP_RIK_H023,27.0,31.966509,47
aida:JP_RIK_H024,33.0,36.430347,63
aida:JP_RIK_H025,35.0,36.598232,289
aida:JP_RIK_H026,45.0,36.230694,208
aida:JP_RIK_H027,43.0,32.44756,189
aida:JP_RIK_H028,34.0,36.05403,130
aida:JP_RIK_H029,28.0,31.17548,124
aida:JP_RIK_H030,46.0,32.30016,127
aida:JP_RIK_H031,30.0,36.426193,116
aida:JP_RIK_H032,34.0,36.5338,138
aida:JP_RIK_H033,44.0,36.505497,310
aida:JP_RIK_H034,33.0,36.717274,139
aida:JP_RIK_H035,28.0,30.659504,44
aida:JP_RIK_H036,41.0,31.660141,168
aida:JP_RIK_H037,31.0,31.95897,104
aida:JP_RIK_H038,31.0,35.576935,155
aida:JP_RIK_H039,45.0,36.9242,95
aida:JP_RIK_H040,31.0,36.77844,113
aida:JP_RIK_H041,37.0,31.209057,133
aida:JP_RIK_H042,32.0,36.36883,121
aida:JP_RIK_H043,34.0,36.754044,159
aida:JP_RIK_H044,37.0,31.484081,275
aida:JP_RIK_H045,31.0,35.985718,196
aida:JP_RIK_H046,34.0,31.771805,116
aida:JP_RIK_H047,42.0,30.93176,270
aida:JP_RIK_H048,23.0,31.378416,56
aida:JP_RIK_H049,33.0,36.35657,155
aida:JP_RIK_H050,34.0,31.22274,179
aida:JP_RIK_H051,36.0,36.115845,179
aida:JP_RIK_H052,36.0,36.348667,109
aida:JP_RIK_H053,30.0,36.4185,63
aida:JP_RIK_H054,37.0,35.992012,244
aida:JP_RIK_H055,47.0,31.949036,109
aida:JP_RIK_H056,25.0,36.527596,99
aida:JP_RIK_H057,32.0,35.831104,84
aida:JP_RIK_H058,43.0,36.21848,121
aida:JP_RIK_H059,43.0,36.25117,121
aida:JP_RIK_H060,30.0,35.960243,112
aida:JP_RIK_H061,34.0,31.509422,147
aida:JP_RIK_H062,48.0,31.403269,204
aida:JP_RIK_H063,21.0,36.409866,113
aida:JP_RIK_H064,46.0,36.404392,179
aida:JP_RIK_H065,21.0,31.889008,156
aida:JP_RIK_H066,22.0,36.81266,116
aida:JP_RIK_H067,26.0,35.998573,172
aida:JP_RIK_H068,33.0,36.14934,163
aida:JP_RIK_H069,37.0,36.272587,131
aida:JP_RIK_H070,42.0,32.17865,83
aida:JP_RIK_H071,48.0,36.883484,132
aida:JP_RIK_H072,44.0,31.87056,132
aida:JP_RIK_H073,43.0,31.766748,114
aida:JP_RIK_H074,41.0,31.215271,98
aida:JP_RIK_H075,43.0,32.051716,75
aida:JP_RIK_H076,32.0,31.819592,169
aida:JP_RIK_H077,21.0,36.324726,106
aida:JP_RIK_H078,26.0,36.456642,198
aida:JP_RIK_H079,23.0,36.60574,113
aida:JP_RIK_H080,22.0,31.866142,87
aida:JP_RIK_H081,22.0,36.028168,174
aida:JP_RIK_H082,65.0,36.064198,103
aida:JP_RIK_H083,36.0,31.926083,233
aida:JP_RIK_H084,33.0,36.33543,123
aida:JP_RIK_H085,21.0,35.93936,125
aida:JP_RIK_H086,33.0,36.436756,101
aida:JP_RIK_H087,26.0,32.168488,230
aida:JP_RIK_H088,49.0,31.800297,304
aida:JP_RIK_H089,48.0,32.136826,190
aida:JP_RIK_H090,40.0,36.738514,227
aida:JP_RIK_H091,31.0,31.735893,162
aida:JP_RIK_H092,44.0,32.004303,154
aida:JP_RIK_H093,43.0,35.970486,207
aida:JP_RIK_H094,22.0,31.066929,79
aida:JP_RIK_H095,22.0,35.94118,162
aida:JP_RIK_H096,47.0,36.525883,129
aida:JP_RIK_H097,44.0,36.14455,173
aida:JP_RIK_H098,24.0,36.063976,171
aida:JP_RIK_H099,23.0,36.26251,131
aida:JP_RIK_H100,21.0,31.421904,137
aida:JP_RIK_H101,45.0,36.21124,101
aida:JP_RIK_H102,42.0,31.75789,169
aida:JP_RIK_H103,32.0,31.75237,198
aida:JP_RIK_H104,46.0,31.830816,212
aida:JP_RIK_H105,26.0,30.74665,131
aida:JP_RIK_H106,35.0,31.642258,60
aida:JP_RIK_H107,37.0,35.99356,130
aida:JP_RIK_H108,49.0,36.423447,136
aida:JP_RIK_H109,28.0,31.480225,116
aida:JP_RIK_H110,26.0,36.948177,354
aida:JP_RIK_H111,29.0,36.608616,161
aida:JP_RIK_H112,32.0,36.405533,180
aida:JP_RIK_H113,33.0,36.528774,266
aida:JP_RIK_H114,37.0,37.262207,134
aida:JP_RIK_H115,30.0,30.823769,94
aida:JP_RIK_H116,33.0,36.79379,297
aida:JP_RIK_H117,31.0,36.66882,166
aida:JP_RIK_H118,22.0,36.420494,138
aida:JP_RIK_H119,37.0,31.997433,53
aida:JP_RIK_H120,43.0,36.85908,121
aida:JP_RIK_H121,39.0,32.73524,41
aida:JP_RIK_H122,37.0,31.847048,87
aida:JP_RIK_H123,32.0,36.12463,58
aida:JP_RIK_H124,45.0,30.781942,71
aida:JP_RIK_H125,35.0,30.821842,50
aida:JP_RIK_H126,21.0,36.45048,54
aida:JP_RIK_H127,22.0,30.990738,53
aida:JP_RIK_H128,44.0,31.70814,19
aida:JP_RIK_H129,33.0,32.129158,126
aida:JP_RIK_H130,46.0,32.058136,122
aida:JP_RIK_H131,23.0,36.780052,172
aida:JP_RIK_H132,43.0,32.109756,64
aida:JP_RIK_H133,21.0,31.336185,15
aida:JP_RIK_H134,33.0,36.369404,25
aida:JP_RIK_H135,47.0,37.10958,48
aida:JP_RIK_H136,40.0,36.843357,55
aida:JP_RIK_H137,28.0,36.382595,251
aida:JP_RIK_H138,43.0,31.691072,185
aida:JP_RIK_H139,48.0,31.876408,126
aida:JP_RIK_H140,37.0,32.065475,256
aida:JP_RIK_H141,49.0,31.554737,136
aida:JP_RIK_H142,29.0,32.27309,87
aida:JP_RIK_H143,38.0,30.96672,120
aida:JP_RIK_H144,45.0,30.989529,123
aida:JP_RIK_H145,41.0,36.896343,176
aida:JP_RIK_H146,21.0,36.57006,162
aida:JP_RIK_H147,26.0,32.19657,175
aida:JP_RIK_H148,43.0,35.834404,134
