donor_id,true_age,predicted_age,n_cells
aida:JP_RIK_H001,34.0,33.06621,19
aida:JP_RIK_H002,23.0,32.203964,310
aida:JP_RIK_H003,47.0,32.551563,217
aida:JP_RIK_H004,37.0,36.706352,97
aida:JP_RIK_H005,37.0,35.9676,220
aida:JP_RIK_H006,48.0,32.42681,269
aida:JP_RIK_H007,45.0,36.342915,9
aida:JP_RIK_H008,43.0,36.697994,259
aida:JP_RIK_H009,26.0,36.363224,150
aida:JP_RIK_H010,46.0,36.287678,425
aida:JP_RIK_H011,31.0,36.585007,431
aida:JP_RIK_H012,49.0,36.69499,273
aida:JP_RIK_H013,24.0,36.34233,222
aida:JP_RIK_H014,47.0,36.08446,381
aida:JP_RIK_H015,63.0,32.588757,326
aida:JP_RIK_H016,33.0,35.59747,527
aida:JP_RIK_H017,47.0,35.80592,697
aida:JP_RIK_H018,39.0,35.6308,368
aida:JP_RIK_H019,21.0,31.6301,670
aida:JP_RIK_H020,45.0,35.46893,516
aida:JP_RIK_H021,39.0,32.405117,498
aida:JP_RIK_H022,40.0,35.881912,663
aida:JP_RIK_H023,27.0,31.36943,121
aida:JP_RIK_H024,33.0,35.869656,656
aida:JP_RIK_H025,35.0,35.937057,758
aida:JP_RIK_H026,45.0,35.457134,804
aida:JP_RIK_H027,43.0,32.44833,632
aida:JP_RIK_H028,34.0,35.28497,671
aida:JP_RIK_H029,28.0,31.86591,609
aida:JP_RIK_H030,46.0,32.26856,663
aida:JP_RIK_H031,30.0,36.3407,760
aida:JP_RIK_H032,34.0,35.519703,911
aida:JP_RIK_H033,44.0,35.261185,997
aida:JP_RIK_H034,33.0,35.62465,644
aida:JP_RIK_H035,28.0,31.393822,509
aida:JP_RIK_H036,41.0,31.618645,633
aida:JP_RIK_H037,31.0,31.981888,546
aida:JP_RIK_H038,31.0,35.137096,895
aida:JP_RIK_H039,45.0,36.092514,758
aida:JP_RIK_H040,31.0,35.85608,676
aida:JP_RIK_H041,37.0,32.0905,641
aida:JP_RIK_H042,32.0,35.394115,685
aida:JP_RIK_H043,34.0,36.02942,735
aida:JP_RIK_H044,37.0,32.14196,638
aida:JP_RIK_H045,31.0,35.981136,579
aida:JP_RIK_H046,34.0,31.632442,468
aida:JP_RIK_H047,42.0,31.60692,656
aida:JP_RIK_H048,23.0,31.753304,660
aida:JP_RIK_H049,33.0,34.90655,747
aida:JP_RIK_H050,34.0,31.53107,683
aida:JP_RIK_H051,36.0,35.181225,654
aida:JP_RIK_H052,36.0,35.286823,504
aida:JP_RIK_H053,30.0,35.489483,496
aida:JP_RIK_H054,37.0,35.419334,796
aida:JP_RIK_H055,47.0,32.057343,525
aida:JP_RIK_H056,25.0,35.65164,558
aida:JP_RIK_H057,32.0,35.049747,737
aida:JP_RIK_H058,43.0,36.335606,709
aida:JP_RIK_H059,43.0,35.31481,660
aida:JP_RIK_H060,30.0,34.764965,741
aida:JP_RIK_H061,34.0,31.716244,799
aida:JP_RIK_H062,48.0,31.857983,679
aida:JP_RIK_H063,21.0,35.735718,514
aida:JP_RIK_H064,46.0,36.412617,657
aida:JP_RIK_H065,21.0,31.883982,885
aida:JP_RIK_H066,22.0,35.944653,659
aida:JP_RIK_H067,26.0,35.6399,990
aida:JP_RIK_H068,33.0,36.13667,631
aida:JP_RIK_H069,37.0,36.198215,711
aida:JP_RIK_H070,42.0,31.880781,719
aida:JP_RIK_H071,48.0,36.162945,612
aida:JP_RIK_H072,44.0,32.1831,806
aida:JP_RIK_H073,43.0,32.266365,820
aida:JP_RIK_H074,41.0,32.21435,655
aida:JP_RIK_H075,43.0,32.076813,529
aida:JP_RIK_H076,32.0,31.756273,693
aida:JP_RIK_H077,21.0,35.322727,665
aida:JP_RIK_H078,26.0,35.836376,745
aida:JP_RIK_H079,23.0,35.38042,659
aida:JP_RIK_H080,22.0,31.651802,700
aida:JP_RIK_H081,22.0,34.925034,660
aida:JP_RIK_H082,65.0,36.028027,587
aida:JP_RIK_H083,36.0,31.866932,710
aida:JP_RIK_H084,33.0,35.283142,900
aida:JP_RIK_H085,21.0,35.737053,672
aida:JP_RIK_H086,33.0,35.497776,759
aida:JP_RIK_H087,26.0,31.855341,554
aida:JP_RIK_H088,49.0,31.880924,859
aida:JP_RIK_H089,48.0,31.757381,855
aida:JP_RIK_H090,40.0,35.866764,677
aida:JP_RIK_H091,31.0,31.390686,816
aida:JP_RIK_H092,44.0,31.762676,550
aida:JP_RIK_H093,43.0,35.405735,757
aida:JP_RIK_H094,22.0,31.68593,487
aida:JP_RIK_H095,22.0,35.00703,865
aida:JP_RIK_H096,47.0,35.499985,713
aida:JP_RIK_H097,44.0,35.43047,505
aida:JP_RIK_H098,24.0,34.936695,538
aida:JP_RIK_H099,23.0,35.41924,722
aida:JP_RIK_H100,21.0,31.332045,699
aida:JP_RIK_H101,45.0,35.695045,794
aida:JP_RIK_H102,42.0,32.241592,481
aida:JP_RIK_H103,32.0,31.826176,608
aida:JP_RIK_H104,46.0,31.637688,425
aida:JP_RIK_H105,26.0,31.656206,661
aida:JP_RIK_H106,35.0,32.068317,366
aida:JP_RIK_H107,37.0,35.93127,739
aida:JP_RIK_H108,49.0,36.28918,759
aida:JP_RIK_H109,28.0,32.147614,663
aida:JP_RIK_H110,26.0,36.052696,312
aida:JP_RIK_H111,29.0,35.79114,727
aida:JP_RIK_H112,32.0,35.577343,735
aida:JP_RIK_H113,33.0,36.084087,815
aida:JP_RIK_H114,37.0,36.63109,637
aida:JP_RIK_H115,30.0,32.218437,332
aida:JP_RIK_H116,33.0,36.346645,695
aida:JP_RIK_H117,31.0,35.798565,661
aida:JP_RIK_H118,22.0,35.889397,650
aida:JP_RIK_H119,37.0,32.295605,567
aida:JP_RIK_H120,43.0,36.13007,551
aida:JP_RIK_H121,39.0,32.010815,347
aida:JP_RIK_H122,37.0,31.733341,576
aida:JP_RIK_H123,32.0,35.587524,708
aida:JP_RIK_H124,45.0,32.261093,450
aida:JP_RIK_H125,35.0,31.513802,337
aida:JP_RIK_H126,21.0,35.50424,288
aida:JP_RIK_H127,22.0,31.671665,270
aida:JP_RIK_H128,44.0,32.3353,233
aida:JP_RIK_H129,33.0,32.256676,365
aida:JP_RIK_H130,46.0,32.468746,766
aida:JP_RIK_H131,23.0,35.94294,492
aida:JP_RIK_H132,43.0,32.576233,547
aida:JP_RIK_H133,21.0,31.32666,398
aida:JP_RIK_H134,33.0,35.784515,507
aida:JP_RIK_H135,47.0,36.376736,319
aida:JP_RIK_H136,40.0,36.359024,372
aida:JP_RIK_H137,28.0,35.48018,692
aida:JP_RIK_H138,43.0,32.0945,410
aida:JP_RIK_H139,48.0,32.15686,939
aida:JP_RIK_H140,37.0,32.24683,747
aida:JP_RIK_H141,49.0,32.492584,975
aida:JP_RIK_H142,29.0,32.05193,637
aida:JP_RIK_H143,38.0,31.73076,523
aida:JP_RIK_H144,45.0,31.872993,884
aida:JP_RIK_H145,41.0,35.970104,534
aida:JP_RIK_H146,21.0,36.029617,522
aida:JP_RIK_H147,26.0,32.06728,783
aida:JP_RIK_H148,43.0,36.152832,559
aida:JP_RIK_H149,21.0,31.663425,584
aida:KR_SGI_H001,41.0,32.8578,605
aida:KR_SGI_H002,26.0,37.311928,480
aida:KR_SGI_H003,48.0,38.11918,474
aida:KR_SGI_H004,38.0,33.01149,262
aida:KR_SGI_H005,34.0,37.606026,471
aida:KR_SGI_H006,27.0,37.487694,358
aida:KR_SGI_H007,30.0,37.970284,530
aida:KR_SGI_H008,33.0,37.895233,1031
aida:KR_SGI_H009,31.0,37.541187,635
aida:KR_SGI_H010,36.0,37.328247,692
aida:KR_SGI_H011,28.0,32.31308,589
aida:KR_SGI_H012,31.0,37.157883,864
aida:KR_SGI_H013,40.0,32.505337,598
aida:KR_SGI_H014,29.0,32.69488,461
aida:KR_SGI_H015,34.0,32.495506,581
aida:KR_SGI_H016,47.0,37.4379,751
aida:KR_SGI_H017,28.0,37.21454,604
aida:KR_SGI_H018,27.0,32.129044,644
aida:KR_SGI_H019,28.0,37.323536,484
aida:KR_SGI_H020,36.0,37.123497,469
aida:KR_SGI_H021,26.0,32.023884,543
aida:KR_SGI_H022,35.0,32.04964,424
aida:KR_SGI_H023,40.0,36.807323,649
aida:KR_SGI_H024,25.0,32.172188,443
aida:KR_SGI_H025,40.0,37.496357,697
aida:KR_SGI_H026,38.0,36.740826,747
aida:KR_SGI_H027,33.0,37.196014,746
aida:KR_SGI_H028,39.0,37.268612,615
aida:KR_SGI_H029,28.0,37.10498,639
aida:KR_SGI_H030,34.0,31.9268,804
aida:KR_SGI_H031,29.0,32.35898,586
aida:KR_SGI_H032,35.0,32.668106,562
aida:KR_SGI_H033,48.0,37.207615,944
aida:KR_SGI_H034,46.0,32.85025,1130
aida:KR_SGI_H035,40.0,37.11456,981
aida:KR_SGI_H036,40.0,32.581013,415
aida:KR_SGI_H037,35.0,37.60533,592
aida:KR_SGI_H038,25.0,32.638206,481
aida:KR_SGI_H039,39.0,37.465195,562
aida:KR_SGI_H040,23.0,37.045555,558
aida:KR_SGI_H041,42.0,32.650036,619
aida:KR_SGI_H042,26.0,36.629505,807
aida:KR_SGI_H043,41.0,38.148323,399
aida:KR_SGI_H044,42.0,32.80384,554
aida:KR_SGI_H045,28.0,32.26359,619
aida:KR_SGI_H046,30.0,32.55995,447
aida:KR_SGI_H047,39.0,31.827625,584
aida:KR_SGI_H048,36.0,32.426132,493
aida:KR_SGI_H049,43.0,32.55041,484
aida:KR_SGI_H050,38.0,36.742413,471
aida:KR_SGI_H051,25.0,36.539387,671
aida:KR_SGI_H052,38.0,36.87053,528
aida:KR_SGI_H053,24.0,37.18484,855
aida:KR_SGI_H054,39.0,36.885937,510
aida:KR_SGI_H055,38.0,37.069984,570
aida:KR_SGI_H056,33.0,36.991734,794
aida:KR_SGI_H057,29.0,36.957848,694
aida:KR_SGI_H058,28.0,36.699383,909
aida:KR_SGI_H059,32.0,32.82542,710
aida:KR_SGI_H060,40.0,37.441063,934
aida:KR_SGI_H061,26.0,32.40372,459
aida:KR_SGI_H062,39.0,36.882477,856
aida:KR_SGI_H063,24.0,37.204662,598
aida:KR_SGI_H064,43.0,37.06214,622
aida:KR_SGI_H065,47.0,37.73982,401
aida:KR_SGI_H066,46.0,37.79255,591
aida:KR_SGI_H067,38.0,37.15552,709
aida:KR_SGI_H068,28.0,32.40075,644
aida:KR_SGI_H069,34.0,36.97965,603
aida:KR_SGI_H070,26.0,37.100246,553
aida:KR_SGI_H071,62.0,37.872173,465
aida:KR_SGI_H072,27.0,37.169285,709
aida:KR_SGI_H073,29.0,37.284378,838
aida:KR_SGI_H074,59.0,37.160843,676
aida:KR_SGI_H075,39.0,32.97372,573
aida:KR_SGI_H076,29.0,32.39948,720
aida:KR_SGI_H077,26.0,37.596344,737
aida:KR_SGI_H078,56.0,37.96893,685
aida:KR_SGI_H079,66.0,38.211567,837
aida:KR_SGI_H080,34.0,37.939377,827
aida:KR_SGI_H081,38.0,37.865883,717
aida:KR_SGI_H082,34.0,32.43885,585
aida:KR_SGI_H083,39.0,32.389732,608
aida:KR_SGI_H084,36.0,37.529106,970
aida:KR_SGI_H085,25.0,32.688812,407
aida:KR_SGI_H086,41.0,37.52416,1095
aida:KR_SGI_H087,57.0,38.18736,737
aida:KR_SGI_H088,49.0,32.489014,510
aida:KR_SGI_H089,54.0,37.235832,1097
aida:KR_SGI_H090,34.0,32.361546,409
aida:KR_SGI_H091,39.0,32.57436,614
aida:KR_SGI_H092,38.0,37.17787,670
aida:KR_SGI_H093,64.0,37.137733,908
aida:KR_SGI_H094,30.0,32.866783,482
aida:KR_SGI_H095,40.0,32.222546,686
aida:KR_SGI_H096,37.0,37.712677,989
aida:KR_SGI_H097,41.0,37.62431,585
aida:KR_SGI_H098,27.0,32.50116,622
aida:KR_SGI_H099,26.0,37.535263,794
aida:KR_SGI_H100,58.0,33.190845,221
aida:KR_SGI_H101,39.0,37.776363,1061
aida:KR_SGI_H102,43.0,33.34281,566
aida:KR_SGI_H103,54.0,38.344128,962
aida:KR_SGI_H104,57.0,37.58897,963
aida:KR_SGI_H105,59.0,33.1953,601
aida:KR_SGI_H106,47.0,37.837135,722
aida:KR_SGI_H107,61.0,33.778942,602
aida:KR_SGI_H108,56.0,37.055,1016
aida:KR_SGI_H109,56.0,37.46965,722
aida:KR_SGI_H110,61.0,33.346466,798
aida:KR_SGI_H111,60.0,32.948025,1024
aida:KR_SGI_H112,59.0,37.631416,464
aida:KR_SGI_H113,62.0,33.02601,412
aida:KR_SGI_H114,58.0,37.429295,579
aida:KR_SGI_H115,46.0,33.08765,345
aida:KR_SGI_H116,68.0,32.971176,728
aida:KR_SGI_H117,57.0,33.24868,664
aida:KR_SGI_H118,42.0,37.801025,709
aida:KR_SGI_H119,62.0,34.04315,634
aida:KR_SGI_H120,40.0,37.576977,489
aida:KR_SGI_H121,42.0,37.245026,554
aida:KR_SGI_H122,59.0,38.980663,534
aida:KR_SGI_H123,65.0,39.034847,685
aida:KR_SGI_H124,56.0,33.240845,358
aida:KR_SGI_H125,51.0,38.46341,464
aida:KR_SGI_H126,52.0,38.415382,314
aida:KR_SGI_H127,73.0,33.90495,746
aida:KR_SGI_H128,60.0,37.67536,624
aida:KR_SGI_H129,63.0,33.850388,621
aida:KR_SGI_H130,62.0,34.39897,734
aida:KR_SGI_H131,58.0,38.51105,861
aida:KR_SGI_H132,71.0,38.164192,598
aida:KR_SGI_H133,38.0,37.740196,652
aida:KR_SGI_H134,39.0,32.79244,649
aida:KR_SGI_H135,47.0,39.074764,533
aida:KR_SGI_H136,44.0,33.135433,707
aida:KR_SGI_H137,57.0,38.116795,591
aida:KR_SGI_H138,41.0,37.073494,522
aida:KR_SGI_H139,31.0,36.995827,744
aida:KR_SGI_H140,28.0,32.631176,395
aida:KR_SGI_H141,58.0,32.485508,475
aida:KR_SGI_H142,28.0,37.392662,452
aida:KR_SGI_H143,52.0,32.97343,701
aida:KR_SGI_H144,53.0,33.503857,281
aida:KR_SGI_H145,50.0,37.881287,666
aida:KR_SGI_H146,29.0,37.41536,813
aida:KR_SGI_H147,49.0,37.7778,1037
aida:KR_SGI_H148,26.0,37.39615,722
aida:KR_SGI_H149,42.0,37.42173,504
aida:KR_SGI_H150,45.0,32.701256,308
aida:KR_SGI_H151,48.0,33.251087,287
aida:KR_SGI_H152,48.0,37.94037,332
aida:KR_SGI_H153,64.0,37.31372,561
aida:KR_SGI_H154,54.0,37.637314,342
aida:KR_SGI_H155,51.0,37.693592,841
aida:KR_SGI_H156,47.0,32.781857,1011
aida:KR_SGI_H157,31.0,31.902908,117
aida:KR_SGI_H158,30.0,37.404377,247
aida:KR_SGI_H159,26.0,36.875256,99
