donor_id,true_age,predicted_age,n_cells
aida:IN_NIB_H019,25.0,43.606018,283
aida:IN_NIB_H020,29.0,43.319733,159
aida:IN_NIB_H021,24.0,34.13388,410
aida:IN_NIB_H022,26.0,35.00461,387
aida:IN_NIB_H023,29.0,34.933712,445
aida:IN_NIB_H024,24.0,42.776768,113
aida:IN_NIB_H025,30.0,42.731575,142
aida:IN_NIB_H026,24.0,43.228767,154
aida:IN_NIB_H027,26.0,44.71833,515
aida:IN_NIB_H028,31.0,34.97496,351
aida:IN_NIB_H029,28.0,44.140842,319
aida:IN_NIB_H030,27.0,43.787872,336
aida:IN_NIB_H031,22.0,34.267124,141
aida:IN_NIB_H032,24.0,35.39929,150
aida:IN_NIB_H033,22.0,35.366806,452
aida:IN_NIB_H034,24.0,34.54107,362
aida:IN_NIB_H035,24.0,34.70834,297
aida:IN_NIB_H036,26.0,42.684265,144
aida:IN_NIB_H037,27.0,34.71182,264
aida:IN_NIB_H038,23.0,35.33396,530
aida:IN_NIB_H039,26.0,43.2765,209
aida:IN_NIB_H040,30.0,34.808113,1188
aida:IN_NIB_H041,28.0,43.61962,199
aida:IN_NIB_H042,28.0,43.28185,215
aida:IN_NIB_H043,25.0,34.820103,317
aida:IN_NIB_H044,29.0,35.30697,244
aida:IN_NIB_H045,27.0,43.449818,181
aida:IN_NIB_H046,34.0,35.23502,199
aida:IN_NIB_H047,28.0,43.8279,305
aida:IN_NIB_H048,30.0,34.99551,188
aida:JP_RIK_H002,23.0,33.741444,32
aida:JP_RIK_H003,47.0,34.432312,122
aida:JP_RIK_H004,37.0,41.782097,45
aida:JP_RIK_H005,37.0,41.58936,110
aida:JP_RIK_H006,48.0,34.605705,88
aida:JP_RIK_H007,45.0,38.955944,1
aida:JP_RIK_H008,43.0,40.190353,46
aida:JP_RIK_H009,26.0,40.493748,19
aida:JP_RIK_H010,46.0,39.61376,142
aida:JP_RIK_H011,31.0,40.73461,80
aida:JP_RIK_H012,49.0,40.508846,55
aida:JP_RIK_H013,24.0,40.015053,70
aida:JP_RIK_H014,47.0,40.30209,145
aida:JP_RIK_H015,63.0,34.061745,238
aida:JP_RIK_H016,33.0,40.529274,186
aida:JP_RIK_H017,47.0,39.78132,102
aida:JP_RIK_H018,39.0,40.555996,198
aida:JP_RIK_H019,21.0,33.15661,376
aida:JP_RIK_H020,45.0,39.719635,182
aida:JP_RIK_H021,39.0,33.898945,176
aida:JP_RIK_H022,40.0,39.955807,245
aida:JP_RIK_H023,27.0,32.679287,27
aida:JP_RIK_H024,33.0,40.328903,212
aida:JP_RIK_H025,35.0,39.757824,229
aida:JP_RIK_H026,45.0,39.249416,333
aida:JP_RIK_H027,43.0,34.932716,284
aida:JP_RIK_H028,34.0,40.33043,308
aida:JP_RIK_H029,28.0,34.01472,458
aida:JP_RIK_H030,46.0,34.16191,382
aida:JP_RIK_H031,30.0,39.59601,348
aida:JP_RIK_H032,34.0,39.259663,132
aida:JP_RIK_H033,44.0,40.029575,248
aida:JP_RIK_H034,33.0,39.604046,180
aida:JP_RIK_H035,28.0,32.65351,331
aida:JP_RIK_H036,41.0,33.313232,246
