eval_cohort,cell_type,n_matched_donors,rho_lasso_pasta,rho_lasso_scage,rho_pasta_scage,rho_min,rho_median
onek1k,CD4T,981,0.23161043067279466,0.5670663539925892,0.4036697680175354,0.23161043067279466,0.4036697680175354
onek1k,CD8T,981,0.16266321484556553,0.17720871115700843,0.3305599261765348,0.16266321484556553,0.17720871115700843
onek1k,MONO,978,0.05767813436684421,0.3216058880949677,-0.032251380823407574,-0.032251380823407574,0.05767813436684421
onek1k,NK,981,0.066927552425641,0.644407029273653,0.01750973090499687,0.01750973090499687,0.066927552425641
onek1k,B,981,0.07298862387803608,0.5236753660610242,0.34698946364262256,0.07298862387803608,0.34698946364262256
stephenson,CD4T,24,0.354520083979501,0.2288212540986586,0.13375669007993357,0.13375669007993357,0.2288212540986586
stephenson,CD8T,24,0.24971121309875244,0.08303786188161758,-0.021634282646696784,-0.021634282646696784,0.08303786188161758
stephenson,MONO,23,-0.1384510410166887,0.6609078556148075,-0.5017342758749984,-0.5017342758749984,-0.1384510410166887
stephenson,NK,29,0.36260558928720416,0.2812775499382581,0.6285486821774356,0.2812775499382581,0.36260558928720416
stephenson,B,29,0.23321812470131853,0.6330019565492895,0.23668746760277765,0.23321812470131853,0.23668746760277765
terekhova,CD4T,166,-0.26812326821357596,0.725737248408994,-0.4155204537286845,-0.4155204537286845,-0.26812326821357596
terekhova,CD8T,166,0.6138290375510411,-0.0890347573975915,0.08601281153714645,-0.0890347573975915,0.08601281153714645
terekhova,MONO,166,0.05984487067436275,0.10242742023846041,-0.8610552354123121,-0.8610552354123121,0.05984487067436275
terekhova,NK,166,0.027589210580117884,-0.2707877074224803,0.660734267245664,-0.2707877074224803,0.027589210580117884
terekhova,B,166,0.34924312813604386,0.4610148142827915,0.3764333688303367,0.34924312813604386,0.3764333688303367
