donor,pred_age,true_age
onek1k:1000_1001,36.5,73.0
onek1k:1001_1002,36.5,57.0
onek1k:1002_1003,36.5,73.0
onek1k:1003_1004,36.5,58.0
onek1k:1004_1005,36.5,74.0
onek1k:1005_1006,36.5,66.0
onek1k:1006_1007,36.5,73.0
onek1k:1007_1008,36.5,75.0
onek1k:1008_1009,36.5,71.0
onek1k:1009_1010,36.5,72.0
onek1k:1010_1011,36.5,71.0
onek1k:1011_1012,36.5,67.0
onek1k:1012_1013,36.5,70.0
onek1k:1014_1015,36.5,70.0
onek1k:1015_1016,36.5,67.0
onek1k:1016_1017,36.5,68.0
onek1k:1018_1019,36.5,68.0
onek1k:1019_1020,36.5,69.0
onek1k:101_101,36.5,71.0
onek1k:1020_1021,36.5,80.0
onek1k:1021_1022,36.5,75.0
onek1k:1022_1023,36.5,68.0
onek1k:1023_1024,36.5,60.0
onek1k:1024_1025,36.5,70.0
onek1k:1025_1026,36.5,57.0
onek1k:1026_1027,36.5,75.0
onek1k:1027_1028,36.5,70.0
onek1k:1028_1029,36.5,72.0
onek1k:1029_1030,36.5,72.0
onek1k:102_102,36.5,23.0
onek1k:1030_1031,36.5,60.0
onek1k:1031_1032,36.5,72.0
onek1k:1032_1033,36.5,59.0
onek1k:1033_1034,36.5,61.0
onek1k:1034_1035,36.5,64.0
onek1k:1035_1036,36.5,70.0
onek1k:1036_1037,36.5,78.0
onek1k:1037_1038,36.5,58.0
onek1k:1038_1039,36.5,61.0
onek1k:1039_1040,36.5,75.0
onek1k:1040_1041,36.5,72.0
onek1k:1041_1042,36.5,72.0
onek1k:1042_1043,36.5,57.0
onek1k:1043_1044,36.5,71.0
onek1k:1044_1045,36.5,65.0
onek1k:1045_1046,36.5,67.0
onek1k:1046_1047,36.5,62.0
onek1k:1047_1048,36.5,71.0
onek1k:1048_1049,36.5,64.0
onek1k:1049_1050,36.5,61.0
onek1k:104_104,36.5,57.0
onek1k:1050_1051,36.5,57.0
onek1k:1051_1052,36.5,63.0
onek1k:1052_1053,36.5,75.0
onek1k:1053_1054,36.5,62.0
onek1k:1054_1055,36.5,75.0
onek1k:1055_1056,36.5,71.0
onek1k:1056_1057,36.5,68.0
onek1k:1057_1058,36.5,71.0
onek1k:1058_1059,36.5,60.0
onek1k:1059_1060,36.5,70.0
onek1k:105_105,36.5,31.0
onek1k:1060_1061,36.5,59.0
onek1k:1061_1062,36.5,62.0
onek1k:1062_1063,36.5,59.0
onek1k:1063_1064,36.5,77.0
onek1k:1064_1065,36.5,70.0
onek1k:1065_1066,36.5,65.0
onek1k:1066_1067,36.5,71.0
onek1k:1068_1069,36.5,72.0
onek1k:106_106,36.5,80.0
onek1k:1070_1071,36.5,71.0
onek1k:1071_1072,36.5,73.0
onek1k:1072_1073,36.5,59.0
onek1k:1073_1074,36.5,68.0
onek1k:1074_1075,36.5,69.0
onek1k:1075_1076,36.5,57.0
onek1k:1076_1077,36.5,73.0
onek1k:1077_1078,36.5,61.0
onek1k:1078_1079,36.5,65.0
onek1k:1079_1080,36.5,77.0
onek1k:107_107,36.5,85.0
onek1k:1080_1081,36.5,71.0
onek1k:1081_1082,36.5,73.0
onek1k:108_108,36.5,67.0
onek1k:109_109,36.5,84.0
onek1k:10_10,36.5,78.0
onek1k:110_110,36.5,84.0
onek1k:111_111,36.5,69.0
onek1k:112_112,36.5,81.0
onek1k:113_113,36.5,67.0
onek1k:114_114,36.5,72.0
onek1k:116_116,36.5,77.0
onek1k:117_117,36.5,91.0
onek1k:119_119,36.5,38.0
onek1k:11_11,36.5,81.0
onek1k:120_120,36.5,46.0
onek1k:121_121,36.5,71.0
onek1k:122_122,36.5,67.0
onek1k:123_123,36.5,50.0
onek1k:124_124,36.5,71.0
onek1k:125_125,36.5,74.0
onek1k:126_126,36.5,65.0
onek1k:127_127,36.5,85.0
onek1k:128_128,36.5,37.0
onek1k:129_129,36.5,35.0
onek1k:12_12,36.5,52.0
onek1k:130_130,36.5,72.0
onek1k:131_131,36.5,67.0
onek1k:132_132,36.5,62.0
onek1k:133_133,36.5,62.0
onek1k:134_134,36.5,73.0
onek1k:137_137,36.5,87.0
onek1k:138_138,36.5,64.0
onek1k:139_139,36.5,79.0
onek1k:13_13,36.5,50.0
onek1k:140_140,36.5,60.0
onek1k:141_141,36.5,36.0
onek1k:142_142,36.5,67.0
onek1k:144_144,36.5,44.0
onek1k:145_145,36.5,87.0
onek1k:146_146,36.5,63.0
onek1k:147_147,36.5,54.0
onek1k:148_148,36.5,62.0
onek1k:149_149,36.5,59.0
onek1k:150_150,36.5,31.0
onek1k:151_151,36.5,19.0
onek1k:152_152,36.5,68.0
onek1k:153_153,36.5,46.0
onek1k:154_154,36.5,67.0
onek1k:155_155,36.5,56.0
onek1k:156_156,36.5,73.0
onek1k:158_158,36.5,59.0
onek1k:159_159,36.5,63.0
onek1k:15_15,36.5,67.0
onek1k:160_160,36.5,60.0
onek1k:161_161,36.5,33.0
onek1k:163_163,36.5,56.0
onek1k:164_165,36.5,41.0
onek1k:165_166,36.5,61.0
onek1k:166_167,36.5,34.0
onek1k:167_168,36.5,58.0
onek1k:168_169,36.5,79.0
onek1k:169_170,36.5,20.0
onek1k:16_16,36.5,45.0
onek1k:170_171,36.5,43.0
onek1k:171_172,36.5,62.0
onek1k:172_173,36.5,23.0
onek1k:173_174,36.5,68.0
onek1k:175_176,36.5,49.0
onek1k:176_177,36.5,27.0
onek1k:177_178,36.5,19.0
onek1k:178_179,36.5,47.0
onek1k:179_180,36.5,31.0
onek1k:17_17,36.5,70.0
onek1k:180_181,36.5,68.0
onek1k:181_182,36.5,66.0
onek1k:182_183,36.5,70.0
onek1k:183_184,36.5,65.0
onek1k:184_185,36.5,83.0
onek1k:185_186,36.5,62.0
onek1k:186_187,36.5,28.0
onek1k:187_188,36.5,26.0
onek1k:188_189,36.5,46.0
onek1k:189_190,36.5,68.0
onek1k:18_18,36.5,80.0
onek1k:190_191,36.5,61.0
onek1k:191_192,36.5,55.0
onek1k:192_193,36.5,58.0
onek1k:193_194,36.5,63.0
onek1k:194_195,36.5,46.0
onek1k:196_197,36.5,72.0
onek1k:197_198,36.5,60.0
onek1k:198_199,36.5,27.0
onek1k:199_200,36.5,63.0
onek1k:19_19,36.5,74.0
onek1k:1_1,36.5,65.0
onek1k:200_201,36.5,53.0
onek1k:201_202,36.5,39.0
onek1k:202_203,36.5,49.0
onek1k:203_204,36.5,59.0
onek1k:204_205,36.5,60.0
onek1k:206_207,36.5,63.0
onek1k:207_208,36.5,39.0
onek1k:208_209,36.5,72.0
onek1k:209_210,36.5,93.0
onek1k:210_211,36.5,46.0
onek1k:211_212,36.5,53.0
onek1k:212_213,36.5,93.0
onek1k:213_214,36.5,86.0
onek1k:214_215,36.5,69.0
onek1k:215_216,36.5,60.0
onek1k:217_218,36.5,73.0
onek1k:219_220,36.5,67.0
onek1k:220_221,36.5,66.0
onek1k:221_222,36.5,84.0
onek1k:222_223,36.5,48.0
onek1k:223_224,36.5,71.0
onek1k:224_225,36.5,85.0
onek1k:225_226,36.5,32.0
onek1k:226_227,36.5,77.0
onek1k:229_230,36.5,27.0
onek1k:230_231,36.5,60.0
onek1k:231_232,36.5,40.0
onek1k:232_233,36.5,24.0
onek1k:233_234,36.5,67.0
onek1k:236_237,36.5,51.0
onek1k:237_238,36.5,25.0
onek1k:238_239,36.5,39.0
onek1k:239_240,36.5,39.0
onek1k:23_23,36.5,42.0
onek1k:240_241,36.5,68.0
onek1k:241_242,36.5,79.0
onek1k:242_243,36.5,82.0
onek1k:243_244,36.5,59.0
onek1k:244_245,36.5,79.0
onek1k:245_246,36.5,58.0
onek1k:246_247,36.5,28.0
onek1k:247_248,36.5,77.0
onek1k:248_249,36.5,69.0
onek1k:24_24,36.5,77.0
onek1k:250_251,36.5,63.0
onek1k:251_252,36.5,35.0
onek1k:252_253,36.5,29.0
onek1k:255_256,36.5,54.0
onek1k:256_257,36.5,52.0
onek1k:257_258,36.5,68.0
onek1k:258_259,36.5,68.0
onek1k:259_260,36.5,45.0
onek1k:25_25,36.5,64.0
onek1k:260_261,36.5,76.0
onek1k:262_263,36.5,66.0
onek1k:263_264,36.5,77.0
onek1k:264_265,36.5,59.0
onek1k:266_267,36.5,49.0
onek1k:267_268,36.5,61.0
onek1k:269_270,36.5,76.0
onek1k:270_271,36.5,64.0
onek1k:271_272,36.5,20.0
onek1k:272_273,36.5,54.0
onek1k:273_274,36.5,63.0
onek1k:274_275,36.5,66.0
onek1k:275_276,36.5,31.0
onek1k:276_277,36.5,65.0
onek1k:278_279,36.5,45.0
onek1k:279_280,36.5,73.0
onek1k:27_27,36.5,73.0
onek1k:280_281,36.5,25.0
onek1k:281_282,36.5,53.0
onek1k:282_283,36.5,40.0
onek1k:283_284,36.5,47.0
onek1k:284_285,36.5,30.0
onek1k:286_287,36.5,44.0
onek1k:287_288,36.5,79.0
onek1k:288_289,36.5,80.0
onek1k:289_290,36.5,29.0
onek1k:28_28,36.5,74.0
onek1k:290_291,36.5,53.0
onek1k:291_292,36.5,67.0
onek1k:292_293,36.5,76.0
onek1k:293_294,36.5,86.0
onek1k:294_295,36.5,54.0
onek1k:295_296,36.5,87.0
onek1k:296_297,36.5,80.0
onek1k:297_298,36.5,82.0
onek1k:298_299,36.5,74.0
onek1k:299_300,36.5,95.0
onek1k:29_29,36.5,69.0
onek1k:2_2,36.5,48.0
onek1k:301_302,36.5,88.0
onek1k:302_303,36.5,83.0
onek1k:303_304,36.5,85.0
onek1k:304_305,36.5,68.0
onek1k:305_306,36.5,74.0
onek1k:306_307,36.5,80.0
onek1k:307_308,36.5,91.0
onek1k:308_309,36.5,79.0
onek1k:309_310,36.5,75.0
onek1k:30_30,36.5,37.0
onek1k:310_311,36.5,80.0
onek1k:311_312,36.5,88.0
onek1k:312_313,36.5,84.0
onek1k:313_314,36.5,33.0
onek1k:314_315,36.5,80.0
onek1k:315_316,36.5,80.0
onek1k:316_317,36.5,76.0
onek1k:317_318,36.5,66.0
onek1k:318_319,36.5,88.0
onek1k:319_320,36.5,84.0
onek1k:320_321,36.5,89.0
onek1k:321_322,36.5,76.0
onek1k:322_323,36.5,90.0
onek1k:323_324,36.5,77.0
onek1k:324_325,36.5,97.0
onek1k:325_326,36.5,66.0
onek1k:326_327,36.5,66.0
onek1k:327_328,36.5,23.0
onek1k:328_329,36.5,65.0
onek1k:329_330,36.5,42.0
onek1k:330_331,36.5,63.0
onek1k:331_332,36.5,24.0
onek1k:332_333,36.5,62.0
onek1k:333_334,36.5,51.0
onek1k:334_335,36.5,60.0
onek1k:335_336,36.5,71.0
onek1k:336_337,36.5,57.0
onek1k:337_338,36.5,42.0
onek1k:338_339,36.5,69.0
onek1k:339_340,36.5,80.0
onek1k:33_33,36.5,73.0
onek1k:340_341,36.5,78.0
onek1k:342_343,36.5,80.0
onek1k:344_345,36.5,61.0
onek1k:345_346,36.5,66.0
onek1k:346_347,36.5,61.0
onek1k:347_348,36.5,49.0
onek1k:348_349,36.5,31.0
onek1k:349_350,36.5,51.0
onek1k:350_351,36.5,52.0
onek1k:351_352,36.5,77.0
onek1k:352_353,36.5,58.0
onek1k:353_354,36.5,71.0
onek1k:354_355,36.5,23.0
onek1k:355_356,36.5,27.0
onek1k:356_357,36.5,28.0
onek1k:357_358,36.5,39.0
onek1k:358_359,36.5,52.0
onek1k:359_360,36.5,58.0
onek1k:35_35,36.5,69.0
onek1k:360_361,36.5,46.0
onek1k:361_362,36.5,56.0
onek1k:363_364,36.5,66.0
onek1k:364_365,36.5,42.0
onek1k:365_366,36.5,67.0
onek1k:366_367,36.5,35.0
onek1k:367_368,36.5,65.0
onek1k:368_369,36.5,36.0
onek1k:369_370,36.5,54.0
onek1k:36_36,36.5,66.0
onek1k:370_371,36.5,26.0
onek1k:371_372,36.5,41.0
onek1k:372_373,36.5,49.0
onek1k:373_374,36.5,78.0
onek1k:374_375,36.5,50.0
onek1k:376_377,36.5,79.0
onek1k:377_378,36.5,38.0
onek1k:378_379,36.5,22.0
onek1k:379_380,36.5,51.0
onek1k:37_37,36.5,47.0
onek1k:380_381,36.5,79.0
onek1k:381_382,36.5,77.0
onek1k:382_383,36.5,63.0
onek1k:383_384,36.5,81.0
onek1k:384_385,36.5,61.0
onek1k:385_386,36.5,47.0
onek1k:386_387,36.5,80.0
onek1k:387_388,36.5,65.0
onek1k:388_389,36.5,62.0
onek1k:389_390,36.5,81.0
onek1k:38_38,36.5,79.0
onek1k:390_391,36.5,78.0
onek1k:391_392,36.5,43.0
onek1k:392_393,36.5,56.0
onek1k:393_394,36.5,56.0
onek1k:394_395,36.5,37.0
onek1k:395_396,36.5,66.0
onek1k:396_397,36.5,57.0
onek1k:398_399,36.5,55.0
onek1k:399_400,36.5,49.0
onek1k:39_39,36.5,42.0
onek1k:3_3,36.5,53.0
onek1k:400_401,36.5,46.0
onek1k:402_403,36.5,66.0
onek1k:403_404,36.5,65.0
onek1k:404_405,36.5,64.0
onek1k:405_406,36.5,70.0
onek1k:406_407,36.5,59.0
onek1k:407_408,36.5,65.0
onek1k:408_409,36.5,74.0
onek1k:409_410,36.5,65.0
onek1k:40_40,36.5,72.0
onek1k:410_411,36.5,61.0
onek1k:411_412,36.5,49.0
onek1k:412_413,36.5,85.0
onek1k:413_414,36.5,24.0
onek1k:414_415,36.5,22.0
onek1k:415_416,36.5,80.0
onek1k:416_417,36.5,63.0
onek1k:417_418,36.5,78.0
onek1k:418_419,36.5,76.0
onek1k:419_420,36.5,72.0
onek1k:41_41,36.5,77.0
onek1k:420_421,36.5,75.0
onek1k:421_422,36.5,61.0
onek1k:422_423,36.5,53.0
onek1k:423_424,36.5,59.0
onek1k:424_425,36.5,78.0
onek1k:425_426,36.5,50.0
onek1k:426_427,36.5,63.0
onek1k:427_428,36.5,67.0
onek1k:428_429,36.5,75.0
onek1k:429_430,36.5,87.0
onek1k:42_42,36.5,59.0
onek1k:431_432,36.5,78.0
onek1k:432_433,36.5,78.0
onek1k:433_434,36.5,80.0
onek1k:434_435,36.5,78.0
onek1k:435_436,36.5,67.0
onek1k:436_437,36.5,45.0
onek1k:437_438,36.5,21.0
onek1k:438_439,36.5,32.0
onek1k:439_440,36.5,71.0
onek1k:43_43,36.5,46.0
onek1k:441_442,36.5,70.0
onek1k:442_443,36.5,58.0
onek1k:443_444,36.5,29.0
onek1k:445_446,36.5,83.0
onek1k:446_447,36.5,72.0
onek1k:447_448,36.5,66.0
onek1k:448_449,36.5,82.0
onek1k:449_450,36.5,85.0
onek1k:44_44,36.5,60.0
onek1k:450_451,36.5,84.0
onek1k:451_452,36.5,89.0
onek1k:452_453,36.5,77.0
onek1k:453_454,36.5,85.0
onek1k:454_455,36.5,79.0
onek1k:455_456,36.5,80.0
onek1k:456_457,36.5,76.0
onek1k:457_458,36.5,73.0
onek1k:458_459,36.5,84.0
onek1k:459_460,36.5,87.0
onek1k:45_45,36.5,71.0
onek1k:460_461,36.5,58.0
onek1k:461_462,36.5,61.0
onek1k:462_463,36.5,83.0
onek1k:463_464,36.5,86.0
onek1k:464_465,36.5,76.0
onek1k:465_466,36.5,59.0
onek1k:466_467,36.5,85.0
onek1k:467_468,36.5,74.0
onek1k:468_469,36.5,76.0
onek1k:469_470,36.5,78.0
onek1k:46_46,36.5,68.0
onek1k:470_471,36.5,83.0
onek1k:471_472,36.5,65.0
onek1k:472_473,36.5,77.0
onek1k:473_474,36.5,72.0
onek1k:474_475,36.5,79.0
onek1k:475_476,36.5,36.0
onek1k:476_477,36.5,53.0
onek1k:477_478,36.5,53.0
onek1k:478_479,36.5,68.0
onek1k:479_480,36.5,86.0
onek1k:47_47,36.5,19.0
onek1k:480_481,36.5,69.0
onek1k:481_482,36.5,68.0
onek1k:482_483,36.5,23.0
onek1k:483_484,36.5,71.0
onek1k:484_485,36.5,60.0
onek1k:485_486,36.5,48.0
onek1k:486_487,36.5,36.0
onek1k:487_488,36.5,67.0
onek1k:488_489,36.5,56.0
onek1k:489_490,36.5,52.0
onek1k:48_48,36.5,86.0
onek1k:490_491,36.5,64.0
onek1k:491_492,36.5,41.0
onek1k:492_493,36.5,79.0
onek1k:493_494,36.5,73.0
onek1k:494_495,36.5,24.0
onek1k:496_497,36.5,33.0
onek1k:497_498,36.5,31.0
onek1k:498_499,36.5,71.0
onek1k:499_500,36.5,77.0
onek1k:49_49,36.5,84.0
onek1k:4_4,36.5,48.0
onek1k:500_501,36.5,59.0
onek1k:501_502,36.5,64.0
onek1k:502_503,36.5,66.0
onek1k:503_504,36.5,49.0
onek1k:504_505,36.5,85.0
onek1k:505_506,36.5,54.0
onek1k:506_507,36.5,41.0
onek1k:507_508,36.5,66.0
onek1k:508_509,36.5,79.0
onek1k:509_510,36.5,80.0
onek1k:50_50,36.5,64.0
onek1k:510_511,36.5,84.0
onek1k:511_512,36.5,89.0
onek1k:512_513,36.5,79.0
onek1k:513_514,36.5,82.0
onek1k:514_515,36.5,90.0
onek1k:515_516,36.5,37.0
onek1k:516_517,36.5,34.0
onek1k:517_518,36.5,68.0
onek1k:519_520,36.5,75.0
onek1k:51_51,36.5,60.0
onek1k:520_521,36.5,69.0
onek1k:521_522,36.5,57.0
onek1k:522_523,36.5,62.0
onek1k:524_525,36.5,74.0
onek1k:525_526,36.5,78.0
onek1k:526_527,36.5,66.0
onek1k:527_528,36.5,65.0
onek1k:528_529,36.5,68.0
onek1k:529_530,36.5,78.0
onek1k:52_52,36.5,52.0
onek1k:530_531,36.5,78.0
onek1k:531_532,36.5,65.0
onek1k:532_533,36.5,79.0
onek1k:533_534,36.5,33.0
onek1k:534_535,36.5,88.0
onek1k:535_536,36.5,82.0
onek1k:536_537,36.5,67.0
onek1k:537_538,36.5,53.0
onek1k:538_539,36.5,60.0
onek1k:539_540,36.5,62.0
onek1k:53_53,36.5,32.0
onek1k:540_541,36.5,53.0
onek1k:541_542,36.5,58.0
onek1k:542_543,36.5,58.0
onek1k:543_544,36.5,72.0
onek1k:544_545,36.5,68.0
onek1k:545_546,36.5,67.0
onek1k:546_547,36.5,73.0
onek1k:547_548,36.5,73.0
onek1k:548_549,36.5,40.0
onek1k:549_550,36.5,60.0
onek1k:54_54,36.5,66.0
onek1k:550_551,36.5,82.0
onek1k:551_552,36.5,72.0
