donor,pred_age,true_age
onek1k:1000_1001,40.59136962890625,73.0
onek1k:1001_1002,42.84860801696777,57.0
onek1k:1002_1003,41.05217742919922,73.0
onek1k:1003_1004,40.28591537475586,58.0
onek1k:1004_1005,41.56809616088867,74.0
onek1k:1005_1006,41.36230278015137,66.0
onek1k:1006_1007,41.306724548339844,73.0
onek1k:1007_1008,41.77595901489258,75.0
onek1k:1008_1009,41.983360290527344,71.0
onek1k:1009_1010,41.274484634399414,72.0
onek1k:1010_1011,40.650814056396484,71.0
onek1k:1011_1012,41.733489990234375,67.0
onek1k:1012_1013,40.60405731201172,70.0
onek1k:1014_1015,41.30398178100586,70.0
onek1k:1015_1016,40.586896896362305,67.0
onek1k:1016_1017,42.2861442565918,68.0
onek1k:1018_1019,40.866981506347656,68.0
onek1k:1019_1020,42.511831283569336,69.0
onek1k:101_101,46.139461517333984,71.0
onek1k:1020_1021,41.00588417053223,80.0
onek1k:1021_1022,42.708499908447266,75.0
onek1k:1022_1023,41.530019760131836,68.0
onek1k:1023_1024,42.22243309020996,60.0
onek1k:1024_1025,44.75809288024902,70.0
onek1k:1025_1026,40.95795249938965,57.0
onek1k:1026_1027,43.52753257751465,75.0
onek1k:1027_1028,41.6361083984375,70.0
onek1k:1028_1029,42.26747512817383,72.0
onek1k:1029_1030,41.59515190124512,72.0
onek1k:102_102,45.48957633972168,23.0
onek1k:1030_1031,42.1439266204834,60.0
onek1k:1031_1032,43.4035701751709,72.0
onek1k:1032_1033,41.941545486450195,59.0
onek1k:1033_1034,42.42780685424805,61.0
onek1k:1034_1035,41.655094146728516,64.0
onek1k:1035_1036,42.995656967163086,70.0
onek1k:1036_1037,41.779733657836914,78.0
onek1k:1037_1038,41.859275817871094,58.0
onek1k:1038_1039,42.393686294555664,61.0
onek1k:1039_1040,42.06048583984375,75.0
onek1k:1040_1041,44.45310401916504,72.0
onek1k:1041_1042,43.46246147155762,72.0
onek1k:1042_1043,43.89147186279297,57.0
onek1k:1043_1044,41.97401237487793,71.0
onek1k:1044_1045,44.556352615356445,65.0
onek1k:1045_1046,42.329994201660156,67.0
onek1k:1046_1047,42.633155822753906,62.0
onek1k:1047_1048,41.42776107788086,71.0
onek1k:1048_1049,47.18815803527832,64.0
onek1k:1049_1050,40.81591606140137,61.0
onek1k:104_104,45.75242805480957,57.0
onek1k:1050_1051,42.504690170288086,57.0
onek1k:1051_1052,42.01297187805176,63.0
onek1k:1052_1053,42.836355209350586,75.0
onek1k:1053_1054,40.59770584106445,62.0
onek1k:1054_1055,44.63527870178223,75.0
onek1k:1055_1056,43.97582817077637,71.0
onek1k:1056_1057,40.44038200378418,68.0
onek1k:1057_1058,41.98160934448242,71.0
onek1k:1058_1059,41.87868881225586,60.0
onek1k:1059_1060,40.236093521118164,70.0
onek1k:105_105,44.22425079345703,31.0
onek1k:1060_1061,40.83277702331543,59.0
onek1k:1061_1062,40.069515228271484,62.0
onek1k:1062_1063,40.697853088378906,59.0
onek1k:1063_1064,46.15222930908203,77.0
onek1k:1064_1065,40.565086364746094,70.0
onek1k:1065_1066,40.47264099121094,65.0
onek1k:1066_1067,44.98362159729004,71.0
onek1k:1068_1069,42.582847595214844,72.0
onek1k:106_106,48.456491470336914,80.0
onek1k:1070_1071,46.21570587158203,71.0
onek1k:1071_1072,44.466875076293945,73.0
onek1k:1072_1073,44.911224365234375,59.0
onek1k:1073_1074,42.77552032470703,68.0
onek1k:1074_1075,44.00189781188965,69.0
onek1k:1075_1076,42.801748275756836,57.0
onek1k:1076_1077,45.31421661376953,73.0
onek1k:1077_1078,42.32047080993652,61.0
onek1k:1078_1079,43.72221374511719,65.0
onek1k:1079_1080,44.51007652282715,77.0
onek1k:107_107,43.2015438079834,85.0
