donor,pred_age,true_age
onek1k:1000_1001,46.51677703857422,73.0
onek1k:1001_1002,46.92741584777832,57.0
onek1k:1002_1003,47.12367057800293,73.0
onek1k:1003_1004,47.53720283508301,58.0
onek1k:1004_1005,47.276206970214844,74.0
onek1k:1005_1006,48.50485801696777,66.0
onek1k:1006_1007,47.101518630981445,73.0
onek1k:1007_1008,49.4975471496582,75.0
onek1k:1008_1009,47.270137786865234,71.0
onek1k:1009_1010,47.04561424255371,72.0
onek1k:1010_1011,47.15573692321777,71.0
onek1k:1011_1012,48.69286918640137,67.0
onek1k:1012_1013,49.72778129577637,70.0
onek1k:1014_1015,48.39820098876953,70.0
onek1k:1015_1016,46.53265190124512,67.0
onek1k:1016_1017,49.610883712768555,68.0
onek1k:1018_1019,48.140716552734375,68.0
onek1k:1019_1020,47.233747482299805,69.0
onek1k:101_101,49.03370475769043,71.0
onek1k:1020_1021,48.73248291015625,80.0
onek1k:1021_1022,48.59597206115723,75.0
onek1k:1022_1023,48.65841293334961,68.0
onek1k:1023_1024,46.72551155090332,60.0
onek1k:1024_1025,50.00836372375488,70.0
onek1k:1025_1026,47.972909927368164,57.0
onek1k:1026_1027,47.339223861694336,75.0
onek1k:1027_1028,47.630680084228516,70.0
onek1k:1028_1029,46.94261932373047,72.0
onek1k:1029_1030,47.007890701293945,72.0
onek1k:102_102,48.47894859313965,23.0
onek1k:1030_1031,49.26374435424805,60.0
onek1k:1031_1032,46.90617561340332,72.0
onek1k:1032_1033,48.849212646484375,59.0
onek1k:1033_1034,46.64339256286621,61.0
onek1k:1034_1035,47.95864295959473,64.0
onek1k:1035_1036,47.865535736083984,70.0
onek1k:1036_1037,47.77813720703125,78.0
onek1k:1037_1038,47.43278694152832,58.0
onek1k:1038_1039,46.62973403930664,61.0
onek1k:1039_1040,46.55416679382324,75.0
onek1k:1040_1041,49.70077896118164,72.0
onek1k:1041_1042,46.622161865234375,72.0
onek1k:1042_1043,47.952707290649414,57.0
onek1k:1043_1044,47.411075592041016,71.0
onek1k:1044_1045,47.76647186279297,65.0
onek1k:1045_1046,47.700408935546875,67.0
onek1k:1046_1047,48.08957481384277,62.0
onek1k:1047_1048,47.47279739379883,71.0
onek1k:1048_1049,46.784963607788086,64.0
onek1k:1049_1050,47.24577331542969,61.0
onek1k:104_104,47.56075096130371,57.0
onek1k:1050_1051,46.7630615234375,57.0
onek1k:1051_1052,49.16070365905762,63.0
onek1k:1052_1053,48.669931411743164,75.0
onek1k:1053_1054,46.64727973937988,62.0
onek1k:1054_1055,49.24722862243652,75.0
onek1k:1055_1056,46.83372497558594,71.0
onek1k:1056_1057,48.69449234008789,68.0
onek1k:1057_1058,49.10130500793457,71.0
onek1k:1058_1059,48.853118896484375,60.0
onek1k:1059_1060,47.42609214782715,70.0
onek1k:105_105,46.446916580200195,31.0
onek1k:1060_1061,49.69134330749512,59.0
onek1k:1061_1062,48.87750434875488,62.0
onek1k:1062_1063,46.984554290771484,59.0
onek1k:1063_1064,49.87394905090332,77.0
onek1k:1064_1065,48.360904693603516,70.0
onek1k:1065_1066,47.13123893737793,65.0
onek1k:1066_1067,46.78948974609375,71.0
onek1k:1068_1069,47.33395957946777,72.0
onek1k:106_106,48.581443786621094,80.0
onek1k:1070_1071,47.292213439941406,71.0
onek1k:1071_1072,47.18582534790039,73.0
onek1k:1072_1073,47.62686538696289,59.0
onek1k:1073_1074,48.45932197570801,68.0
onek1k:1074_1075,49.46171760559082,69.0
onek1k:1075_1076,47.19822692871094,57.0
onek1k:1076_1077,49.92852783203125,73.0
onek1k:1077_1078,49.49916076660156,61.0
onek1k:1078_1079,48.08845329284668,65.0
onek1k:1079_1080,48.5607795715332,77.0
onek1k:107_107,47.93949317932129,85.0
onek1k:1080_1081,48.521738052368164,71.0
onek1k:1081_1082,48.96172523498535,73.0
onek1k:108_108,48.7699089050293,67.0
onek1k:109_109,49.16203498840332,84.0
onek1k:10_10,47.0198917388916,78.0
onek1k:110_110,48.89056205749512,84.0
onek1k:111_111,47.9329776763916,69.0
onek1k:112_112,48.420265197753906,81.0
onek1k:113_113,48.34033393859863,67.0
onek1k:114_114,48.31070327758789,72.0
onek1k:116_116,48.88581085205078,77.0
onek1k:117_117,49.19732093811035,91.0
onek1k:119_119,47.194366455078125,38.0
onek1k:11_11,47.64138412475586,81.0
onek1k:120_120,46.93925857543945,46.0
onek1k:121_121,47.34780311584473,71.0
onek1k:122_122,48.22153854370117,67.0
onek1k:123_123,47.33244323730469,50.0
onek1k:124_124,47.25418472290039,71.0
onek1k:125_125,47.305477142333984,74.0
onek1k:126_126,47.41619682312012,65.0
onek1k:127_127,46.966190338134766,85.0
onek1k:128_128,46.52262878417969,37.0
onek1k:129_129,47.20415496826172,35.0
onek1k:12_12,47.355329513549805,52.0
onek1k:130_130,47.05900764465332,72.0
onek1k:131_131,48.578983306884766,67.0
onek1k:132_132,47.4452018737793,62.0
onek1k:133_133,49.40030479431152,62.0
onek1k:134_134,48.07256317138672,73.0
onek1k:137_137,48.143550872802734,87.0
onek1k:138_138,48.73606872558594,64.0
onek1k:139_139,49.04924774169922,79.0
onek1k:13_13,48.167198181152344,50.0
onek1k:140_140,48.77525329589844,60.0
onek1k:141_141,47.510459899902344,36.0
onek1k:142_142,48.599348068237305,67.0
onek1k:144_144,48.098209381103516,44.0
onek1k:145_145,48.04434776306152,87.0
onek1k:146_146,48.20791053771973,63.0
onek1k:147_147,46.763458251953125,54.0
onek1k:148_148,47.935699462890625,62.0
onek1k:149_149,48.68655204772949,59.0
onek1k:150_150,46.85788536071777,31.0
onek1k:151_151,46.084848403930664,19.0
onek1k:152_152,49.422428131103516,68.0
onek1k:153_153,47.08233070373535,46.0
onek1k:154_154,47.66043663024902,67.0
onek1k:155_155,48.77812576293945,56.0
onek1k:156_156,47.86596488952637,73.0
onek1k:158_158,48.075538635253906,59.0
onek1k:159_159,47.96709442138672,63.0
onek1k:15_15,48.74645805358887,67.0
onek1k:160_160,47.34296417236328,60.0
onek1k:161_161,47.08838081359863,33.0
onek1k:163_163,48.104400634765625,56.0
onek1k:164_165,47.35192108154297,41.0
onek1k:165_166,47.44687271118164,61.0
onek1k:166_167,47.35686492919922,34.0
onek1k:167_168,48.25811767578125,58.0
onek1k:168_169,49.405242919921875,79.0
onek1k:169_170,47.557668685913086,20.0
onek1k:16_16,45.79989051818848,45.0
onek1k:170_171,47.119157791137695,43.0
onek1k:171_172,49.197776794433594,62.0
onek1k:172_173,47.79245567321777,23.0
onek1k:173_174,49.351749420166016,68.0
onek1k:175_176,48.788156509399414,49.0
onek1k:176_177,46.98636436462402,27.0
onek1k:177_178,46.97781181335449,19.0
onek1k:178_179,47.92067527770996,47.0
onek1k:179_180,46.200937271118164,31.0
onek1k:17_17,49.21175765991211,70.0
onek1k:180_181,46.993581771850586,68.0
onek1k:181_182,48.31129264831543,66.0
onek1k:182_183,48.21883773803711,70.0
onek1k:183_184,48.82248497009277,65.0
onek1k:184_185,48.35382652282715,83.0
onek1k:185_186,49.62213706970215,62.0
onek1k:186_187,46.915924072265625,28.0
onek1k:187_188,46.83783149719238,26.0
onek1k:188_189,49.4692268371582,46.0
onek1k:189_190,48.743247985839844,68.0
onek1k:18_18,47.578012466430664,80.0
onek1k:190_191,47.46784019470215,61.0
onek1k:191_192,46.98381042480469,55.0
onek1k:192_193,46.98048210144043,58.0
onek1k:193_194,47.60947608947754,63.0
onek1k:194_195,46.80390739440918,46.0
onek1k:196_197,47.76466941833496,72.0
onek1k:197_198,47.6240234375,60.0
onek1k:198_199,46.18669319152832,27.0
onek1k:199_200,48.85791778564453,63.0
onek1k:19_19,48.76737022399902,74.0
onek1k:1_1,46.7967643737793,65.0
onek1k:200_201,47.26270866394043,53.0
onek1k:201_202,47.24108123779297,39.0
onek1k:202_203,47.6144905090332,49.0
onek1k:203_204,47.17343330383301,59.0
onek1k:204_205,48.73353576660156,60.0
onek1k:206_207,47.24392318725586,63.0
onek1k:207_208,48.50802993774414,39.0
onek1k:208_209,49.068071365356445,72.0
onek1k:209_210,47.77451133728027,93.0
onek1k:210_211,47.27512741088867,46.0
onek1k:211_212,48.58065223693848,53.0
onek1k:212_213,48.20865058898926,93.0
onek1k:213_214,47.281728744506836,86.0
onek1k:214_215,47.40456008911133,69.0
onek1k:215_216,48.26835632324219,60.0
onek1k:217_218,48.63583946228027,73.0
onek1k:219_220,48.43482208251953,67.0
onek1k:220_221,49.22887992858887,66.0
onek1k:221_222,48.960750579833984,84.0
onek1k:222_223,47.33686447143555,48.0
onek1k:223_224,48.113996505737305,71.0
onek1k:224_225,47.38641166687012,85.0
onek1k:225_226,47.47629737854004,32.0
onek1k:226_227,48.10565185546875,77.0
onek1k:229_230,48.471683502197266,27.0
onek1k:230_231,48.383941650390625,60.0
onek1k:231_232,48.09002113342285,40.0
onek1k:232_233,48.46887969970703,24.0
onek1k:233_234,47.304059982299805,67.0
onek1k:236_237,48.04227638244629,51.0
onek1k:237_238,48.06295585632324,25.0
onek1k:238_239,45.9478874206543,39.0
onek1k:239_240,46.68779373168945,39.0
onek1k:23_23,46.76309013366699,42.0
onek1k:240_241,46.65160369873047,68.0
onek1k:241_242,49.03993606567383,79.0
onek1k:242_243,47.306257247924805,82.0
onek1k:243_244,47.3469295501709,59.0
onek1k:244_245,48.96944236755371,79.0
onek1k:245_246,47.06123924255371,58.0
onek1k:246_247,47.617977142333984,28.0
onek1k:247_248,47.32033920288086,77.0
onek1k:248_249,48.84720993041992,69.0
onek1k:24_24,47.98890495300293,77.0
onek1k:250_251,47.13978958129883,63.0
onek1k:251_252,47.784955978393555,35.0
onek1k:252_253,46.89485740661621,29.0
onek1k:255_256,47.2172794342041,54.0
onek1k:256_257,48.59648323059082,52.0
onek1k:257_258,47.4835205078125,68.0
onek1k:258_259,48.3503303527832,68.0
onek1k:259_260,46.840200424194336,45.0
onek1k:25_25,47.61911964416504,64.0
onek1k:260_261,48.038185119628906,76.0
onek1k:262_263,46.99662780761719,66.0
onek1k:263_264,48.901960372924805,77.0
onek1k:264_265,49.42976951599121,59.0
onek1k:266_267,46.91168975830078,49.0
onek1k:267_268,48.47534942626953,61.0
onek1k:269_270,48.974687576293945,76.0
onek1k:270_271,46.8896484375,64.0
onek1k:271_272,48.71697425842285,20.0
onek1k:272_273,46.95534133911133,54.0
onek1k:273_274,47.4351921081543,63.0
onek1k:274_275,47.547061920166016,66.0
onek1k:275_276,48.34431457519531,31.0
onek1k:276_277,47.93766212463379,65.0
onek1k:278_279,48.38035774230957,45.0
onek1k:279_280,47.36611557006836,73.0
onek1k:27_27,50.4882755279541,73.0
onek1k:280_281,46.79174613952637,25.0
onek1k:281_282,47.185787200927734,53.0
onek1k:282_283,48.713430404663086,40.0
onek1k:283_284,46.88423538208008,47.0
onek1k:284_285,47.98940467834473,30.0
onek1k:286_287,47.29548454284668,44.0
onek1k:287_288,47.73896598815918,79.0
onek1k:288_289,47.84574508666992,80.0
onek1k:289_290,47.402631759643555,29.0
onek1k:28_28,47.40725898742676,74.0
onek1k:290_291,47.314369201660156,53.0
onek1k:291_292,47.9998836517334,67.0
onek1k:292_293,46.771331787109375,76.0
onek1k:293_294,47.024593353271484,86.0
onek1k:294_295,47.55821228027344,54.0
onek1k:295_296,47.54881477355957,87.0
onek1k:296_297,48.3558406829834,80.0
onek1k:297_298,48.046783447265625,82.0
onek1k:298_299,48.12095642089844,74.0
onek1k:299_300,47.63379096984863,95.0
onek1k:29_29,46.89789390563965,69.0
onek1k:2_2,47.83188819885254,48.0
onek1k:301_302,47.00847625732422,88.0
onek1k:302_303,48.141550064086914,83.0
onek1k:303_304,47.42879104614258,85.0
onek1k:304_305,47.122657775878906,68.0
onek1k:305_306,48.70708656311035,74.0
onek1k:306_307,48.48144721984863,80.0
onek1k:307_308,48.17719268798828,91.0
onek1k:308_309,48.174699783325195,79.0
onek1k:309_310,48.14310836791992,75.0
onek1k:30_30,46.315046310424805,37.0
onek1k:310_311,46.9060173034668,80.0
onek1k:311_312,49.02824592590332,88.0
onek1k:312_313,49.954586029052734,84.0
onek1k:313_314,48.4570426940918,33.0
onek1k:314_315,49.03377342224121,80.0
onek1k:315_316,49.18200492858887,80.0
onek1k:316_317,46.91860771179199,76.0
onek1k:317_318,47.65310478210449,66.0
onek1k:318_319,48.90436935424805,88.0
onek1k:319_320,48.497249603271484,84.0
onek1k:320_321,49.22249412536621,89.0
onek1k:321_322,48.749467849731445,76.0
onek1k:322_323,48.63820838928223,90.0
onek1k:323_324,46.842079162597656,77.0
onek1k:324_325,49.361745834350586,97.0
onek1k:325_326,47.31652069091797,66.0
onek1k:326_327,46.989057540893555,66.0
onek1k:327_328,46.436336517333984,23.0
onek1k:328_329,47.99714279174805,65.0
onek1k:329_330,48.91061782836914,42.0
onek1k:330_331,47.77334403991699,63.0
onek1k:331_332,46.557329177856445,24.0
onek1k:332_333,47.53504943847656,62.0
onek1k:333_334,48.08921432495117,51.0
onek1k:334_335,47.78898239135742,60.0
onek1k:335_336,49.06489181518555,71.0
onek1k:336_337,50.218284606933594,57.0
onek1k:337_338,48.74039077758789,42.0
onek1k:338_339,48.44362258911133,69.0
onek1k:339_340,49.08429718017578,80.0
onek1k:33_33,46.98396682739258,73.0
onek1k:340_341,49.25173377990723,78.0
onek1k:342_343,48.691654205322266,80.0
onek1k:344_345,48.495012283325195,61.0
onek1k:345_346,48.88262367248535,66.0
onek1k:346_347,48.500627517700195,61.0
onek1k:347_348,47.768198013305664,49.0
onek1k:348_349,48.06903839111328,31.0
onek1k:349_350,48.17694282531738,51.0
onek1k:350_351,48.23181343078613,52.0
onek1k:351_352,47.230173110961914,77.0
onek1k:352_353,47.63214874267578,58.0
onek1k:353_354,48.2226676940918,71.0
onek1k:354_355,47.484798431396484,23.0
onek1k:355_356,45.94001770019531,27.0
onek1k:356_357,47.98678398132324,28.0
onek1k:357_358,46.27445602416992,39.0
onek1k:358_359,46.529951095581055,52.0
onek1k:359_360,47.96161079406738,58.0
onek1k:35_35,47.88060188293457,69.0
onek1k:360_361,47.1279239654541,46.0
onek1k:361_362,48.6296443939209,56.0
onek1k:363_364,47.20030403137207,66.0
onek1k:364_365,46.466468811035156,42.0
onek1k:365_366,47.75412940979004,67.0
onek1k:366_367,46.63373374938965,35.0
onek1k:367_368,47.17556190490723,65.0
onek1k:368_369,46.957210540771484,36.0
onek1k:369_370,47.214128494262695,54.0
onek1k:36_36,48.376237869262695,66.0
onek1k:370_371,47.05418014526367,26.0
onek1k:371_372,47.3404655456543,41.0
onek1k:372_373,47.30034828186035,49.0
onek1k:373_374,48.1199836730957,78.0
onek1k:374_375,48.53052520751953,50.0
onek1k:376_377,48.47454643249512,79.0
onek1k:377_378,48.27052879333496,38.0
onek1k:378_379,48.526559829711914,22.0
onek1k:379_380,46.486467361450195,51.0
onek1k:37_37,47.83160400390625,47.0
onek1k:380_381,47.493648529052734,79.0
onek1k:381_382,48.88177299499512,77.0
onek1k:382_383,48.016183853149414,63.0
onek1k:383_384,48.96721839904785,81.0
onek1k:384_385,47.380353927612305,61.0
onek1k:385_386,46.56881332397461,47.0
onek1k:386_387,48.93655776977539,80.0
onek1k:387_388,48.05961036682129,65.0
onek1k:388_389,46.60342216491699,62.0
onek1k:389_390,48.07346725463867,81.0
onek1k:38_38,49.45258903503418,79.0
onek1k:390_391,47.542402267456055,78.0
onek1k:391_392,47.08967399597168,43.0
onek1k:392_393,47.347721099853516,56.0
onek1k:393_394,48.42541313171387,56.0
onek1k:394_395,46.821279525756836,37.0
onek1k:395_396,48.785966873168945,66.0
onek1k:396_397,47.93184280395508,57.0
onek1k:398_399,46.76073455810547,55.0
onek1k:399_400,47.62993240356445,49.0
