donor,pred_age,true_age
onek1k:1000_1001,51.021514892578125,73.0
onek1k:1001_1002,54.78860092163086,57.0
onek1k:1002_1003,50.67438888549805,73.0
onek1k:1003_1004,48.217105865478516,58.0
onek1k:1004_1005,47.8673210144043,74.0
onek1k:1005_1006,53.70633125305176,66.0
onek1k:1006_1007,51.475887298583984,73.0
onek1k:1007_1008,53.52032279968262,75.0
onek1k:1008_1009,53.78643989562988,71.0
onek1k:1009_1010,55.01486778259277,72.0
onek1k:1010_1011,52.30603218078613,71.0
onek1k:1011_1012,52.93968963623047,67.0
onek1k:1012_1013,53.344749450683594,70.0
onek1k:1014_1015,58.56595230102539,70.0
onek1k:1015_1016,51.37175750732422,67.0
onek1k:1016_1017,53.91655349731445,68.0
onek1k:1018_1019,50.94845199584961,68.0
onek1k:1019_1020,55.02763748168945,69.0
onek1k:101_101,50.7562141418457,71.0
onek1k:1020_1021,53.29950523376465,80.0
onek1k:1021_1022,53.995216369628906,75.0
onek1k:1022_1023,52.151323318481445,68.0
onek1k:1023_1024,54.65130615234375,60.0
onek1k:1024_1025,50.76943397521973,70.0
onek1k:1025_1026,53.473506927490234,57.0
onek1k:1026_1027,50.63809394836426,75.0
onek1k:1027_1028,49.63050842285156,70.0
onek1k:1028_1029,51.69894027709961,72.0
onek1k:1029_1030,53.47056770324707,72.0
onek1k:102_102,49.16230010986328,23.0
onek1k:1030_1031,51.01036834716797,60.0
onek1k:1031_1032,49.6237678527832,72.0
onek1k:1032_1033,52.87953567504883,59.0
onek1k:1033_1034,49.567996978759766,61.0
onek1k:1034_1035,50.606624603271484,64.0
onek1k:1035_1036,53.70026779174805,70.0
onek1k:1036_1037,54.394432067871094,78.0
onek1k:1037_1038,50.75817680358887,58.0
onek1k:1038_1039,52.93893051147461,61.0
onek1k:1039_1040,54.06175422668457,75.0
onek1k:1040_1041,54.13298034667969,72.0
onek1k:1041_1042,51.38382339477539,72.0
onek1k:1042_1043,52.363603591918945,57.0
onek1k:1043_1044,56.039817810058594,71.0
onek1k:1044_1045,55.00689506530762,65.0
onek1k:1045_1046,56.073137283325195,67.0
onek1k:1046_1047,54.58732032775879,62.0
onek1k:1047_1048,56.31791305541992,71.0
onek1k:1048_1049,53.90669631958008,64.0
onek1k:1049_1050,55.26013374328613,61.0
onek1k:104_104,49.97899627685547,57.0
onek1k:1050_1051,56.567495346069336,57.0
onek1k:1051_1052,53.631269454956055,63.0
onek1k:1052_1053,56.12186813354492,75.0
onek1k:1053_1054,54.079044342041016,62.0
onek1k:1054_1055,54.97555923461914,75.0
onek1k:1055_1056,52.95112609863281,71.0
onek1k:1056_1057,54.8208065032959,68.0
onek1k:1057_1058,53.52403259277344,71.0
onek1k:1058_1059,55.54581069946289,60.0
onek1k:1059_1060,52.92771530151367,70.0
onek1k:105_105,49.485952377319336,31.0
onek1k:1060_1061,54.34977722167969,59.0
onek1k:1061_1062,52.571754455566406,62.0
onek1k:1062_1063,55.23765754699707,59.0
onek1k:1063_1064,55.97420120239258,77.0
onek1k:1064_1065,53.215797424316406,70.0
onek1k:1065_1066,54.04292869567871,65.0
onek1k:1066_1067,50.349870681762695,71.0
onek1k:1068_1069,54.52202796936035,72.0
onek1k:106_106,49.795616149902344,80.0
onek1k:1070_1071,50.87720489501953,71.0
onek1k:1071_1072,52.67887496948242,73.0
onek1k:1072_1073,50.47917366027832,59.0
onek1k:1073_1074,50.690364837646484,68.0
onek1k:1074_1075,52.56451416015625,69.0
onek1k:1075_1076,50.85731887817383,57.0
onek1k:1076_1077,53.52814292907715,73.0
onek1k:1077_1078,52.25634002685547,61.0
onek1k:1078_1079,53.10857582092285,65.0
onek1k:1079_1080,53.68535614013672,77.0
onek1k:107_107,52.18260192871094,85.0
onek1k:1080_1081,51.823421478271484,71.0
onek1k:1081_1082,51.32877540588379,73.0
onek1k:108_108,53.77220916748047,67.0
onek1k:109_109,51.11404800415039,84.0
onek1k:10_10,49.493600845336914,78.0
onek1k:110_110,51.99064064025879,84.0
onek1k:111_111,49.582916259765625,69.0
onek1k:112_112,52.14002990722656,81.0
onek1k:113_113,51.56418991088867,67.0
onek1k:114_114,49.43403244018555,72.0
onek1k:116_116,51.78060722351074,77.0
onek1k:117_117,54.14387130737305,91.0
onek1k:119_119,45.838134765625,38.0
onek1k:11_11,50.92825889587402,81.0
onek1k:120_120,49.72567176818848,46.0
