donor,pred_age,true_age
onek1k:1000_1001,51.466421127319336,73.0
onek1k:1001_1002,54.68791389465332,57.0
onek1k:1002_1003,53.34985542297363,73.0
onek1k:1003_1004,48.14793014526367,58.0
onek1k:1004_1005,46.18731498718262,74.0
onek1k:1005_1006,53.356563568115234,66.0
onek1k:1006_1007,49.36232566833496,73.0
onek1k:1007_1008,55.34587478637695,75.0
onek1k:1008_1009,54.810869216918945,71.0
onek1k:1009_1010,55.55808448791504,72.0
onek1k:1010_1011,52.51326942443848,71.0
onek1k:1011_1012,54.10563087463379,67.0
onek1k:1012_1013,53.26101875305176,70.0
onek1k:1014_1015,61.04487991333008,70.0
onek1k:1015_1016,53.143592834472656,67.0
onek1k:1016_1017,55.59238243103027,68.0
onek1k:1018_1019,51.81366157531738,68.0
onek1k:1019_1020,54.61083793640137,69.0
onek1k:101_101,49.40964126586914,71.0
onek1k:1020_1021,54.23569297790527,80.0
onek1k:1021_1022,55.474321365356445,75.0
onek1k:1022_1023,52.242422103881836,68.0
onek1k:1023_1024,55.39043045043945,60.0
onek1k:1024_1025,50.44000816345215,70.0
onek1k:1025_1026,53.19477844238281,57.0
onek1k:1026_1027,53.237247467041016,75.0
onek1k:1027_1028,49.037614822387695,70.0
onek1k:1028_1029,52.34714317321777,72.0
onek1k:1029_1030,53.240501403808594,72.0
onek1k:102_102,48.171003341674805,23.0
onek1k:1030_1031,50.48971939086914,60.0
onek1k:1031_1032,50.46157455444336,72.0
onek1k:1032_1033,54.35650444030762,59.0
onek1k:1033_1034,48.50097465515137,61.0
onek1k:1034_1035,50.445343017578125,64.0
onek1k:1035_1036,55.07572364807129,70.0
onek1k:1036_1037,54.186683654785156,78.0
onek1k:1037_1038,49.55167770385742,58.0
onek1k:1038_1039,52.520965576171875,61.0
onek1k:1039_1040,54.44064903259277,75.0
onek1k:1040_1041,55.10349082946777,72.0
onek1k:1041_1042,51.82553672790527,72.0
onek1k:1042_1043,52.446468353271484,57.0
onek1k:1043_1044,56.89745330810547,71.0
onek1k:1044_1045,55.160804748535156,65.0
onek1k:1045_1046,57.86185264587402,67.0
onek1k:1046_1047,56.06577110290527,62.0
onek1k:1047_1048,58.18186950683594,71.0
onek1k:1048_1049,56.36483383178711,64.0
onek1k:1049_1050,57.409013748168945,61.0
onek1k:104_104,51.32303237915039,57.0
onek1k:1050_1051,56.73756408691406,57.0
onek1k:1051_1052,54.02481269836426,63.0
onek1k:1052_1053,57.63333320617676,75.0
onek1k:1053_1054,55.3919734954834,62.0
onek1k:1054_1055,56.30655860900879,75.0
onek1k:1055_1056,53.13637351989746,71.0
onek1k:1056_1057,55.4708366394043,68.0
onek1k:1057_1058,53.560211181640625,71.0
onek1k:1058_1059,55.269174575805664,60.0
onek1k:1059_1060,53.886749267578125,70.0
onek1k:105_105,50.68455696105957,31.0
onek1k:1060_1061,55.829938888549805,59.0
onek1k:1061_1062,53.2912712097168,62.0
onek1k:1062_1063,56.633989334106445,59.0
onek1k:1063_1064,55.390403747558594,77.0
onek1k:1064_1065,53.023027420043945,70.0
onek1k:1065_1066,55.49319648742676,65.0
onek1k:1066_1067,50.36352729797363,71.0
onek1k:1068_1069,53.91427230834961,72.0
onek1k:106_106,50.17175102233887,80.0
onek1k:1070_1071,50.96648979187012,71.0
onek1k:1071_1072,53.64476013183594,73.0
onek1k:1072_1073,49.8436164855957,59.0
onek1k:1073_1074,51.1562614440918,68.0
onek1k:1074_1075,53.70567321777344,69.0
onek1k:1075_1076,50.94793891906738,57.0
onek1k:1076_1077,54.14023399353027,73.0
onek1k:1077_1078,53.87970161437988,61.0
onek1k:1078_1079,51.930681228637695,65.0
onek1k:1079_1080,54.24296569824219,77.0
onek1k:107_107,52.19898796081543,85.0
onek1k:1080_1081,52.07777214050293,71.0
onek1k:1081_1082,52.2884521484375,73.0
onek1k:108_108,54.39008331298828,67.0
onek1k:109_109,50.951866149902344,84.0
onek1k:10_10,49.69226264953613,78.0
onek1k:110_110,53.093040466308594,84.0
onek1k:111_111,49.92005920410156,69.0
onek1k:112_112,52.54069137573242,81.0
onek1k:113_113,51.06340217590332,67.0
onek1k:114_114,49.678653717041016,72.0
onek1k:116_116,51.160959243774414,77.0
onek1k:117_117,54.31604194641113,91.0
onek1k:119_119,45.860599517822266,38.0
onek1k:11_11,50.944963455200195,81.0
onek1k:120_120,49.4521598815918,46.0
onek1k:121_121,50.07969284057617,71.0
onek1k:122_122,50.40716361999512,67.0
onek1k:123_123,48.28382873535156,50.0
onek1k:124_124,53.746620178222656,71.0
onek1k:125_125,53.26658248901367,74.0
onek1k:126_126,55.032474517822266,65.0
onek1k:127_127,54.82954406738281,85.0
