donor,pred_age,true_age
onek1k:1000_1001,53.01914978027344,73.0
onek1k:1001_1002,56.56201362609863,57.0
onek1k:1002_1003,50.036231994628906,73.0
onek1k:1003_1004,51.359148025512695,58.0
onek1k:1004_1005,49.25323295593262,74.0
onek1k:1005_1006,53.10192680358887,66.0
onek1k:1006_1007,50.812971115112305,73.0
onek1k:1007_1008,51.90542793273926,75.0
onek1k:1008_1009,54.5458927154541,71.0
onek1k:1009_1010,55.44889259338379,72.0
onek1k:1010_1011,54.969430923461914,71.0
onek1k:1011_1012,56.06634330749512,67.0
onek1k:1012_1013,53.41549110412598,70.0
onek1k:1014_1015,63.309417724609375,70.0
onek1k:1015_1016,52.35304069519043,67.0
onek1k:1016_1017,55.72966003417969,68.0
onek1k:1018_1019,53.1675910949707,68.0
onek1k:1019_1020,55.736541748046875,69.0
onek1k:101_101,51.45794677734375,71.0
onek1k:1020_1021,56.66748237609863,80.0
onek1k:1021_1022,56.47351264953613,75.0
onek1k:1022_1023,54.81575012207031,68.0
onek1k:1023_1024,57.9825382232666,60.0
onek1k:1024_1025,50.19009780883789,70.0
onek1k:1025_1026,55.353946685791016,57.0
onek1k:1026_1027,53.25771903991699,75.0
onek1k:1027_1028,50.77446937561035,70.0
onek1k:1028_1029,54.49929618835449,72.0
onek1k:1029_1030,55.5865535736084,72.0
onek1k:102_102,51.5009880065918,23.0
onek1k:1030_1031,48.454673767089844,60.0
onek1k:1031_1032,51.01939010620117,72.0
onek1k:1032_1033,51.22072792053223,59.0
onek1k:1033_1034,51.56544876098633,61.0
onek1k:1034_1035,51.38008689880371,64.0
onek1k:1035_1036,53.67951965332031,70.0
onek1k:1036_1037,57.2989559173584,78.0
onek1k:1037_1038,49.811100006103516,58.0
onek1k:1038_1039,54.33668518066406,61.0
onek1k:1039_1040,55.99632263183594,75.0
onek1k:1040_1041,54.83487319946289,72.0
onek1k:1041_1042,52.9552001953125,72.0
onek1k:1042_1043,53.89262771606445,57.0
onek1k:1043_1044,57.57775688171387,71.0
onek1k:1044_1045,57.539499282836914,65.0
onek1k:1045_1046,56.75997543334961,67.0
onek1k:1046_1047,57.95105743408203,62.0
onek1k:1047_1048,61.09305191040039,71.0
onek1k:1048_1049,56.829444885253906,64.0
onek1k:1049_1050,57.43643760681152,61.0
onek1k:104_104,53.624277114868164,57.0
onek1k:1050_1051,59.137168884277344,57.0
onek1k:1051_1052,55.66987228393555,63.0
onek1k:1052_1053,59.1455078125,75.0
onek1k:1053_1054,55.19264221191406,62.0
onek1k:1054_1055,57.70365333557129,75.0
onek1k:1055_1056,54.60663604736328,71.0
onek1k:1056_1057,58.183860778808594,68.0
onek1k:1057_1058,54.20198631286621,71.0
onek1k:1058_1059,54.56100082397461,60.0
onek1k:1059_1060,53.51698303222656,70.0
onek1k:105_105,53.61491012573242,31.0
onek1k:1060_1061,56.45822525024414,59.0
onek1k:1061_1062,53.922536849975586,62.0
onek1k:1062_1063,57.96696472167969,59.0
onek1k:1063_1064,56.8948860168457,77.0
onek1k:1064_1065,57.239070892333984,70.0
onek1k:1065_1066,56.27236557006836,65.0
onek1k:1066_1067,53.053096771240234,71.0
onek1k:1068_1069,55.99241256713867,72.0
onek1k:106_106,52.52583694458008,80.0
onek1k:1070_1071,52.72215461730957,71.0
onek1k:1071_1072,56.18789291381836,73.0
onek1k:1072_1073,54.822288513183594,59.0
onek1k:1073_1074,53.85740661621094,68.0
onek1k:1074_1075,54.39973258972168,69.0
