donor,pred_age,true_age
onek1k:1000_1001,53.11086654663086,73.0
onek1k:1001_1002,57.546958923339844,57.0
onek1k:1002_1003,53.099853515625,73.0
onek1k:1003_1004,48.33843231201172,58.0
onek1k:1004_1005,47.04080581665039,74.0
onek1k:1005_1006,54.82451629638672,66.0
onek1k:1006_1007,53.50837516784668,73.0
onek1k:1007_1008,54.487722396850586,75.0
onek1k:1008_1009,55.09428024291992,71.0
onek1k:1009_1010,56.83760452270508,72.0
onek1k:1010_1011,50.44563674926758,71.0
onek1k:1011_1012,55.22989273071289,67.0
onek1k:1012_1013,52.14972114562988,70.0
onek1k:1014_1015,62.46254920959473,70.0
onek1k:1015_1016,56.16150665283203,67.0
onek1k:1016_1017,56.72100067138672,68.0
onek1k:1018_1019,55.82749366760254,68.0
onek1k:1019_1020,57.19350051879883,69.0
onek1k:101_101,50.88523864746094,71.0
onek1k:1020_1021,56.399662017822266,80.0
onek1k:1021_1022,56.81901741027832,75.0
onek1k:1022_1023,53.791168212890625,68.0
onek1k:1023_1024,58.065608978271484,60.0
onek1k:1024_1025,50.908010482788086,70.0
onek1k:1025_1026,54.60363578796387,57.0
onek1k:1026_1027,53.88319206237793,75.0
onek1k:1027_1028,48.98814392089844,70.0
onek1k:1028_1029,52.89700698852539,72.0
onek1k:1029_1030,55.689239501953125,72.0
onek1k:102_102,49.19229507446289,23.0
onek1k:1030_1031,48.64518737792969,60.0
onek1k:1031_1032,50.5457649230957,72.0
onek1k:1032_1033,52.94609260559082,59.0
onek1k:1033_1034,53.5072135925293,61.0
onek1k:1034_1035,51.719539642333984,64.0
onek1k:1035_1036,53.955575942993164,70.0
onek1k:1036_1037,57.22800636291504,78.0
onek1k:1037_1038,52.85091018676758,58.0
onek1k:1038_1039,52.99498176574707,61.0
onek1k:1039_1040,57.41222953796387,75.0
onek1k:1040_1041,55.36111259460449,72.0
onek1k:1041_1042,53.30562400817871,72.0
onek1k:1042_1043,52.87723350524902,57.0
onek1k:1043_1044,59.09340286254883,71.0
onek1k:1044_1045,58.14907455444336,65.0
onek1k:1045_1046,59.156965255737305,67.0
onek1k:1046_1047,56.836761474609375,62.0
onek1k:1047_1048,58.20756912231445,71.0
onek1k:1048_1049,57.406402587890625,64.0
onek1k:1049_1050,56.75186538696289,61.0
onek1k:104_104,49.748573303222656,57.0
onek1k:1050_1051,57.95344352722168,57.0
onek1k:1051_1052,54.18155288696289,63.0
onek1k:1052_1053,58.522281646728516,75.0
onek1k:1053_1054,55.67339324951172,62.0
onek1k:1054_1055,56.313133239746094,75.0
onek1k:1055_1056,56.00179672241211,71.0
onek1k:1056_1057,56.606515884399414,68.0
onek1k:1057_1058,56.26210403442383,71.0
onek1k:1058_1059,57.50408935546875,60.0
onek1k:1059_1060,55.34817314147949,70.0
onek1k:105_105,49.17633819580078,31.0
onek1k:1060_1061,57.581491470336914,59.0
onek1k:1061_1062,54.96263122558594,62.0
onek1k:1062_1063,58.27068901062012,59.0
onek1k:1063_1064,56.89593505859375,77.0
onek1k:1064_1065,55.78108024597168,70.0
onek1k:1065_1066,56.83895492553711,65.0
onek1k:1066_1067,51.76515197753906,71.0
onek1k:1068_1069,56.71948051452637,72.0
onek1k:106_106,49.14539909362793,80.0
onek1k:1070_1071,51.13650321960449,71.0
onek1k:1071_1072,53.50484275817871,73.0
onek1k:1072_1073,50.93364715576172,59.0
