donor,pred_age,true_age
onek1k:1000_1001,48.3653678894043,73.0
onek1k:1001_1002,47.76445007324219,57.0
onek1k:1002_1003,48.40180206298828,73.0
onek1k:1003_1004,51.46056365966797,58.0
onek1k:1004_1005,51.015981674194336,74.0
onek1k:1005_1006,51.608089447021484,66.0
onek1k:1006_1007,48.00078010559082,73.0
onek1k:1007_1008,50.245121002197266,75.0
onek1k:1008_1009,49.06344985961914,71.0
onek1k:1009_1010,52.1595344543457,72.0
onek1k:1010_1011,52.05166816711426,71.0
onek1k:1011_1012,51.320003509521484,67.0
onek1k:1012_1013,48.278411865234375,70.0
onek1k:1014_1015,51.37679481506348,70.0
onek1k:1015_1016,50.6608829498291,67.0
onek1k:1016_1017,48.03505325317383,68.0
onek1k:1018_1019,47.192800521850586,68.0
onek1k:1019_1020,51.26872253417969,69.0
onek1k:101_101,48.85632514953613,71.0
onek1k:1020_1021,51.43836975097656,80.0
onek1k:1021_1022,51.729230880737305,75.0
onek1k:1022_1023,49.570674896240234,68.0
onek1k:1023_1024,48.52752876281738,60.0
onek1k:1024_1025,47.84616470336914,70.0
onek1k:1025_1026,49.48514366149902,57.0
onek1k:1026_1027,46.788686752319336,75.0
onek1k:1027_1028,48.80445861816406,70.0
onek1k:1028_1029,49.81736946105957,72.0
onek1k:1029_1030,49.4180850982666,72.0
onek1k:102_102,46.68918991088867,23.0
onek1k:1030_1031,46.90603256225586,60.0
onek1k:1031_1032,51.714603424072266,72.0
onek1k:1032_1033,48.063180923461914,59.0
onek1k:1033_1034,48.51469802856445,61.0
onek1k:1034_1035,47.70273208618164,64.0
onek1k:1035_1036,48.84456253051758,70.0
onek1k:1036_1037,51.709476470947266,78.0
onek1k:1037_1038,50.08151054382324,58.0
onek1k:1038_1039,48.18169021606445,61.0
onek1k:1039_1040,48.582868576049805,75.0
onek1k:1040_1041,50.897979736328125,72.0
onek1k:1041_1042,54.00039482116699,72.0
onek1k:1042_1043,50.53340530395508,57.0
onek1k:1043_1044,50.07398223876953,71.0
onek1k:1044_1045,50.426082611083984,65.0
onek1k:1045_1046,50.272804260253906,67.0
onek1k:1046_1047,49.01373863220215,62.0
onek1k:1047_1048,52.260746002197266,71.0
onek1k:1048_1049,48.82338905334473,64.0
onek1k:1049_1050,52.18507385253906,61.0
onek1k:104_104,48.43401527404785,57.0
onek1k:1050_1051,48.402042388916016,57.0
onek1k:1051_1052,47.64821815490723,63.0
onek1k:1052_1053,49.25113105773926,75.0
onek1k:1053_1054,51.96726036071777,62.0
onek1k:1054_1055,48.175384521484375,75.0
onek1k:1055_1056,47.608951568603516,71.0
onek1k:1056_1057,49.57621383666992,68.0
onek1k:1057_1058,50.321577072143555,71.0
onek1k:1058_1059,50.58416175842285,60.0
onek1k:1059_1060,49.92768669128418,70.0
onek1k:105_105,49.83819007873535,31.0
onek1k:1060_1061,49.71985054016113,59.0
onek1k:1061_1062,51.180105209350586,62.0
onek1k:1062_1063,48.77733612060547,59.0
onek1k:1063_1064,51.599021911621094,77.0
onek1k:1064_1065,48.96710205078125,70.0
onek1k:1065_1066,49.98385810852051,65.0
onek1k:1066_1067,50.26841354370117,71.0
onek1k:1068_1069,49.76249122619629,72.0
onek1k:106_106,50.7064208984375,80.0
onek1k:1070_1071,47.60293197631836,71.0
onek1k:1071_1072,50.97701072692871,73.0
onek1k:1072_1073,49.9439697265625,59.0
onek1k:1073_1074,47.17134475708008,68.0
onek1k:1074_1075,51.08476257324219,69.0
onek1k:1075_1076,48.66661071777344,57.0
onek1k:1076_1077,52.13543510437012,73.0
onek1k:1077_1078,51.05965042114258,61.0
onek1k:1078_1079,49.14181900024414,65.0
onek1k:1079_1080,47.48600959777832,77.0
onek1k:107_107,49.46581268310547,85.0
onek1k:1080_1081,52.299102783203125,71.0
onek1k:1081_1082,51.52842330932617,73.0
onek1k:108_108,48.28531074523926,67.0
onek1k:109_109,47.88238525390625,84.0
onek1k:10_10,46.617868423461914,78.0
onek1k:110_110,51.11695098876953,84.0
onek1k:111_111,48.77726936340332,69.0
onek1k:112_112,51.57050323486328,81.0
onek1k:113_113,50.325029373168945,67.0
onek1k:114_114,48.94098663330078,72.0
onek1k:116_116,49.06659507751465,77.0
onek1k:117_117,53.35847282409668,91.0
onek1k:119_119,46.151123046875,38.0
onek1k:11_11,46.31441307067871,81.0
onek1k:120_120,47.702280044555664,46.0
onek1k:121_121,50.39780616760254,71.0
onek1k:122_122,49.07244682312012,67.0
onek1k:123_123,45.51020622253418,50.0
onek1k:124_124,49.037845611572266,71.0
onek1k:125_125,48.02467155456543,74.0
onek1k:126_126,47.589643478393555,65.0
onek1k:127_127,50.006303787231445,85.0
onek1k:128_128,48.40385055541992,37.0
onek1k:129_129,47.58347702026367,35.0
onek1k:12_12,49.76922607421875,52.0
onek1k:130_130,51.56789588928223,72.0
onek1k:131_131,45.47191619873047,67.0
onek1k:132_132,50.56173324584961,62.0
onek1k:133_133,49.30168914794922,62.0
onek1k:134_134,46.83449745178223,73.0
onek1k:137_137,50.025577545166016,87.0
onek1k:138_138,47.905073165893555,64.0
onek1k:139_139,45.1147518157959,79.0
onek1k:13_13,47.64021682739258,50.0
onek1k:140_140,48.4771671295166,60.0
onek1k:141_141,48.50100517272949,36.0
onek1k:142_142,49.14097213745117,67.0
onek1k:144_144,46.68898582458496,44.0
onek1k:145_145,50.86453819274902,87.0
onek1k:146_146,46.14382743835449,63.0
onek1k:147_147,47.976226806640625,54.0
onek1k:148_148,48.95417022705078,62.0
onek1k:149_149,48.05510711669922,59.0
onek1k:150_150,47.8702507019043,31.0
onek1k:151_151,47.461273193359375,19.0
onek1k:152_152,48.83704948425293,68.0
onek1k:153_153,49.15621566772461,46.0
onek1k:154_154,51.93797302246094,67.0
onek1k:155_155,49.47585105895996,56.0
onek1k:156_156,48.88266563415527,73.0
onek1k:158_158,47.905466079711914,59.0
onek1k:159_159,47.73932456970215,63.0
onek1k:15_15,47.807268142700195,67.0
onek1k:160_160,49.22201156616211,60.0
onek1k:161_161,46.54356002807617,33.0
onek1k:163_163,48.53647994995117,56.0
onek1k:164_165,45.063629150390625,41.0
onek1k:165_166,50.049264907836914,61.0
onek1k:166_167,46.79139709472656,34.0
onek1k:167_168,46.406450271606445,58.0
onek1k:168_169,48.72179412841797,79.0
onek1k:169_170,47.35730743408203,20.0
onek1k:16_16,47.88730049133301,45.0
onek1k:170_171,45.04720687866211,43.0
onek1k:171_172,48.02635383605957,62.0
onek1k:172_173,49.14745330810547,23.0
onek1k:173_174,50.92520713806152,68.0
onek1k:175_176,51.388933181762695,49.0
onek1k:176_177,49.329755783081055,27.0
onek1k:177_178,49.067466735839844,19.0
onek1k:178_179,49.25545120239258,47.0
onek1k:179_180,48.9366397857666,31.0
onek1k:17_17,49.90614318847656,70.0
onek1k:180_181,51.91753578186035,68.0
onek1k:181_182,47.146881103515625,66.0
onek1k:182_183,52.220144271850586,70.0
onek1k:183_184,50.61649703979492,65.0
onek1k:184_185,49.77179145812988,83.0
onek1k:185_186,50.34577178955078,62.0
onek1k:186_187,51.48918914794922,28.0
onek1k:187_188,51.82014846801758,26.0
onek1k:188_189,49.918434143066406,46.0
onek1k:189_190,48.57310676574707,68.0
onek1k:18_18,49.460086822509766,80.0
onek1k:190_191,50.61558532714844,61.0
onek1k:191_192,49.45258140563965,55.0
onek1k:192_193,43.43614196777344,58.0
onek1k:193_194,48.38950157165527,63.0
onek1k:194_195,44.08181953430176,46.0
onek1k:196_197,43.7071590423584,72.0
onek1k:197_198,47.66625785827637,60.0
onek1k:198_199,45.16502571105957,27.0
