donor,pred_age,true_age
onek1k:1000_1001,49.29255676269531,73.0
onek1k:1001_1002,49.28290557861328,57.0
onek1k:1002_1003,46.39680862426758,73.0
onek1k:1003_1004,49.86453437805176,58.0
onek1k:1004_1005,47.49586868286133,74.0
onek1k:1005_1006,51.68342590332031,66.0
onek1k:1006_1007,49.29860877990723,73.0
onek1k:1007_1008,50.64330291748047,75.0
onek1k:1008_1009,52.592376708984375,71.0
onek1k:1009_1010,47.773637771606445,72.0
onek1k:1010_1011,52.514244079589844,71.0
onek1k:1011_1012,51.97029113769531,67.0
onek1k:1012_1013,54.986244201660156,70.0
onek1k:1014_1015,56.854299545288086,70.0
onek1k:1015_1016,52.83502388000488,67.0
onek1k:1016_1017,47.85823440551758,68.0
onek1k:1018_1019,52.03922462463379,68.0
onek1k:1019_1020,52.09060287475586,69.0
onek1k:101_101,46.9105339050293,71.0
onek1k:1020_1021,52.373924255371094,80.0
onek1k:1021_1022,49.87287712097168,75.0
onek1k:1022_1023,53.05048942565918,68.0
onek1k:1023_1024,49.476226806640625,60.0
onek1k:1024_1025,50.476430892944336,70.0
onek1k:1025_1026,48.69501304626465,57.0
onek1k:1026_1027,52.90255928039551,75.0
onek1k:1027_1028,49.34328651428223,70.0
onek1k:1028_1029,50.28999137878418,72.0
onek1k:1029_1030,56.67413139343262,72.0
onek1k:102_102,45.30805969238281,23.0
onek1k:1030_1031,48.66788291931152,60.0
onek1k:1031_1032,50.44301795959473,72.0
onek1k:1032_1033,49.796430587768555,59.0
onek1k:1033_1034,47.181114196777344,61.0
onek1k:1034_1035,48.781015396118164,64.0
onek1k:1035_1036,53.6425895690918,70.0
onek1k:1036_1037,54.72521209716797,78.0
onek1k:1037_1038,48.99738311767578,58.0
onek1k:1038_1039,51.218955993652344,61.0
onek1k:1039_1040,52.0919075012207,75.0
onek1k:1040_1041,53.30537414550781,72.0
onek1k:1041_1042,47.963266372680664,72.0
onek1k:1042_1043,49.4116325378418,57.0
onek1k:1043_1044,51.07009506225586,71.0
onek1k:1044_1045,55.29492950439453,65.0
onek1k:1045_1046,51.04739189147949,67.0
onek1k:1046_1047,53.66343879699707,62.0
onek1k:1047_1048,56.26823616027832,71.0
onek1k:1048_1049,50.10093116760254,64.0
onek1k:1049_1050,53.97796821594238,61.0
onek1k:104_104,44.71652412414551,57.0
onek1k:1050_1051,53.63594055175781,57.0
onek1k:1051_1052,52.56653594970703,63.0
onek1k:1052_1053,52.866586685180664,75.0
onek1k:1053_1054,50.64017677307129,62.0
onek1k:1054_1055,50.084733963012695,75.0
onek1k:1055_1056,47.88829040527344,71.0
onek1k:1056_1057,57.69122886657715,68.0
onek1k:1057_1058,55.27572250366211,71.0
onek1k:1058_1059,50.05487632751465,60.0
onek1k:1059_1060,48.84352684020996,70.0
onek1k:105_105,51.55831527709961,31.0
onek1k:1060_1061,51.68580436706543,59.0
onek1k:1061_1062,50.339866638183594,62.0
onek1k:1062_1063,54.606863021850586,59.0
onek1k:1063_1064,55.17290496826172,77.0
onek1k:1064_1065,50.0152702331543,70.0
onek1k:1065_1066,54.841209411621094,65.0
onek1k:1066_1067,43.992780685424805,71.0
onek1k:1068_1069,53.783416748046875,72.0
onek1k:106_106,49.815555572509766,80.0
onek1k:1070_1071,45.64158821105957,71.0
onek1k:1071_1072,51.12809371948242,73.0
onek1k:1072_1073,45.82276916503906,59.0
onek1k:1073_1074,46.3323860168457,68.0
onek1k:1074_1075,52.82217979431152,69.0
onek1k:1075_1076,46.9451904296875,57.0
onek1k:1076_1077,52.590553283691406,73.0
onek1k:1077_1078,48.48990249633789,61.0
onek1k:1078_1079,48.996849060058594,65.0
onek1k:1079_1080,46.587074279785156,77.0
onek1k:107_107,50.66892623901367,85.0
onek1k:1080_1081,48.31602096557617,71.0
onek1k:1081_1082,49.80473518371582,73.0
onek1k:108_108,53.17056465148926,67.0
onek1k:109_109,50.95243835449219,84.0
onek1k:10_10,46.30702018737793,78.0
onek1k:110_110,53.50918388366699,84.0
onek1k:111_111,48.08436965942383,69.0
onek1k:112_112,51.77693748474121,81.0
onek1k:113_113,52.29221534729004,67.0
onek1k:114_114,48.63115882873535,72.0
onek1k:116_116,49.42878341674805,77.0
onek1k:117_117,51.849510192871094,91.0
onek1k:119_119,47.441049575805664,38.0
onek1k:11_11,46.50095558166504,81.0
onek1k:120_120,41.46454048156738,46.0
onek1k:121_121,49.85966682434082,71.0
onek1k:122_122,48.024126052856445,67.0
onek1k:123_123,45.658592224121094,50.0
onek1k:124_124,43.785024642944336,71.0
onek1k:125_125,47.02581024169922,74.0
onek1k:126_126,48.97970199584961,65.0
onek1k:127_127,51.8775577545166,85.0
onek1k:128_128,42.79294204711914,37.0
onek1k:129_129,47.945817947387695,35.0
onek1k:12_12,44.54068946838379,52.0
onek1k:130_130,46.01496887207031,72.0
onek1k:131_131,51.6530818939209,67.0
onek1k:132_132,44.52452087402344,62.0
onek1k:133_133,50.53468894958496,62.0
onek1k:134_134,50.88266944885254,73.0
onek1k:137_137,50.13460350036621,87.0
onek1k:138_138,51.38918685913086,64.0
