donor,pred_age,true_age
onek1k:1000_1001,50.984989166259766,73.0
onek1k:1001_1002,51.88600730895996,57.0
onek1k:1002_1003,48.56595802307129,73.0
onek1k:1003_1004,51.34039306640625,58.0
onek1k:1004_1005,49.95216941833496,74.0
onek1k:1005_1006,52.26594161987305,66.0
onek1k:1006_1007,51.03339767456055,73.0
onek1k:1007_1008,50.53775405883789,75.0
onek1k:1008_1009,52.52385711669922,71.0
onek1k:1009_1010,52.42374229431152,72.0
onek1k:1010_1011,54.30928421020508,71.0
onek1k:1011_1012,53.176536560058594,67.0
onek1k:1012_1013,56.00420570373535,70.0
onek1k:1014_1015,56.88807678222656,70.0
onek1k:1015_1016,52.07208251953125,67.0
onek1k:1016_1017,49.24069023132324,68.0
onek1k:1018_1019,54.352115631103516,68.0
onek1k:1019_1020,52.68229866027832,69.0
onek1k:101_101,48.66594696044922,71.0
onek1k:1020_1021,52.583208084106445,80.0
onek1k:1021_1022,50.96888542175293,75.0
onek1k:1022_1023,54.51663017272949,68.0
onek1k:1023_1024,52.846818923950195,60.0
onek1k:1024_1025,50.28774452209473,70.0
onek1k:1025_1026,50.59276580810547,57.0
onek1k:1026_1027,53.12433052062988,75.0
onek1k:1027_1028,53.117698669433594,70.0
onek1k:1028_1029,52.723947525024414,72.0
onek1k:1029_1030,58.49918174743652,72.0
onek1k:102_102,47.86423301696777,23.0
onek1k:1030_1031,50.33895301818848,60.0
onek1k:1031_1032,53.65292930603027,72.0
onek1k:1032_1033,51.19985389709473,59.0
onek1k:1033_1034,52.15377998352051,61.0
onek1k:1034_1035,49.984453201293945,64.0
onek1k:1035_1036,55.25092315673828,70.0
onek1k:1036_1037,54.795976638793945,78.0
onek1k:1037_1038,50.67932891845703,58.0
onek1k:1038_1039,53.869544982910156,61.0
onek1k:1039_1040,53.62965202331543,75.0
onek1k:1040_1041,53.77402114868164,72.0
onek1k:1041_1042,50.00813102722168,72.0
onek1k:1042_1043,50.08738708496094,57.0
onek1k:1043_1044,53.40248680114746,71.0
onek1k:1044_1045,55.63779830932617,65.0
onek1k:1045_1046,54.20297622680664,67.0
onek1k:1046_1047,55.22735404968262,62.0
onek1k:1047_1048,56.831533432006836,71.0
onek1k:1048_1049,52.881935119628906,64.0
onek1k:1049_1050,55.61996841430664,61.0
onek1k:104_104,46.90991973876953,57.0
onek1k:1050_1051,53.81454849243164,57.0
onek1k:1051_1052,54.77700614929199,63.0
onek1k:1052_1053,54.16577911376953,75.0
onek1k:1053_1054,52.19230651855469,62.0
onek1k:1054_1055,49.938175201416016,75.0
onek1k:1055_1056,51.72818374633789,71.0
onek1k:1056_1057,57.43732261657715,68.0
onek1k:1057_1058,56.41776466369629,71.0
onek1k:1058_1059,53.52783393859863,60.0
onek1k:1059_1060,51.75541687011719,70.0
onek1k:105_105,53.43636512756348,31.0
onek1k:1060_1061,52.954973220825195,59.0
onek1k:1061_1062,51.823795318603516,62.0
onek1k:1062_1063,55.10744285583496,59.0
onek1k:1063_1064,54.351280212402344,77.0
onek1k:1064_1065,53.43214988708496,70.0
onek1k:1065_1066,54.498342514038086,65.0
onek1k:1066_1067,49.844970703125,71.0
onek1k:1068_1069,55.6816349029541,72.0
onek1k:106_106,52.71770095825195,80.0
onek1k:1070_1071,45.95794677734375,71.0
onek1k:1071_1072,53.2961483001709,73.0
onek1k:1072_1073,45.56442642211914,59.0
onek1k:1073_1074,49.153236389160156,68.0
onek1k:1074_1075,53.64251708984375,69.0
onek1k:1075_1076,47.32236862182617,57.0
onek1k:1076_1077,53.465267181396484,73.0
onek1k:1077_1078,50.08732795715332,61.0
onek1k:1078_1079,52.93401527404785,65.0
onek1k:1079_1080,49.84904861450195,77.0
onek1k:107_107,53.41412162780762,85.0
onek1k:1080_1081,51.11270713806152,71.0
onek1k:1081_1082,52.17619705200195,73.0
onek1k:108_108,55.13512420654297,67.0
onek1k:109_109,52.26940155029297,84.0
onek1k:10_10,50.23824882507324,78.0
onek1k:110_110,54.95282173156738,84.0
onek1k:111_111,51.46079444885254,69.0
onek1k:112_112,52.354787826538086,81.0
onek1k:113_113,51.72221755981445,67.0
onek1k:114_114,50.491132736206055,72.0
onek1k:116_116,49.90310287475586,77.0
onek1k:117_117,52.23176574707031,91.0
onek1k:119_119,50.154510498046875,38.0
onek1k:11_11,48.87578582763672,81.0
onek1k:120_120,47.555755615234375,46.0
onek1k:121_121,52.84289360046387,71.0
onek1k:122_122,51.88911819458008,67.0
onek1k:123_123,50.455087661743164,50.0
onek1k:124_124,49.45908737182617,71.0
onek1k:125_125,49.613285064697266,74.0
onek1k:126_126,52.68878364562988,65.0
onek1k:127_127,55.17233085632324,85.0
onek1k:128_128,46.05972862243652,37.0
onek1k:129_129,52.25593948364258,35.0
onek1k:12_12,50.136444091796875,52.0
onek1k:130_130,52.798160552978516,72.0
onek1k:131_131,52.96478080749512,67.0
onek1k:132_132,50.21392250061035,62.0
onek1k:133_133,50.458072662353516,62.0
onek1k:134_134,52.936452865600586,73.0
onek1k:137_137,51.134368896484375,87.0
onek1k:138_138,52.810062408447266,64.0
onek1k:139_139,52.14524841308594,79.0
onek1k:13_13,51.500680923461914,50.0
onek1k:140_140,50.131507873535156,60.0
onek1k:141_141,50.728824615478516,36.0
onek1k:142_142,54.09397888183594,67.0
onek1k:144_144,53.296064376831055,44.0
onek1k:145_145,52.85963439941406,87.0
onek1k:146_146,50.17920112609863,63.0
onek1k:147_147,46.12451362609863,54.0
onek1k:148_148,52.60243034362793,62.0
onek1k:149_149,50.63755989074707,59.0
onek1k:150_150,52.93815231323242,31.0
onek1k:151_151,48.43574905395508,19.0
onek1k:152_152,53.3560733795166,68.0
onek1k:153_153,48.46987533569336,46.0
onek1k:154_154,49.46452522277832,67.0
onek1k:155_155,50.741233825683594,56.0
onek1k:156_156,51.54388618469238,73.0
onek1k:158_158,52.796152114868164,59.0
onek1k:159_159,51.35886573791504,63.0
onek1k:15_15,50.45967483520508,67.0
onek1k:160_160,51.98146057128906,60.0
onek1k:161_161,47.420705795288086,33.0
onek1k:163_163,51.41014862060547,56.0
onek1k:164_165,47.23488807678223,41.0
onek1k:165_166,54.32557678222656,61.0
onek1k:166_167,48.61511421203613,34.0
onek1k:167_168,51.496774673461914,58.0
onek1k:168_169,51.621591567993164,79.0
onek1k:169_170,46.357975006103516,20.0
onek1k:16_16,48.082876205444336,45.0
onek1k:170_171,47.44682502746582,43.0
onek1k:171_172,51.48816680908203,62.0
onek1k:172_173,48.97381591796875,23.0
onek1k:173_174,52.72971725463867,68.0
onek1k:175_176,52.96396064758301,49.0
onek1k:176_177,52.39881134033203,27.0
onek1k:177_178,48.95891189575195,19.0
onek1k:178_179,46.15831756591797,47.0
