donor,pred_age,true_age
terekhova:A01,38.1683349609375,30.0
terekhova:A02,38.96262168884277,27.0
terekhova:A03,45.711862564086914,35.0
terekhova:A04,38.40169906616211,31.0
terekhova:A05,46.55636024475098,29.0
terekhova:A06,38.10205078125,28.0
terekhova:A07,38.080915451049805,30.0
terekhova:A08,38.07587432861328,28.0
terekhova:A09,38.07981300354004,34.0
terekhova:A10,39.387434005737305,28.0
terekhova:A11,38.0972785949707,29.0
terekhova:A12,38.359785079956055,27.0
terekhova:A13,38.95952033996582,33.0
terekhova:A14,38.8820858001709,29.0
terekhova:A15,38.106964111328125,27.0
terekhova:A16,38.0933895111084,29.0
terekhova:A17,38.08482551574707,30.0
terekhova:A18,38.079227447509766,29.0
terekhova:A19,38.07322883605957,30.0
terekhova:A20,38.087066650390625,27.0
terekhova:A21,38.08908271789551,28.0
terekhova:A22,38.1044807434082,29.0
terekhova:A23,38.118234634399414,27.0
terekhova:A24,38.07428741455078,27.0
terekhova:A25,38.501935958862305,34.0
terekhova:A26,38.12119674682617,29.0
terekhova:A27,38.097476959228516,29.0
terekhova:A28,38.0726432800293,25.0
terekhova:A29,38.13665008544922,33.0
terekhova:A30,38.095558166503906,33.0
terekhova:A31,38.16718101501465,32.0
terekhova:A33,38.090362548828125,31.0
terekhova:A34,38.0884895324707,28.0
terekhova:A35,38.12529754638672,33.0
terekhova:A36,38.14678955078125,33.0
terekhova:A37,38.07375717163086,26.0
terekhova:A38,38.08660125732422,30.0
terekhova:A40,38.079010009765625,30.0
terekhova:A41,38.10969161987305,35.0
terekhova:B01,42.012001037597656,43.0
terekhova:B02,44.28349304199219,42.0
terekhova:B03,44.42593765258789,36.0
terekhova:B04,45.30716323852539,36.0
terekhova:B05,57.170637130737305,43.0
terekhova:B06,38.08610534667969,43.0
terekhova:B08,38.23369026184082,44.0
terekhova:B09,38.07346534729004,36.0
terekhova:B10,38.08346939086914,44.0
terekhova:B11,38.080318450927734,37.0
terekhova:B12,38.27977752685547,36.0
terekhova:B13,38.16948318481445,36.0
terekhova:B14,38.19392204284668,38.0
terekhova:B15,43.67052459716797,35.0
terekhova:B16,38.125858306884766,44.0
terekhova:B17,38.07841873168945,39.0
terekhova:B18,38.09746551513672,38.0
terekhova:B19,38.1263484954834,41.0
terekhova:B20,38.26869010925293,39.0
terekhova:B21,38.62754440307617,35.0
terekhova:B22,38.07548713684082,38.0
terekhova:B23,38.174264907836914,39.0
terekhova:B24,38.106008529663086,36.0
terekhova:C01,39.785552978515625,53.0
terekhova:C02,48.11202621459961,53.0
terekhova:C04,57.10935592651367,51.0
terekhova:C05,42.846784591674805,51.0
terekhova:C06,53.77326965332031,46.0
terekhova:C07,38.08841133117676,53.0
terekhova:C08,38.57605171203613,50.0
terekhova:C09,53.31752014160156,55.0
terekhova:C10,45.75905990600586,52.0
terekhova:C11,38.17727088928223,51.0
terekhova:C12,38.238773345947266,54.0
terekhova:C13,38.10284423828125,50.0
terekhova:C14,42.422990798950195,48.0
terekhova:C15,38.0843563079834,48.0
terekhova:C16,38.20580291748047,49.0
terekhova:C17,38.108890533447266,54.0
terekhova:C18,38.086835861206055,54.0
terekhova:D01,39.219839096069336,56.0
terekhova:D02,38.89323425292969,61.0
terekhova:D03,64.18503189086914,62.0
terekhova:D04,57.060407638549805,61.0
terekhova:D05,38.08254051208496,64.0
terekhova:D06,38.078725814819336,60.0
terekhova:D07,39.770233154296875,58.0
terekhova:D08,38.41032600402832,63.0
terekhova:D09,38.2150993347168,61.0
terekhova:D10,38.147552490234375,59.0
terekhova:D11,38.092145919799805,61.0
terekhova:D12,38.096574783325195,61.0
terekhova:D13,38.10316467285156,59.0
terekhova:D14,38.51093101501465,62.0
terekhova:D15,39.0520133972168,64.0
terekhova:D16,47.810821533203125,63.0
terekhova:D17,38.183963775634766,57.0
terekhova:D18,38.10990905761719,63.0
terekhova:D19,38.142032623291016,61.0
terekhova:D20,38.07521438598633,61.0
terekhova:D21,38.07485580444336,62.0
terekhova:D22,38.07361602783203,64.0
terekhova:D23,38.07841873168945,62.0
terekhova:D24,38.07238578796387,63.0
terekhova:E01,38.10972595214844,72.0
terekhova:E02,51.824140548706055,75.0
terekhova:E03,61.89811706542969,70.0
terekhova:E04,40.16325569152832,71.0
terekhova:E05,45.9759521484375,67.0
terekhova:E06,51.87162399291992,66.0
terekhova:E07,56.05792999267578,79.0
terekhova:E08,38.17843437194824,67.0
terekhova:E09,39.442617416381836,66.0
terekhova:E10,38.2953987121582,66.0
terekhova:E11,38.272216796875,73.0
terekhova:E12,38.0750675201416,80.0
terekhova:E13,38.08529281616211,79.0
terekhova:E14,38.07919883728027,71.0
terekhova:E15,38.11640739440918,79.0
terekhova:E16,38.1799430847168,71.0
terekhova:E18,38.08341598510742,68.0
terekhova:E19,38.25684356689453,77.0
terekhova:E20,38.089826583862305,76.0
terekhova:E21,38.12702941894531,73.0
terekhova:E22,38.08353805541992,76.0
terekhova:E23,38.083208084106445,73.0
terekhova:E24,38.170997619628906,73.0
terekhova:E26,38.6120548248291,73.0
terekhova:E27,38.20078468322754,65.0
terekhova:E29,38.17206954956055,74.0
terekhova:E30,38.359689712524414,72.0
terekhova:FA01,38.071998596191406,34.0
terekhova:FA02,38.08777618408203,32.0
terekhova:FA03,38.06965637207031,30.0
terekhova:FA04,38.08115768432617,34.0
terekhova:FA05,38.07953643798828,27.0
terekhova:FA06,38.08168411254883,33.0
terekhova:FA07,38.079851150512695,30.0
terekhova:FA08,38.08823204040527,26.0
terekhova:FB01,38.098257064819336,44.0
terekhova:FB02,38.08795928955078,40.0
terekhova:FB03,38.1028938293457,36.0
terekhova:FB04,38.11857032775879,38.0
terekhova:FB05,38.08503723144531,35.0
terekhova:FB06,38.13881874084473,37.0
terekhova:FB07,39.77058792114258,36.0
terekhova:FC01,38.073734283447266,52.0
terekhova:FC02,38.07830047607422,49.0
terekhova:FC03,38.078224182128906,53.0
terekhova:FC04,38.12733268737793,51.0
terekhova:FC06,38.13560485839844,50.0
terekhova:FD01,38.1210880279541,59.0
terekhova:FD02,38.07074546813965,55.0
terekhova:FD03,38.115333557128906,61.0
terekhova:FD04,38.205923080444336,58.0
terekhova:FD05,38.131181716918945,56.0
terekhova:FD06,38.1041145324707,55.0
terekhova:FE01,38.07370567321777,80.0
terekhova:FE02,38.09708786010742,80.0
terekhova:FE03,38.084543228149414,73.0
terekhova:FE04,38.09505081176758,74.0
terekhova:FE05,38.07473373413086,73.0
terekhova:FE06,38.08750534057617,78.0
terekhova:FE07,38.08293151855469,71.0
terekhova:FE08,38.10428047180176,68.0
terekhova:FE09,38.08166694641113,76.0
terekhova:FE10,38.080888748168945,69.0
