fold,eval_cohort,cell_type,alpha,l1_ratio,n_nonzero_genes,n_train_donors,n_eval_donors,pearson_r,pearson_p,mae_y,pearson_ci_lo,pearson_ci_hi,pred_mean,eval_mean
loco_onek1k,onek1k,CD4+ T,0.01,0.5,511,190,981,0.611795,0,14.1883,0.567743,0.65281,52.9329,63.9144
loco_onek1k,aida,CD4+ T,0.01,0.5,511,190,293,0.61563,5.92575e-32,6.42103,0.545621,0.67896,39.6087,41.7645
loco_terekhova,terekhova,CD4+ T,0.5,0.7,470,1005,166,0.775749,1.2942e-34,10.5241,0.698579,0.837308,58.1203,49.4699
loco_terekhova,aida,CD4+ T,0.5,0.7,470,1005,293,0.650681,1.15631e-36,6.66475,0.582281,0.711005,39.7734,41.7645
loco_onek1k,onek1k,B,1,0.3,822,195,981,0.135763,1.98514e-05,15.7,0.0761781,0.184529,54.9414,63.9144
loco_onek1k,aida,B,1,0.3,822,195,307,0.126269,0.0269494,11.7691,0.0198969,0.237835,49.0207,41.0749
loco_terekhova,terekhova,B,1,0.3,1010,1010,166,0.320989,2.48089e-05,15.0709,0.187439,0.439623,64.0376,49.3735
loco_onek1k,onek1k,NK,2,0.9,70,195,981,0.366064,1.79605e-32,19.0756,0.310893,0.415758,48.6659,63.9144
loco_onek1k,aida,NK,2,0.9,70,195,306,0.236278,2.97288e-05,12.2437,0.135739,0.331315,50.829,41.098
loco_terekhova,terekhova,NK,1,0.7,228,1010,166,0.421558,1.54744e-08,12.9512,0.292685,0.546008,52.0231,49.4337
loco_terekhova,aida,NK,1,0.7,228,1010,306,0.244407,1.53486e-05,16.0169,0.141489,0.347431,56.082,41.098
loco_terekhova,aida,B,1,0.3,1010,1010,307,0.168268,0.00310273,16.5143,0.0546648,0.273222,59.0306,41.0749
