baseline,training_cohorts,eval_cohort,cell_type,n_donors,median_abs_err_yr,mean_abs_err_yr,pearson_r,pearson_p,mean_bias_yr,alpha_lambda_min,n_nonzero_coefs,pseudocell_n,pseudocell_size
LASSO-retrained-3cohort,our-three-cohort,onek1k,CD4T,981,10.961418151855469,11.75203800201416,0.7059177756309509,0.0,-4.699652194976807,0.00588896950678631,474,100,15
LASSO-retrained-3cohort,our-three-cohort,onek1k,CD8T,981,10.766372680664062,11.615739822387695,0.6578114032745361,0.0,-4.826376438140869,0.01669379267066506,298,100,15
LASSO-retrained-3cohort,our-three-cohort,onek1k,MONO,978,20.218631744384766,20.420063018798828,0.28704598546028137,5.2513234839327916e-20,-16.968090057373047,0.18058653391093146,41,100,15
LASSO-retrained-3cohort,our-three-cohort,onek1k,NK,981,19.361228942871094,19.471582412719727,0.34395647048950195,1.2583088569484526e-28,-15.246217727661133,0.6535431782993202,6,100,15
LASSO-retrained-3cohort,our-three-cohort,onek1k,B,981,19.599998474121094,20.16840171813965,,,-15.514372825622559,0.8975331783294678,0,100,15
LASSO-retrained-3cohort,our-three-cohort,stephenson,CD4T,24,8.651182174682617,8.882366180419922,0.7666120529174805,1.2493785106926225e-05,2.7479541301727295,0.0035043559037148952,473,100,15
LASSO-retrained-3cohort,our-three-cohort,stephenson,CD8T,24,10.588563919067383,10.6317720413208,0.7128921151161194,9.250601578969508e-05,6.0026679039001465,0.008181816898286343,381,100,15
LASSO-retrained-3cohort,our-three-cohort,stephenson,MONO,23,11.299118041992188,12.90584659576416,0.41701966524124146,0.04773978516459465,6.077187538146973,0.06632193519296953,165,100,15
LASSO-retrained-3cohort,our-three-cohort,stephenson,NK,29,14.108654022216797,13.754157066345215,0.25523531436920166,0.181457057595253,5.866965293884277,0.01930129232652229,208,100,15
LASSO-retrained-3cohort,our-three-cohort,stephenson,B,29,13.279220581054688,14.60835075378418,0.23332124948501587,0.22318477928638458,7.867389678955078,0.02035443285350646,203,100,15
LASSO-retrained-3cohort,our-three-cohort,terekhova,CD4T,166,8.664325714111328,9.3053560256958,0.8057053089141846,3.846956648141634e-39,-1.8221157789230347,0.003638956842647582,482,100,15
LASSO-retrained-3cohort,our-three-cohort,terekhova,CD8T,166,9.35995101928711,9.827251434326172,0.7425571084022522,2.367007962499389e-30,-1.084720492362976,0.0111040804498385,325,100,15
LASSO-retrained-3cohort,our-three-cohort,terekhova,MONO,166,13.673778533935547,14.03418254852295,0.3715439736843109,8.289786705972801e-07,3.9382107257843018,0.02027815022413848,361,100,15
LASSO-retrained-3cohort,our-three-cohort,terekhova,NK,166,12.969650268554688,14.117732048034668,0.34919872879981995,4.0052123040368315e-06,-5.502532958984375,0.03880703978423113,119,100,15
LASSO-retrained-3cohort,our-three-cohort,terekhova,B,166,15.374584197998047,15.32385540008545,-0.12428857386112213,0.11061425507068634,-2.7407760620117188,0.12332415776915402,20,100,15
