baseline,training_cohorts,eval_cohort,eval_chemistry,cell_type,n_donors,median_abs_err_yr,mean_abs_err_yr,pearson_r,pearson_p,mean_bias_yr,leakage_status,chemistry_match_to_baseline_training,detectability_flag
scImmuAging-LASSO,original-five,onek1k,10x 3' v2,CD4T,981,9.448,10.086,0.7466,1.8187824501246616e-175,-4.419,clean,match,powered
LASSO-retrained-3cohort,our-three-cohort,onek1k,10x 3' v2,CD4T,981,10.961418151855469,11.75203800201416,0.7059177756309509,0.0,-4.699652194976807,clean,match,powered
scAgeClock,CELLxGENE-Census-2024-07-01,onek1k,10x 3' v2,CD4T,981,17.916095733642578,18.35733199046657,0.360956404671612,1.4790820199496762e-31,-13.475031873137214,overlapping,match,powered
Pasta-REG,Pasta-pretraining-bulk,onek1k,10x 3' v2,CD4T,981,24.1619239058928,24.0280897396904,0.598185960922538,2.98310998775346e-96,-23.3269197166521,clean,bulk-vs-sc,powered
scImmuAging-LASSO,original-five,onek1k,10x 3' v2,CD8T,981,7.56,8.693,0.7659,4.993189619269191e-190,-1.532,clean,match,powered
LASSO-retrained-3cohort,our-three-cohort,onek1k,10x 3' v2,CD8T,981,10.766372680664062,11.615739822387695,0.6578114032745361,0.0,-4.826376438140869,clean,match,powered
scAgeClock,CELLxGENE-Census-2024-07-01,onek1k,10x 3' v2,CD8T,981,19.20384979248047,19.477470716812803,0.5944590783882573,8.784874632521784e-95,-15.931590617857456,overlapping,match,powered
Pasta-REG,Pasta-pretraining-bulk,onek1k,10x 3' v2,CD8T,981,24.9414514950789,26.7962484525126,0.516389537886642,5.75131097966119e-68,-25.5419573980618,clean,bulk-vs-sc,powered
scImmuAging-LASSO,original-five,onek1k,10x 3' v2,MONO,978,7.948,9.551,0.7049,9.931231100846025e-148,-3.11,clean,match,powered
LASSO-retrained-3cohort,our-three-cohort,onek1k,10x 3' v2,MONO,978,20.21863174438477,20.420063018798828,0.2870459854602813,5.2513234839327916e-20,-16.968090057373047,clean,match,powered
scAgeClock,CELLxGENE-Census-2024-07-01,onek1k,10x 3' v2,MONO,978,18.11742401123047,18.637027034486486,0.1800244298306795,1.4356598625641952e-08,-13.590708403012016,overlapping,match,powered
Pasta-REG,Pasta-pretraining-bulk,onek1k,10x 3' v2,MONO,978,17.8968806136403,22.3704680091299,0.0658104570509343,0.0396200144581813,5.98694793708994,clean,bulk-vs-sc,powered
scImmuAging-LASSO,original-five,onek1k,10x 3' v2,NK,981,9.637,10.755,0.6292,2.8830343773237965e-109,-2.565,clean,match,powered
LASSO-retrained-3cohort,our-three-cohort,onek1k,10x 3' v2,NK,981,19.361228942871094,19.471582412719727,0.3439564704895019,1.2583088569484526e-28,-15.246217727661133,clean,match,powered
scAgeClock,CELLxGENE-Census-2024-07-01,onek1k,10x 3' v2,NK,981,11.549957275390623,12.958723739017405,0.3645263675625914,3.4022455843682205e-32,-2.268168014853008,overlapping,match,powered
Pasta-REG,Pasta-pretraining-bulk,onek1k,10x 3' v2,NK,981,29.2083302605024,29.5651685467425,0.159476129840669,5.14738258171008e-07,-25.8662840142667,clean,bulk-vs-sc,powered
scImmuAging-LASSO,original-five,onek1k,10x 3' v2,B,981,10.664,11.926,0.5314,1.400781719368076e-72,-3.709,clean,match,powered
LASSO-retrained-3cohort,our-three-cohort,onek1k,10x 3' v2,B,981,19.599998474121094,20.16840171813965,,,-15.51437282562256,clean,match,powered
scAgeClock,CELLxGENE-Census-2024-07-01,onek1k,10x 3' v2,B,981,18.34687805175781,18.682420911409803,0.2994574759722896,8.962773277289234e-22,-13.714132213689744,overlapping,match,powered
Pasta-REG,Pasta-pretraining-bulk,onek1k,10x 3' v2,B,981,26.0543984029347,27.8735041836297,0.159634453056254,5.01376184324483e-07,-23.7444000090777,clean,bulk-vs-sc,powered
scImmuAging-LASSO,original-five,stephenson,10x 3',CD4T,24,8.444,8.953,0.7931,3.8032181199746034e-06,-4.507,clean,match,underpowered
LASSO-retrained-3cohort,our-three-cohort,stephenson,10x 3',CD4T,24,8.651182174682617,8.882366180419922,0.7666120529174805,1.2493785106926223e-05,2.747954130172729,clean,match,underpowered
scAgeClock,CELLxGENE-Census-2024-07-01,stephenson,10x 3',CD4T,24,14.299261093139648,14.30617062250773,0.0255844858441771,0.9055400555161884,-3.4122846921284995,overlapping,match,underpowered
Pasta-REG,Pasta-pretraining-bulk,stephenson,10x 3',CD4T,24,9.73283968708362,10.2305099346658,0.660820152522207,0.0004395432068492,0.655441545083758,clean,bulk-vs-sc,underpowered
scImmuAging-LASSO,original-five,stephenson,10x 3',CD8T,24,11.386,12.07,0.7141,8.89623270335928e-05,8.521,clean,match,underpowered
LASSO-retrained-3cohort,our-three-cohort,stephenson,10x 3',CD8T,24,10.588563919067385,10.6317720413208,0.7128921151161194,9.250601578969508e-05,6.0026679039001465,clean,match,underpowered
scAgeClock,CELLxGENE-Census-2024-07-01,stephenson,10x 3',CD8T,24,14.725334167480469,14.197158495585125,0.0817994843797973,0.7039608866907032,-3.1499738693237305,overlapping,match,underpowered
Pasta-REG,Pasta-pretraining-bulk,stephenson,10x 3',CD8T,24,12.1600415042917,11.7035880663153,0.634885878408792,0.0008598193058335,-0.0118266858158383,clean,bulk-vs-sc,underpowered
scImmuAging-LASSO,original-five,stephenson,10x 3',MONO,23,10.661,12.603,0.2241,0.303884157779554,-0.959,clean,match,underpowered
LASSO-retrained-3cohort,our-three-cohort,stephenson,10x 3',MONO,23,11.299118041992188,12.90584659576416,0.4170196652412414,0.0477397851645946,6.077187538146973,clean,match,underpowered
scAgeClock,CELLxGENE-Census-2024-07-01,stephenson,10x 3',MONO,23,14.284080505371094,13.294824019722316,0.3762906190093978,0.0767781959109758,-5.392399331797725,overlapping,match,underpowered
