baseline,training_cohorts,eval_cohort,cell_type,n_donors,median_abs_err_yr,mean_abs_err_yr,pearson_r,pearson_p,mean_bias_yr
Pasta-REG,Pasta-pretraining,onek1k,CD4T,981,24.1619239058928,24.0280897396904,0.598185960922538,2.98310998775346e-96,-23.3269197166521
Pasta-REG,Pasta-pretraining,onek1k,CD8T,981,24.9414514950789,26.7962484525126,0.516389537886642,5.75131097966119e-68,-25.5419573980618
Pasta-REG,Pasta-pretraining,onek1k,MONO,978,17.8968806136403,22.3704680091299,0.0658104570509343,0.0396200144581813,5.98694793708994
Pasta-REG,Pasta-pretraining,onek1k,NK,981,29.2083302605024,29.5651685467425,0.159476129840669,5.14738258171008e-07,-25.8662840142667
Pasta-REG,Pasta-pretraining,onek1k,B,981,26.0543984029347,27.8735041836297,0.159634453056254,5.01376184324483e-07,-23.7444000090777
Pasta-REG,Pasta-pretraining,stephenson,CD4T,24,9.73283968708362,10.2305099346658,0.660820152522207,0.000439543206849216,0.655441545083758
Pasta-REG,Pasta-pretraining,stephenson,CD8T,24,12.1600415042917,11.7035880663153,0.634885878408792,0.000859819305833505,-0.0118266858158383
Pasta-REG,Pasta-pretraining,stephenson,MONO,23,33.0602167481642,33.8431458922973,-0.293562730959585,0.173974241940531,33.8431458922973
Pasta-REG,Pasta-pretraining,stephenson,NK,29,11.395186863333,14.0480537770268,0.055464647810067,0.77505596644506,1.14128621762232
Pasta-REG,Pasta-pretraining,stephenson,B,29,16.6651941281763,16.7055256914477,0.11268112169619,0.560584731001204,6.95162457233953
Pasta-REG,Pasta-pretraining,terekhova,CD4T,166,8.03773178122453,9.5706126225479,0.777251826573571,7.97576238629725e-35,5.632719797393
Pasta-REG,Pasta-pretraining,terekhova,CD8T,166,7.55924628098422,9.48430650095295,0.750581641170392,2.54412162995226e-31,-0.672214786899612
Pasta-REG,Pasta-pretraining,terekhova,MONO,166,21.5704865697093,21.2917557936021,0.551051732513208,1.43981898456417e-14,20.4921622839738
Pasta-REG,Pasta-pretraining,terekhova,NK,166,13.378166948393,14.6363346656687,0.351926836221616,3.32552798481046e-06,-7.52734939478033
Pasta-REG,Pasta-pretraining,terekhova,B,166,10.8614455727166,13.7671863481299,0.280917362812867,0.000246256491857274,-2.52755479753597
