donor_id,true_age,predicted_age,n_cells
aida:JP_RIK_H001,34.0,33.13259,168
aida:JP_RIK_H002,23.0,32.819103,315
aida:JP_RIK_H003,47.0,33.560078,192
aida:JP_RIK_H004,37.0,35.73684,180
aida:JP_RIK_H005,37.0,35.881226,159
aida:JP_RIK_H006,48.0,33.500072,377
aida:JP_RIK_H007,45.0,35.866425,54
aida:JP_RIK_H008,43.0,36.07995,176
aida:JP_RIK_H009,26.0,36.95341,365
aida:JP_RIK_H010,46.0,36.141266,440
aida:JP_RIK_H011,31.0,36.259377,357
aida:JP_RIK_H012,49.0,36.425728,336
aida:JP_RIK_H013,24.0,36.55368,662
aida:JP_RIK_H014,47.0,36.592766,254
aida:JP_RIK_H015,63.0,33.3785,202
aida:JP_RIK_H016,33.0,34.95242,235
aida:JP_RIK_H017,47.0,35.186184,473
aida:JP_RIK_H018,39.0,35.97305,537
aida:JP_RIK_H019,21.0,32.11783,346
aida:JP_RIK_H020,45.0,34.44432,412
aida:JP_RIK_H021,39.0,33.431194,495
aida:JP_RIK_H022,40.0,35.0065,474
aida:JP_RIK_H023,27.0,32.91922,96
aida:JP_RIK_H024,33.0,35.44427,391
aida:JP_RIK_H025,35.0,35.08208,283
aida:JP_RIK_H026,45.0,35.199265,270
aida:JP_RIK_H027,43.0,32.874424,443
aida:JP_RIK_H028,34.0,34.55668,409
aida:JP_RIK_H029,28.0,32.747112,513
aida:JP_RIK_H030,46.0,33.236614,195
aida:JP_RIK_H031,30.0,34.47786,396
aida:JP_RIK_H032,34.0,34.788944,540
aida:JP_RIK_H033,44.0,35.56415,58
aida:JP_RIK_H034,33.0,35.34747,681
aida:JP_RIK_H035,28.0,32.26777,510
aida:JP_RIK_H036,41.0,32.765522,368
aida:JP_RIK_H037,31.0,33.581615,379
aida:JP_RIK_H038,31.0,34.94673,270
aida:JP_RIK_H039,45.0,35.69547,833
aida:JP_RIK_H040,31.0,34.875473,368
aida:JP_RIK_H041,37.0,31.71396,243
aida:JP_RIK_H042,32.0,34.918606,641
aida:JP_RIK_H043,34.0,34.988518,330
aida:JP_RIK_H044,37.0,32.7589,581
aida:JP_RIK_H045,31.0,35.37772,808
aida:JP_RIK_H046,34.0,31.933475,340
aida:JP_RIK_H047,42.0,32.492554,614
aida:JP_RIK_H048,23.0,31.85338,330
aida:JP_RIK_H049,33.0,35.90282,452
aida:JP_RIK_H050,34.0,33.209137,511
aida:JP_RIK_H051,36.0,35.270405,262
aida:JP_RIK_H052,36.0,35.044243,584
aida:JP_RIK_H053,30.0,35.174694,327
aida:JP_RIK_H054,37.0,35.129944,416
aida:JP_RIK_H055,47.0,32.427807,333
aida:JP_RIK_H056,25.0,35.916435,364
aida:JP_RIK_H057,32.0,36.066963,464
aida:JP_RIK_H058,43.0,35.47815,494
aida:JP_RIK_H059,43.0,35.74271,361
aida:JP_RIK_H060,30.0,34.520786,151
aida:JP_RIK_H061,34.0,32.280987,444
aida:JP_RIK_H062,48.0,32.518177,545
aida:JP_RIK_H063,21.0,35.66102,453
aida:JP_RIK_H064,46.0,36.0546,287
aida:JP_RIK_H065,21.0,32.863613,293
aida:JP_RIK_H066,22.0,35.91827,384
aida:JP_RIK_H067,26.0,37.42771,356
aida:JP_RIK_H068,33.0,35.232388,278
aida:JP_RIK_H069,37.0,35.63875,466
aida:JP_RIK_H070,42.0,31.79759,452
aida:JP_RIK_H071,48.0,36.068783,743
aida:JP_RIK_H072,44.0,32.787952,365
aida:JP_RIK_H073,43.0,33.2799,442
aida:JP_RIK_H074,41.0,32.72398,716
aida:JP_RIK_H075,43.0,32.871864,798
aida:JP_RIK_H076,32.0,32.69109,524
aida:JP_RIK_H077,21.0,35.01084,414
aida:JP_RIK_H078,26.0,34.998672,550
aida:JP_RIK_H079,23.0,35.333565,534
aida:JP_RIK_H080,22.0,32.491238,499
aida:JP_RIK_H081,22.0,35.625977,600
aida:JP_RIK_H082,65.0,35.532665,374
aida:JP_RIK_H083,36.0,32.555305,676
aida:JP_RIK_H084,33.0,35.144146,377
aida:JP_RIK_H085,21.0,35.324093,581
aida:JP_RIK_H086,33.0,34.909893,374
aida:JP_RIK_H087,26.0,32.573895,772
aida:JP_RIK_H088,49.0,32.94436,427
aida:JP_RIK_H089,48.0,32.41457,397
aida:JP_RIK_H090,40.0,35.193527,248
aida:JP_RIK_H091,31.0,32.176014,423
aida:JP_RIK_H092,44.0,33.191113,361
aida:JP_RIK_H093,43.0,34.8091,589
aida:JP_RIK_H094,22.0,32.69373,451
aida:JP_RIK_H095,22.0,34.57945,439
aida:JP_RIK_H096,47.0,35.450695,369
aida:JP_RIK_H097,44.0,35.574745,320
aida:JP_RIK_H098,24.0,34.763523,369
aida:JP_RIK_H099,23.0,34.96937,261
aida:JP_RIK_H100,21.0,32.378506,517
aida:JP_RIK_H101,45.0,36.11024,795
aida:JP_RIK_H102,42.0,31.747189,580
aida:JP_RIK_H103,32.0,32.490196,329
aida:JP_RIK_H104,46.0,31.732086,382
aida:JP_RIK_H105,26.0,31.80653,554
aida:JP_RIK_H106,35.0,33.475006,818
aida:JP_RIK_H107,37.0,35.83935,534
aida:JP_RIK_H108,49.0,35.279915,408
aida:JP_RIK_H109,28.0,32.550064,548
aida:JP_RIK_H110,26.0,36.122536,930
aida:JP_RIK_H111,29.0,34.58186,663
aida:JP_RIK_H112,32.0,35.988876,499
aida:JP_RIK_H113,33.0,35.23496,299
aida:JP_RIK_H114,37.0,36.347694,644
aida:JP_RIK_H115,30.0,32.72732,713
aida:JP_RIK_H116,33.0,36.229027,465
