donor_id,true_age,predicted_age,n_cells
stephenson:C-8914,25.0,39.990726,129
stephenson:C-8928,55.0,40.025295,887
stephenson:C-8930,35.0,39.000694,154
stephenson:C-8936,55.0,39.69424,489
stephenson:C-8937,55.0,44.55419,110
stephenson:C-8938,25.0,43.933804,55
stephenson:C-8939,35.0,39.871323,258
stephenson:C-8940,35.0,44.37745,150
stephenson:C-8941,55.0,42.594856,40
stephenson:C-8942,35.0,42.248055,302
stephenson:C-8943,25.0,43.489586,768
stephenson:C-8946,45.0,39.534336,1219
stephenson:CV0902,57.0,37.994633,374
stephenson:CV0904,38.0,44.42964,372
stephenson:CV0911,40.0,39.490417,134
stephenson:CV0915,44.0,43.496334,153
stephenson:CV0917,62.0,41.3537,142
stephenson:CV0926,70.0,42.902935,135
stephenson:CV0929,64.0,39.261925,269
stephenson:CV0934,21.0,41.035446,268
stephenson:CV0939,73.0,38.179623,124
stephenson:CV0940,63.0,38.502373,132
stephenson:CV0944,58.0,39.617622,80
stephenson:IVLPS-1,35.0,41.41034,149
stephenson:IVLPS-2,35.0,39.60115,473
stephenson:IVLPS-3,35.0,41.497414,258
stephenson:IVLPS-4,25.0,41.284115,99
stephenson:IVLPS-6,25.0,39.048298,1451
stephenson:IVLPS-12,25.0,35.936123,205
