donor_id,true_age,predicted_age,n_cells
stephenson:C-8914,25.0,41.207424,418
stephenson:C-8928,55.0,39.99752,1638
stephenson:C-8930,35.0,39.996918,512
stephenson:C-8936,55.0,41.27746,603
stephenson:C-8937,55.0,40.71592,426
stephenson:C-8938,25.0,40.049294,171
stephenson:C-8939,35.0,41.71447,500
stephenson:C-8940,35.0,42.02279,1294
stephenson:C-8941,55.0,39.027863,320
stephenson:C-8942,35.0,38.834137,670
stephenson:C-8943,25.0,41.252693,434
stephenson:C-8946,45.0,42.740673,2105
stephenson:CV0902,57.0,43.44433,190
stephenson:CV0904,38.0,40.903267,40
stephenson:CV0911,40.0,36.452343,95
stephenson:CV0915,44.0,41.31326,105
stephenson:CV0917,62.0,38.58964,205
stephenson:CV0926,70.0,39.27456,186
stephenson:CV0929,64.0,44.481274,165
stephenson:CV0934,21.0,38.896893,146
stephenson:CV0939,73.0,44.192604,211
stephenson:CV0940,63.0,45.170193,285
stephenson:CV0944,58.0,44.419296,29
