donor_id,true_age,predicted_age,n_cells
stephenson:C-8914,25.0,42.955555,319
stephenson:C-8928,55.0,42.271812,726
stephenson:C-8930,35.0,42.00754,501
stephenson:C-8936,55.0,42.690796,1413
stephenson:C-8937,55.0,50.653797,669
stephenson:C-8938,25.0,48.586132,424
stephenson:C-8939,35.0,42.415604,796
stephenson:C-8940,35.0,49.506626,1233
stephenson:C-8941,55.0,48.60691,351
stephenson:C-8942,35.0,48.270546,1436
stephenson:C-8943,25.0,49.783237,674
stephenson:C-8946,45.0,42.181725,1875
stephenson:CV0902,57.0,40.626774,926
stephenson:CV0904,38.0,49.6275,784
stephenson:CV0911,40.0,47.191914,614
stephenson:CV0915,44.0,51.789825,250
stephenson:CV0917,62.0,49.09505,221
stephenson:CV0926,70.0,49.237206,397
stephenson:CV0929,64.0,40.62118,95
stephenson:CV0934,21.0,49.645935,226
stephenson:CV0939,73.0,41.029507,197
stephenson:CV0940,63.0,41.187897,253
stephenson:CV0944,58.0,42.05294,159
stephenson:IVLPS-1,35.0,47.75709,201
stephenson:IVLPS-2,35.0,42.04003,612
stephenson:IVLPS-3,35.0,48.905964,71
stephenson:IVLPS-4,25.0,45.11668,70
stephenson:IVLPS-6,25.0,40.030685,279
stephenson:IVLPS-12,25.0,39.662994,112
