donor_id,true_age,predicted_age,n_cells
onek1k:1_1,65.0,47.11152,157
onek1k:2_2,48.0,48.171803,68
onek1k:3_3,53.0,49.24571,147
onek1k:4_4,48.0,47.672935,80
onek1k:6_6,79.0,47.477726,129
onek1k:7_7,74.0,47.003593,120
onek1k:8_8,71.0,47.629166,48
onek1k:9_9,32.0,48.051052,100
onek1k:10_10,78.0,48.01288,94
onek1k:11_11,81.0,47.341976,177
onek1k:12_12,52.0,47.744232,183
onek1k:13_13,50.0,48.1232,146
onek1k:15_15,67.0,48.071373,227
onek1k:16_16,45.0,46.00173,160
onek1k:17_17,70.0,49.21607,182
onek1k:18_18,80.0,48.406357,38
onek1k:19_19,74.0,47.790462,147
onek1k:23_23,42.0,49.538242,109
onek1k:24_24,77.0,50.801258,63
onek1k:25_25,64.0,49.319496,166
onek1k:27_27,73.0,46.095078,40
onek1k:28_28,74.0,47.673027,98
onek1k:29_29,69.0,47.39786,99
onek1k:30_30,37.0,49.01467,166
onek1k:33_33,73.0,47.74313,60
onek1k:35_35,69.0,48.16715,69
onek1k:36_36,66.0,48.736984,105
onek1k:37_37,47.0,47.69542,88
onek1k:38_38,79.0,50.217087,34
onek1k:39_39,42.0,48.613125,148
onek1k:40_40,72.0,48.674183,157
onek1k:41_41,77.0,49.54935,90
onek1k:42_42,59.0,48.422176,89
onek1k:43_43,46.0,46.197155,125
onek1k:44_44,60.0,49.242996,96
onek1k:45_45,71.0,48.34032,83
onek1k:46_46,68.0,50.579338,79
onek1k:47_47,19.0,48.28803,142
onek1k:48_48,86.0,48.317917,67
onek1k:49_49,84.0,51.93891,20
onek1k:50_50,64.0,51.70345,154
onek1k:51_51,60.0,46.356403,154
onek1k:52_52,52.0,49.808834,99
onek1k:53_53,32.0,46.401405,174
onek1k:54_54,66.0,47.302746,141
onek1k:55_55,71.0,47.22053,118
onek1k:56_56,36.0,48.06762,78
onek1k:57_57,32.0,49.711044,101
onek1k:58_58,19.0,49.17199,103
onek1k:60_60,35.0,48.236908,73
onek1k:61_61,25.0,50.854343,163
onek1k:63_63,44.0,47.748543,164
onek1k:64_64,46.0,51.008297,197
onek1k:65_65,58.0,50.38269,108
onek1k:66_66,66.0,49.657463,90
onek1k:68_68,73.0,50.194447,45
onek1k:69_69,66.0,50.597862,137
onek1k:70_70,50.0,49.295746,205
onek1k:71_71,86.0,47.84042,61
onek1k:72_72,77.0,51.986443,148
onek1k:75_75,73.0,47.6749,119
onek1k:76_76,73.0,49.276543,305
onek1k:77_77,40.0,48.958138,53
onek1k:78_78,38.0,50.823933,150
onek1k:79_79,60.0,48.020763,115
onek1k:81_81,62.0,47.75766,256
onek1k:82_82,64.0,50.447807,156
onek1k:83_83,52.0,48.38179,88
onek1k:84_84,57.0,50.53476,56
onek1k:85_85,70.0,50.43474,106
onek1k:86_86,43.0,49.585487,156
