donor_id,true_age,predicted_age,n_cells
onek1k:1_1,65.0,47.08472,481
onek1k:2_2,48.0,46.873512,626
onek1k:3_3,53.0,47.07122,396
onek1k:4_4,48.0,47.070583,821
onek1k:6_6,79.0,46.22833,878
onek1k:7_7,74.0,46.421806,748
onek1k:8_8,71.0,51.364445,257
onek1k:9_9,32.0,46.567757,711
onek1k:10_10,78.0,47.267162,536
onek1k:11_11,81.0,49.98039,549
onek1k:12_12,52.0,47.13948,824
onek1k:13_13,50.0,47.88274,719
onek1k:15_15,67.0,47.805847,430
onek1k:16_16,45.0,45.978127,810
onek1k:17_17,70.0,51.479977,365
onek1k:18_18,80.0,48.461666,257
onek1k:19_19,74.0,48.276646,655
onek1k:23_23,42.0,49.991318,335
onek1k:24_24,77.0,52.32802,496
onek1k:25_25,64.0,49.85321,597
onek1k:27_27,73.0,48.782204,766
onek1k:28_28,74.0,46.58515,700
onek1k:29_29,69.0,46.06217,809
onek1k:30_30,37.0,50.062767,658
onek1k:33_33,73.0,46.546272,887
onek1k:35_35,69.0,47.198715,379
onek1k:36_36,66.0,51.859135,525
onek1k:37_37,47.0,46.774315,578
onek1k:38_38,79.0,50.395714,312
onek1k:39_39,42.0,47.640465,789
onek1k:40_40,72.0,47.274582,386
onek1k:41_41,77.0,52.564423,574
onek1k:42_42,59.0,47.06599,913
onek1k:43_43,46.0,46.81069,762
onek1k:44_44,60.0,50.451492,392
onek1k:45_45,71.0,49.542294,272
onek1k:46_46,68.0,50.818413,480
onek1k:47_47,19.0,46.995457,423
onek1k:48_48,86.0,48.392155,513
onek1k:49_49,84.0,52.73574,487
onek1k:50_50,64.0,52.773212,231
onek1k:51_51,60.0,48.16503,708
onek1k:52_52,52.0,49.466064,754
onek1k:53_53,32.0,45.171448,750
onek1k:54_54,66.0,47.13291,899
onek1k:55_55,71.0,46.299606,761
onek1k:56_56,36.0,48.215237,401
onek1k:57_57,32.0,50.36272,485
onek1k:58_58,19.0,50.946457,552
onek1k:60_60,35.0,46.653934,779
onek1k:61_61,25.0,51.434242,744
onek1k:63_63,44.0,47.623074,737
onek1k:64_64,46.0,52.305477,779
onek1k:65_65,58.0,52.004814,568
onek1k:66_66,66.0,49.243736,500
onek1k:68_68,73.0,51.864544,483
onek1k:69_69,66.0,48.331085,494
onek1k:70_70,50.0,51.110317,632
onek1k:71_71,86.0,48.08306,239
onek1k:72_72,77.0,52.20501,245
onek1k:75_75,73.0,48.420143,358
onek1k:76_76,73.0,50.720997,305
onek1k:77_77,40.0,50.962475,756
onek1k:78_78,38.0,51.24984,521
onek1k:79_79,60.0,47.560665,595
onek1k:81_81,62.0,46.934315,1161
onek1k:82_82,64.0,50.7959,819
onek1k:83_83,52.0,47.427624,597
onek1k:84_84,57.0,52.203506,696
onek1k:85_85,70.0,51.949707,575
onek1k:86_86,43.0,52.27022,499
onek1k:87_87,63.0,52.33089,212
onek1k:88_88,78.0,53.6045,52
onek1k:89_89,66.0,53.061234,395
onek1k:90_90,75.0,50.47943,250
onek1k:91_91,53.0,53.051945,475
onek1k:92_92,71.0,52.65311,354
onek1k:93_93,60.0,52.744686,564
onek1k:95_95,69.0,51.273582,520
onek1k:96_96,64.0,51.481274,590
onek1k:97_97,59.0,52.397305,928
onek1k:98_98,28.0,43.521694,956
onek1k:99_99,43.0,44.624607,1015
onek1k:101_101,71.0,46.38854,864
onek1k:102_102,23.0,45.1689,567
onek1k:104_104,57.0,45.525055,448
onek1k:105_105,31.0,47.51425,1390
onek1k:106_106,80.0,53.7772,440
onek1k:107_107,85.0,52.905067,607
onek1k:108_108,67.0,46.2765,694
onek1k:109_109,84.0,54.30883,663
onek1k:110_110,84.0,48.553905,755
onek1k:111_111,69.0,48.749058,745
onek1k:112_112,81.0,47.909283,702
onek1k:113_113,67.0,52.41017,498
onek1k:114_114,72.0,47.28529,817
onek1k:116_116,77.0,48.96017,562
onek1k:117_117,91.0,52.76808,720
onek1k:119_119,38.0,50.851364,603
onek1k:120_120,46.0,50.103188,602
onek1k:121_121,71.0,50.825985,592
onek1k:122_122,67.0,49.10619,370
onek1k:123_123,50.0,51.45317,543
onek1k:124_124,71.0,46.81692,471
onek1k:125_125,74.0,47.31496,785
onek1k:126_126,65.0,51.57585,637
onek1k:127_127,85.0,47.577,759
onek1k:128_128,37.0,49.087215,536
onek1k:129_129,35.0,49.929585,501
onek1k:130_130,72.0,49.71843,723
onek1k:131_131,67.0,48.09736,482
onek1k:132_132,62.0,46.699207,541
onek1k:133_133,62.0,52.3411,260
onek1k:134_134,73.0,48.294655,542
onek1k:137_137,87.0,47.694107,920
onek1k:138_138,64.0,50.58531,696
onek1k:139_139,79.0,47.6503,305
onek1k:140_140,60.0,50.527626,615
onek1k:141_141,36.0,46.36061,696
onek1k:142_142,67.0,48.267643,315
onek1k:144_144,44.0,50.55939,481
onek1k:145_145,87.0,51.026833,444
onek1k:146_146,63.0,50.18854,337
onek1k:147_147,54.0,46.221592,385
onek1k:148_148,62.0,50.92283,506
onek1k:149_149,59.0,47.427727,718
onek1k:150_150,31.0,48.221397,676
onek1k:151_151,19.0,46.3577,664
onek1k:152_152,68.0,51.84676,541
onek1k:153_153,46.0,46.542564,654
onek1k:154_154,67.0,50.270916,579
onek1k:155_155,56.0,51.23371,676
onek1k:156_156,73.0,47.30754,564
onek1k:158_158,59.0,51.587173,530
onek1k:159_159,63.0,50.834198,656
