donor_id,true_age,predicted_age,n_cells
onek1k:1_1,65.0,46.53966,23
onek1k:2_2,48.0,45.14465,17
onek1k:3_3,53.0,45.355186,14
onek1k:4_4,48.0,44.744728,32
onek1k:6_6,79.0,45.07719,10
onek1k:7_7,74.0,48.2354,8
onek1k:8_8,71.0,52.199158,8
onek1k:9_9,32.0,45.076733,9
onek1k:10_10,78.0,46.494457,15
onek1k:11_11,81.0,52.147816,13
onek1k:12_12,52.0,44.902325,36
onek1k:13_13,50.0,44.77899,74
onek1k:15_15,67.0,44.85357,107
onek1k:16_16,45.0,43.76693,62
onek1k:17_17,70.0,54.25819,132
onek1k:18_18,80.0,46.333782,117
onek1k:19_19,74.0,45.219547,137
onek1k:23_23,42.0,51.220703,114
onek1k:24_24,77.0,52.17426,129
onek1k:25_25,64.0,50.911457,9
onek1k:27_27,73.0,47.368702,15
onek1k:28_28,74.0,47.17041,6
onek1k:29_29,69.0,44.057556,11
onek1k:30_30,37.0,45.303024,1
onek1k:33_33,73.0,44.26717,5
onek1k:35_35,69.0,45.417225,13
onek1k:36_36,66.0,51.492374,64
onek1k:37_37,47.0,47.934406,13
onek1k:38_38,79.0,51.058216,20
onek1k:39_39,42.0,45.727165,89
onek1k:40_40,72.0,43.827343,182
onek1k:41_41,77.0,54.236732,139
onek1k:42_42,59.0,45.275253,54
onek1k:43_43,46.0,45.15797,237
onek1k:44_44,60.0,52.59796,14
onek1k:45_45,71.0,50.865314,23
onek1k:46_46,68.0,57.32029,16
onek1k:47_47,19.0,45.25131,175
onek1k:48_48,86.0,44.722946,292
onek1k:49_49,84.0,54.764328,324
onek1k:50_50,64.0,52.743515,228
onek1k:51_51,60.0,44.00533,195
onek1k:52_52,52.0,45.0442,95
onek1k:53_53,32.0,43.18597,176
onek1k:54_54,66.0,44.992752,103
onek1k:55_55,71.0,43.168407,103
onek1k:56_56,36.0,43.190144,189
onek1k:57_57,32.0,53.913673,195
onek1k:58_58,19.0,50.748417,276
onek1k:60_60,35.0,45.32438,177
onek1k:61_61,25.0,52.725918,129
onek1k:63_63,44.0,44.146618,264
onek1k:64_64,46.0,52.857903,108
onek1k:65_65,58.0,55.152664,50
onek1k:66_66,66.0,48.326374,67
onek1k:68_68,73.0,52.115356,25
onek1k:69_69,66.0,45.05332,55
onek1k:70_70,50.0,49.97031,159
onek1k:71_71,86.0,45.343792,213
onek1k:72_72,77.0,54.608803,74
onek1k:75_75,73.0,45.533947,225
onek1k:76_76,73.0,52.528633,8
onek1k:77_77,40.0,54.814102,24
onek1k:78_78,38.0,51.8952,51
onek1k:79_79,60.0,46.729248,12
onek1k:81_81,62.0,44.078434,17
onek1k:82_82,64.0,55.90041,15
onek1k:83_83,52.0,43.78476,5
onek1k:84_84,57.0,52.919384,185
onek1k:85_85,70.0,52.07318,158
onek1k:86_86,43.0,51.343273,85
onek1k:87_87,63.0,53.97055,194
onek1k:88_88,78.0,53.844868,17
onek1k:89_89,66.0,52.65413,181
onek1k:90_90,75.0,46.64071,230
onek1k:91_91,53.0,53.953964,234
onek1k:92_92,71.0,54.05053,268
onek1k:93_93,60.0,52.72314,300
onek1k:95_95,69.0,51.82718,216
onek1k:96_96,64.0,54.314583,140
onek1k:97_97,59.0,54.691338,199
