donor_id,true_age,predicted_age,n_cells
onek1k:1_1,65.0,60.479454,185
onek1k:2_2,48.0,62.029613,30
onek1k:3_3,53.0,61.192654,38
onek1k:4_4,48.0,60.532257,257
onek1k:6_6,79.0,60.48528,221
onek1k:7_7,74.0,60.676407,134
onek1k:8_8,71.0,59.638817,215
onek1k:9_9,32.0,59.940445,75
onek1k:10_10,78.0,60.44174,98
onek1k:11_11,81.0,58.664978,92
onek1k:12_12,52.0,58.96224,173
onek1k:13_13,50.0,60.178642,99
onek1k:15_15,67.0,60.457653,129
onek1k:16_16,45.0,60.314148,79
onek1k:17_17,70.0,59.308308,301
onek1k:18_18,80.0,62.7071,216
onek1k:19_19,74.0,61.725693,82
onek1k:23_23,42.0,58.87607,137
onek1k:24_24,77.0,60.471977,182
onek1k:25_25,64.0,60.470222,124
onek1k:27_27,73.0,59.27823,102
onek1k:28_28,74.0,58.800827,92
onek1k:29_29,69.0,60.498,197
onek1k:30_30,37.0,59.514812,155
onek1k:33_33,73.0,59.13153,116
onek1k:35_35,69.0,60.89858,201
onek1k:36_36,66.0,60.982204,177
onek1k:37_37,47.0,60.38304,62
onek1k:38_38,79.0,60.142693,104
onek1k:39_39,42.0,60.639587,72
onek1k:40_40,72.0,60.24622,215
onek1k:41_41,77.0,60.807224,44
onek1k:42_42,59.0,59.06363,92
onek1k:43_43,46.0,60.038834,98
onek1k:44_44,60.0,58.91208,114
onek1k:45_45,71.0,60.115627,237
onek1k:46_46,68.0,59.14819,141
onek1k:47_47,19.0,61.383224,204
onek1k:48_48,86.0,61.82938,153
onek1k:49_49,84.0,60.439175,167
onek1k:50_50,64.0,59.512753,115
onek1k:51_51,60.0,61.081387,66
onek1k:52_52,52.0,61.51261,185
onek1k:53_53,32.0,58.57555,126
onek1k:54_54,66.0,60.235836,109
onek1k:55_55,71.0,60.27029,106
onek1k:56_56,36.0,59.27419,62
onek1k:57_57,32.0,58.950157,124
onek1k:58_58,19.0,59.070072,133
onek1k:60_60,35.0,59.03603,74
onek1k:61_61,25.0,60.714867,92
onek1k:63_63,44.0,60.587437,127
onek1k:64_64,46.0,61.834854,168
onek1k:65_65,58.0,60.46523,195
onek1k:66_66,66.0,62.288307,133
onek1k:68_68,73.0,60.743393,102
onek1k:69_69,66.0,60.22986,79
onek1k:70_70,50.0,59.334618,61
onek1k:71_71,86.0,61.203026,200
onek1k:72_72,77.0,62.044403,293
onek1k:75_75,73.0,60.146072,140
onek1k:76_76,73.0,60.623493,21
onek1k:77_77,40.0,60.763878,176
onek1k:78_78,38.0,59.462395,192
onek1k:79_79,60.0,61.25032,150
onek1k:81_81,62.0,60.668514,163
onek1k:82_82,64.0,58.98162,199
onek1k:83_83,52.0,63.60884,92
onek1k:84_84,57.0,60.14688,63
onek1k:85_85,70.0,59.045547,285
onek1k:86_86,43.0,60.710716,124
onek1k:87_87,63.0,60.615437,138
onek1k:88_88,78.0,61.013416,51
onek1k:89_89,66.0,59.93037,110
onek1k:90_90,75.0,61.518906,245
onek1k:91_91,53.0,61.990707,40
onek1k:92_92,71.0,59.647923,111
onek1k:93_93,60.0,60.355827,109
onek1k:95_95,69.0,60.46382,162
onek1k:96_96,64.0,61.4252,194
onek1k:97_97,59.0,60.07709,360
onek1k:98_98,28.0,56.65918,127
onek1k:99_99,43.0,58.978218,128
onek1k:101_101,71.0,58.81984,168
onek1k:102_102,23.0,57.976513,184
onek1k:104_104,57.0,60.379894,165
onek1k:105_105,31.0,60.88389,121
onek1k:106_106,80.0,62.853767,228
onek1k:107_107,85.0,61.660862,110
onek1k:108_108,67.0,59.4424,185
onek1k:109_109,84.0,61.978577,351
onek1k:110_110,84.0,61.479603,277
onek1k:111_111,69.0,61.046417,118
onek1k:112_112,81.0,61.758663,247
onek1k:113_113,67.0,59.850685,223
onek1k:114_114,72.0,60.25281,184
onek1k:116_116,77.0,60.922935,121
onek1k:117_117,91.0,62.176754,103
onek1k:119_119,38.0,59.230896,98
onek1k:120_120,46.0,59.741276,73
onek1k:121_121,71.0,59.49392,97
onek1k:122_122,67.0,62.25316,218
onek1k:123_123,50.0,58.843525,85
onek1k:124_124,71.0,62.357216,127
onek1k:125_125,74.0,61.012337,141
onek1k:126_126,65.0,60.212265,149
onek1k:127_127,85.0,61.57362,39
onek1k:128_128,37.0,59.109688,105
onek1k:129_129,35.0,60.46057,84
onek1k:130_130,72.0,60.143124,204
onek1k:131_131,67.0,59.279247,73
onek1k:132_132,62.0,61.724316,117
onek1k:133_133,62.0,59.50933,145
onek1k:134_134,73.0,60.58545,192
onek1k:137_137,87.0,60.872204,175
onek1k:138_138,64.0,58.89662,136
onek1k:139_139,79.0,59.541153,126
onek1k:140_140,60.0,58.553085,234
onek1k:141_141,36.0,58.96455,89
onek1k:142_142,67.0,60.217598,367
onek1k:144_144,44.0,58.119907,141
onek1k:145_145,87.0,60.690376,141
onek1k:146_146,63.0,59.230118,176
onek1k:147_147,54.0,61.11587,69
onek1k:148_148,62.0,60.520668,96
onek1k:149_149,59.0,59.327957,132
onek1k:150_150,31.0,61.41633,84
onek1k:151_151,19.0,59.190945,72
onek1k:152_152,68.0,59.778748,79
onek1k:153_153,46.0,59.49623,94
onek1k:154_154,67.0,59.775906,121
onek1k:155_155,56.0,59.859715,91
onek1k:156_156,73.0,58.97771,191
onek1k:158_158,59.0,59.86129,111
onek1k:159_159,63.0,59.18549,200
onek1k:160_160,60.0,61.52623,130
onek1k:161_161,33.0,59.163486,153
onek1k:163_163,56.0,62.119465,98
onek1k:164_165,41.0,59.29223,154
onek1k:165_166,61.0,61.640297,421
onek1k:166_167,34.0,60.60936,44
onek1k:167_168,58.0,60.22022,148
onek1k:168_169,79.0,60.903282,172
onek1k:169_170,20.0,57.91038,277
onek1k:170_171,43.0,57.663002,105
onek1k:171_172,62.0,60.566643,82
onek1k:172_173,23.0,59.646324,186
onek1k:173_174,68.0,59.70792,431
onek1k:175_176,49.0,59.159523,121
onek1k:176_177,27.0,60.67951,62
onek1k:177_178,19.0,58.612522,165
onek1k:178_179,47.0,58.79614,195
onek1k:179_180,31.0,58.841587,49
onek1k:180_181,68.0,60.974777,326
onek1k:181_182,66.0,61.893982,64
onek1k:182_183,70.0,59.442917,137
onek1k:183_184,65.0,58.884956,66
onek1k:184_185,83.0,60.74289,184
onek1k:185_186,62.0,59.514076,210
onek1k:186_187,28.0,62.21218,126
onek1k:187_188,26.0,58.287548,189
onek1k:188_189,46.0,58.587925,134
onek1k:189_190,68.0,60.386906,92
onek1k:190_191,61.0,60.618164,111
onek1k:191_192,55.0,61.817966,141
onek1k:192_193,58.0,59.525467,156
onek1k:193_194,63.0,60.46664,12
onek1k:194_195,46.0,58.748325,54
onek1k:196_197,72.0,59.57332,167
onek1k:197_198,60.0,59.837326,264
onek1k:198_199,27.0,58.49697,193
onek1k:199_200,63.0,59.53227,66
onek1k:200_201,53.0,58.02414,100
onek1k:201_202,39.0,58.18527,38
onek1k:202_203,49.0,60.289795,69
onek1k:203_204,59.0,59.559807,72
onek1k:204_205,60.0,59.425617,87
onek1k:206_207,63.0,60.633633,237
onek1k:207_208,39.0,60.086292,130
onek1k:208_209,72.0,61.658672,189
onek1k:209_210,93.0,60.585644,426
onek1k:210_211,46.0,59.20484,174
onek1k:211_212,53.0,60.76801,212
onek1k:212_213,93.0,62.714672,246
onek1k:213_214,86.0,59.812325,614
onek1k:214_215,69.0,61.401844,125
onek1k:215_216,60.0,59.480804,290
onek1k:217_218,73.0,61.378914,312
onek1k:219_220,67.0,59.365944,134
onek1k:220_221,66.0,59.374542,132
onek1k:221_222,84.0,59.30332,602
