donor_id,true_age,predicted_age,n_cells
stephenson:C-8928,55.0,40.531754,1108
stephenson:C-8930,35.0,40.404633,672
stephenson:C-8936,55.0,41.65381,573
stephenson:C-8937,55.0,43.9179,1446
stephenson:C-8938,25.0,42.753735,661
stephenson:C-8940,35.0,44.57652,1740
stephenson:C-8941,55.0,42.373184,426
stephenson:C-8942,35.0,42.43182,1863
stephenson:C-8943,25.0,44.174877,1353
stephenson:C-8946,45.0,40.934288,1853
stephenson:CV0902,57.0,39.902084,722
stephenson:CV0904,38.0,43.980663,2317
stephenson:CV0911,40.0,40.800175,423
stephenson:CV0915,44.0,44.532265,1007
stephenson:CV0917,62.0,43.080723,1020
stephenson:CV0926,70.0,42.984978,1270
stephenson:CV0929,64.0,41.3262,319
stephenson:CV0934,21.0,41.50908,1224
stephenson:CV0939,73.0,40.474197,715
stephenson:CV0940,63.0,40.89921,550
stephenson:CV0944,58.0,41.30021,186
stephenson:IVLPS-4,25.0,39.130276,173
stephenson:IVLPS-6,25.0,41.587116,408
stephenson:IVLPS-12,25.0,37.845474,400
