donor_id,true_age,predicted_age,n_cells
terekhova:A01,31.0,33.425964,230
terekhova:A02,29.0,32.69991,349
terekhova:A03,34.0,32.48107,1026
terekhova:A04,31.0,32.930214,696
terekhova:A05,30.0,32.736584,360
terekhova:A06,28.0,33.16799,634
terekhova:A07,30.0,34.547417,834
terekhova:A08,28.0,33.895847,695
terekhova:A09,35.0,33.795254,327
terekhova:A10,28.0,33.54322,193
terekhova:A11,30.0,33.25068,1131
terekhova:A12,27.0,33.686207,341
terekhova:A13,33.0,34.05747,679
terekhova:A14,29.0,33.36595,354
terekhova:A15,26.0,33.918655,334
terekhova:A16,29.0,33.78973,309
terekhova:A17,30.0,34.162663,663
terekhova:A18,29.0,33.95889,538
terekhova:A19,30.0,34.21729,181
terekhova:A20,27.0,34.31958,427
terekhova:A21,27.0,34.308567,1273
terekhova:A22,29.0,34.094257,365
terekhova:A23,27.0,34.07949,872
terekhova:A24,27.0,34.26859,652
terekhova:A25,34.0,33.115295,298
terekhova:A26,28.0,33.984158,553
terekhova:A27,28.0,34.17395,974
terekhova:A28,25.0,33.97586,448
terekhova:A29,33.0,33.470314,540
terekhova:A30,33.0,33.443363,153
terekhova:A31,31.0,34.293385,437
terekhova:A33,31.0,34.014393,881
terekhova:A34,28.0,34.044712,424
terekhova:A35,33.0,34.078255,172
terekhova:A36,33.0,33.876316,626
terekhova:A37,26.0,33.654533,411
terekhova:A38,28.0,33.866955,473
terekhova:A40,30.0,34.403538,200
terekhova:A41,34.0,34.330246,924
terekhova:B01,44.0,32.984306,358
terekhova:B02,42.0,32.565853,179
terekhova:B03,37.0,33.364944,228
terekhova:B04,36.0,32.62271,812
terekhova:B05,44.0,32.724903,292
terekhova:B06,44.0,32.661137,528
terekhova:B08,44.0,33.004276,137
terekhova:B09,36.0,34.22136,194
terekhova:B10,44.0,34.285427,371
terekhova:B11,37.0,34.6118,568
terekhova:B12,35.0,33.43,321
terekhova:B13,35.0,33.469826,1138
terekhova:B14,38.0,33.087337,240
terekhova:B15,35.0,33.215797,404
terekhova:B16,44.0,33.739532,328
terekhova:B17,40.0,34.293285,539
terekhova:B18,39.0,33.613155,753
terekhova:B19,41.0,33.640034,285
terekhova:B20,41.0,33.735588,686
terekhova:B21,35.0,33.42272,136
terekhova:B22,36.0,33.582397,417
terekhova:B23,39.0,33.52034,336
terekhova:B24,36.0,33.191647,289
terekhova:C01,53.0,32.53604,532
terekhova:C02,53.0,32.023697,5
terekhova:C04,51.0,32.64066,499
terekhova:C05,49.0,32.7426,347
terekhova:C06,46.0,32.403305,284
terekhova:C07,53.0,33.79505,456
terekhova:C08,51.0,32.714798,542
terekhova:C09,55.0,32.736443,536
terekhova:C10,52.0,33.186054,384
terekhova:C11,51.0,32.945145,1002
terekhova:C12,55.0,34.024715,321
terekhova:C13,50.0,33.720394,1611
terekhova:C14,48.0,33.731308,207
terekhova:C15,49.0,33.714943,834
terekhova:C16,48.0,34.75133,125
terekhova:C17,54.0,34.101845,44
terekhova:C18,54.0,33.875526,288
terekhova:D01,58.0,33.57868,119
terekhova:D02,59.0,33.074654,917
terekhova:D03,63.0,32.311367,377
terekhova:D04,61.0,32.249657,481
terekhova:D05,63.0,34.144047,261
terekhova:D06,60.0,34.675396,346
terekhova:D07,58.0,33.5451,202
terekhova:D08,63.0,33.39858,249
terekhova:D09,61.0,33.75637,426
terekhova:D10,59.0,34.869205,254
terekhova:D11,62.0,33.544487,583
terekhova:D12,63.0,34.48526,326
terekhova:D13,59.0,34.35289,618
terekhova:D14,61.0,33.629417,978
terekhova:D15,64.0,32.232162,48
terekhova:D16,63.0,34.056454,229
terekhova:D17,56.0,32.970028,437
terekhova:D18,63.0,33.314774,220
terekhova:D19,61.0,33.452457,483
terekhova:D20,61.0,34.624104,263
terekhova:D21,62.0,34.457302,235
terekhova:D22,64.0,35.02173,278
terekhova:D23,64.0,33.411488,562
terekhova:D24,63.0,34.795635,265
terekhova:E01,72.0,32.500572,122
terekhova:E02,75.0,33.22968,219
terekhova:E03,70.0,33.18582,121
terekhova:E04,70.0,32.543488,628
terekhova:E05,66.0,32.83625,1655
terekhova:E06,66.0,32.64854,183
terekhova:E07,80.0,32.07757,458
terekhova:E08,67.0,33.552692,347
terekhova:E09,66.0,33.29458,522
terekhova:E10,66.0,34.00892,564
terekhova:E11,71.0,33.657513,173
terekhova:E12,80.0,34.72857,189
terekhova:E13,79.0,34.36394,604
terekhova:E14,71.0,33.845375,220
terekhova:E15,78.0,33.942886,648
terekhova:E16,70.0,33.72475,411
terekhova:E18,66.0,33.98855,721
terekhova:E19,77.0,34.617,291
terekhova:E20,74.0,33.857986,320
terekhova:E21,71.0,34.602684,448
terekhova:E22,75.0,33.749344,1598
terekhova:E23,71.0,33.237972,499
terekhova:E24,72.0,33.309242,792
terekhova:E26,73.0,33.982784,292
terekhova:E27,65.0,34.0843,258
terekhova:E29,74.0,33.532997,75
terekhova:E30,72.0,33.148224,302
terekhova:FA01,34.0,39.351402,285
terekhova:FA02,31.0,38.5979,498
terekhova:FA03,30.0,39.261402,599
terekhova:FA04,35.0,39.428093,298
terekhova:FA05,27.0,39.383705,290
terekhova:FA06,33.0,38.971825,217
terekhova:FA07,30.0,38.35388,304
terekhova:FA08,26.0,38.86461,184
terekhova:FB01,44.0,38.39179,455
terekhova:FB02,39.0,39.084118,295
terekhova:FB03,36.0,38.56674,82
terekhova:FB04,37.0,38.4627,522
terekhova:FB05,35.0,38.367836,192
terekhova:FB06,37.0,38.6072,89
terekhova:FB07,36.0,37.57859,54
terekhova:FC01,52.0,39.408745,248
terekhova:FC02,49.0,39.343796,319
terekhova:FC03,53.0,39.782124,281
terekhova:FC04,51.0,37.84663,159
terekhova:FC06,50.0,37.937817,175
terekhova:FD01,58.0,39.145138,345
terekhova:FD02,55.0,38.68058,110
terekhova:FD03,60.0,38.57806,427
terekhova:FD04,57.0,38.305992,538
terekhova:FD05,56.0,39.14501,118
terekhova:FD06,55.0,38.4966,112
terekhova:FE01,80.0,38.327698,973
terekhova:FE02,79.0,37.96855,434
terekhova:FE03,73.0,39.060993,478
terekhova:FE04,74.0,38.38024,258
terekhova:FE05,73.0,38.942978,162
terekhova:FE06,78.0,40.038906,244
terekhova:FE07,71.0,39.72927,592
terekhova:FE08,68.0,39.66275,344
terekhova:FE09,76.0,39.53495,265
terekhova:FE10,69.0,39.61029,318
