donor_id,true_age,predicted_age,n_cells
terekhova:A01,31.0,33.397038,1429
terekhova:A02,29.0,32.934155,2061
terekhova:A03,34.0,33.65955,3989
terekhova:A04,31.0,33.892017,3191
terekhova:A05,30.0,32.654305,2069
terekhova:A06,28.0,34.82159,199
terekhova:A07,30.0,34.75542,2967
terekhova:A08,28.0,34.028847,1466
terekhova:A09,35.0,34.57231,2911
terekhova:A10,28.0,34.023235,1323
terekhova:A11,30.0,33.882565,3007
terekhova:A12,27.0,33.85862,2066
terekhova:A13,33.0,33.8563,3624
terekhova:A14,29.0,33.588345,2075
terekhova:A15,26.0,34.77101,2749
terekhova:A16,29.0,34.62506,1014
terekhova:A17,30.0,34.97062,1106
terekhova:A18,29.0,34.697712,2267
terekhova:A19,30.0,34.829628,2162
terekhova:A20,27.0,34.627884,2566
terekhova:A21,27.0,34.065712,1798
terekhova:A22,29.0,34.829315,644
terekhova:A23,27.0,35.15376,3207
terekhova:A24,27.0,34.665047,2322
terekhova:A25,34.0,34.476555,810
terekhova:A26,28.0,34.39037,2058
terekhova:A27,28.0,34.869858,5752
terekhova:A28,25.0,33.50469,2145
terekhova:A29,33.0,34.088093,3590
terekhova:A30,33.0,34.271175,783
terekhova:A31,31.0,34.80781,5227
terekhova:A33,31.0,35.105793,1669
terekhova:A34,28.0,34.95852,1370
terekhova:A35,33.0,34.97207,1574
terekhova:A36,33.0,34.078964,1333
terekhova:A37,26.0,34.613945,726
terekhova:A38,28.0,35.20409,3511
terekhova:A40,30.0,34.549637,302
terekhova:A41,34.0,34.931953,1697
terekhova:B01,44.0,33.443607,1477
terekhova:B02,42.0,32.04357,582
terekhova:B03,37.0,33.77137,1358
terekhova:B04,36.0,34.008583,1120
terekhova:B05,44.0,33.579983,1251
terekhova:B06,44.0,33.188614,2322
terekhova:B08,44.0,34.525852,2335
terekhova:B09,36.0,35.070877,502
terekhova:B10,44.0,35.119064,1929
terekhova:B11,37.0,34.659767,1814
terekhova:B12,35.0,33.84357,1981
terekhova:B13,35.0,34.70136,4503
terekhova:B14,38.0,34.150898,1638
terekhova:B15,35.0,33.730213,737
terekhova:B16,44.0,34.0896,1530
terekhova:B17,40.0,34.766254,2939
terekhova:B18,39.0,34.70679,4217
terekhova:B19,41.0,34.437176,1823
terekhova:B20,41.0,34.16927,2288
terekhova:B21,35.0,33.47352,1085
terekhova:B22,36.0,34.822357,2704
terekhova:B23,39.0,34.268627,1035
terekhova:B24,36.0,33.79117,1039
terekhova:C01,53.0,33.88244,2747
terekhova:C02,53.0,32.22016,414
terekhova:C04,51.0,32.678413,908
terekhova:C05,49.0,33.664795,4460
terekhova:C06,46.0,33.23119,491
terekhova:C07,53.0,35.08961,3581
terekhova:C08,51.0,34.554207,1570
terekhova:C09,55.0,34.358143,2157
terekhova:C10,52.0,33.66918,4642
terekhova:C11,51.0,33.879337,3010
terekhova:C12,55.0,33.657604,2735
terekhova:C13,50.0,34.257607,2852
terekhova:C14,48.0,34.588036,668
terekhova:C15,49.0,34.56855,2410
terekhova:C16,48.0,34.152763,4968
terekhova:C17,54.0,34.86225,1038
terekhova:C18,54.0,34.69795,905
terekhova:D01,58.0,33.88077,4154
terekhova:D02,59.0,33.786873,3524
terekhova:D03,63.0,32.77513,1806
terekhova:D04,61.0,33.436546,1718
terekhova:D05,63.0,34.284214,1785
terekhova:D06,60.0,34.604485,1676
terekhova:D07,58.0,33.836094,743
terekhova:D08,63.0,34.024555,2991
terekhova:D09,61.0,34.1633,2521
terekhova:D10,59.0,34.368023,429
terekhova:D11,62.0,35.481083,2352
terekhova:D12,63.0,34.463024,3449
terekhova:D13,59.0,35.02384,1827
terekhova:D14,61.0,34.08028,2501
terekhova:D15,64.0,33.51932,1605
terekhova:D16,63.0,34.212204,2722
terekhova:D17,56.0,34.18555,2817
terekhova:D18,63.0,34.555508,743
terekhova:D19,61.0,34.851933,1111
terekhova:D20,61.0,35.020798,1349
terekhova:D21,62.0,35.846344,1248
terekhova:D22,64.0,35.13513,1280
terekhova:D23,64.0,34.509174,2205
terekhova:D24,63.0,35.73433,814
terekhova:E01,72.0,33.256187,748
terekhova:E02,75.0,34.02639,1805
terekhova:E03,70.0,33.969307,1468
terekhova:E04,70.0,33.646297,2866
terekhova:E05,66.0,34.43345,4361
terekhova:E06,66.0,34.638313,1871
terekhova:E07,80.0,33.97002,973
terekhova:E08,67.0,34.975437,3516
terekhova:E09,66.0,34.784607,2315
terekhova:E10,66.0,34.397385,6627
terekhova:E11,71.0,34.6604,5186
terekhova:E12,80.0,35.251324,812
terekhova:E13,79.0,35.217636,2357
terekhova:E14,71.0,34.444195,4196
terekhova:E15,78.0,34.517788,1559
terekhova:E16,70.0,34.28721,6201
terekhova:E18,66.0,33.966526,1690
terekhova:E19,77.0,33.472054,1814
terekhova:E20,74.0,34.42309,3987
terekhova:E21,71.0,34.642334,3388
terekhova:E22,75.0,34.96116,2880
terekhova:E23,71.0,34.255516,6166
terekhova:E24,72.0,34.309494,3064
terekhova:E26,73.0,34.293648,524
terekhova:E27,65.0,34.190506,1246
terekhova:E29,74.0,34.57205,2321
terekhova:E30,72.0,33.94902,1413
terekhova:FA01,34.0,37.022457,151
terekhova:FA02,31.0,37.374557,1084
terekhova:FA03,30.0,37.824486,948
terekhova:FA04,35.0,37.322586,1572
terekhova:FA05,27.0,36.75099,872
terekhova:FA06,33.0,35.826283,461
terekhova:FA07,30.0,36.234707,1161
terekhova:FA08,26.0,36.58406,738
terekhova:FB01,44.0,36.534878,750
terekhova:FB02,39.0,36.61264,498
terekhova:FB03,36.0,36.57649,1416
terekhova:FB04,37.0,36.83653,1070
terekhova:FB05,35.0,37.09197,845
terekhova:FB06,37.0,36.235603,1794
terekhova:FB07,36.0,36.20481,710
terekhova:FC01,52.0,36.854546,631
terekhova:FC02,49.0,36.465515,2264
terekhova:FC03,53.0,37.37335,1537
terekhova:FC04,51.0,35.849777,1716
terekhova:FC06,50.0,36.452785,2490
terekhova:FD01,58.0,37.112732,2196
terekhova:FD02,55.0,37.18565,1193
terekhova:FD03,60.0,37.046577,1632
terekhova:FD04,57.0,36.79392,1441
terekhova:FD05,56.0,37.383705,959
terekhova:FD06,55.0,36.638702,800
terekhova:FE01,80.0,36.754547,1738
terekhova:FE02,79.0,36.080967,2813
terekhova:FE03,73.0,36.334126,504
terekhova:FE04,74.0,36.19458,5742
terekhova:FE05,73.0,36.466743,685
terekhova:FE06,78.0,37.276546,623
terekhova:FE07,71.0,37.904987,1349
terekhova:FE08,68.0,36.899914,930
terekhova:FE09,76.0,37.594376,1764
terekhova:FE10,69.0,37.21026,610
