donor_id,true_age,predicted_age,n_cells
terekhova:A01,31.0,35.887283,614
terekhova:A02,29.0,34.969883,1585
terekhova:A03,34.0,35.099724,1709
terekhova:A04,31.0,35.09691,3186
terekhova:A05,30.0,34.767334,914
terekhova:A06,28.0,35.564793,431
terekhova:A07,30.0,36.15855,1169
terekhova:A08,28.0,36.002617,926
terekhova:A09,35.0,35.648422,2512
terekhova:A10,28.0,35.56838,1107
terekhova:A11,30.0,35.47164,1972
terekhova:A12,27.0,35.360573,1197
terekhova:A13,33.0,35.806698,1817
terekhova:A14,29.0,35.521847,963
terekhova:A15,26.0,36.106556,875
terekhova:A16,29.0,36.137733,613
terekhova:A17,30.0,36.24162,1186
terekhova:A18,29.0,35.942677,2339
terekhova:A19,30.0,37.12218,864
terekhova:A20,27.0,36.017128,2409
terekhova:A21,27.0,36.646324,1470
terekhova:A22,29.0,36.35137,340
terekhova:A23,27.0,36.032253,1987
terekhova:A24,27.0,36.280293,1565
terekhova:A25,34.0,35.703426,353
terekhova:A26,28.0,35.641598,3301
terekhova:A27,28.0,35.935417,2468
terekhova:A28,25.0,36.560005,494
terekhova:A29,33.0,35.672024,1321
terekhova:A30,33.0,35.615967,352
terekhova:A31,31.0,36.127792,1726
terekhova:A33,31.0,36.311817,957
terekhova:A34,28.0,36.09295,459
terekhova:A35,33.0,36.47536,745
terekhova:A36,33.0,35.731976,1189
terekhova:A37,26.0,36.00099,798
terekhova:A38,28.0,35.913322,1240
terekhova:A40,30.0,36.292545,373
terekhova:A41,34.0,36.370266,832
terekhova:B01,44.0,35.111885,1432
terekhova:B02,42.0,34.524612,350
terekhova:B03,37.0,35.390255,707
terekhova:B04,36.0,35.2227,584
terekhova:B05,44.0,35.056328,1140
terekhova:B06,44.0,35.524647,959
terekhova:B08,44.0,35.43737,1801
terekhova:B09,36.0,36.81706,879
terekhova:B10,44.0,36.55597,1160
terekhova:B11,37.0,36.85365,443
terekhova:B12,35.0,35.84045,775
terekhova:B13,35.0,36.03845,1775
terekhova:B14,38.0,35.692764,322
terekhova:B15,35.0,35.504536,411
terekhova:B16,44.0,36.32898,1030
terekhova:B17,40.0,36.144188,2074
terekhova:B18,39.0,36.13342,1692
terekhova:B19,41.0,35.442383,1106
terekhova:B20,41.0,35.39692,2786
terekhova:B21,35.0,35.555126,823
terekhova:B22,36.0,35.966812,560
terekhova:B23,39.0,35.687843,1256
terekhova:B24,36.0,35.074608,968
terekhova:C01,53.0,35.599094,783
terekhova:C02,53.0,34.722736,119
terekhova:C04,51.0,34.786507,680
terekhova:C05,49.0,35.04962,1282
terekhova:C06,46.0,34.23143,322
terekhova:C07,53.0,35.992878,1277
terekhova:C08,51.0,35.42983,373
terekhova:C09,55.0,35.4456,2409
terekhova:C10,52.0,35.278915,2524
terekhova:C11,51.0,35.75595,2484
terekhova:C12,55.0,36.04743,1351
terekhova:C13,50.0,35.460754,2596
terekhova:C14,48.0,35.332287,634
terekhova:C15,49.0,36.008244,1577
terekhova:C16,48.0,36.243465,1000
terekhova:C17,54.0,35.84378,966
terekhova:C18,54.0,35.935852,750
terekhova:D01,58.0,35.040646,883
terekhova:D02,59.0,35.738297,4707
terekhova:D03,63.0,34.804073,1945
terekhova:D04,61.0,34.854965,1789
terekhova:D05,63.0,35.96573,3118
terekhova:D06,60.0,36.959347,1491
terekhova:D07,58.0,35.644924,525
terekhova:D08,63.0,35.756195,2734
terekhova:D09,61.0,35.982357,1505
terekhova:D10,59.0,36.950924,311
terekhova:D11,62.0,36.014328,1025
terekhova:D12,63.0,36.49854,2452
terekhova:D13,59.0,36.289463,1713
terekhova:D14,61.0,35.58564,2066
terekhova:D15,64.0,35.3517,532
terekhova:D16,63.0,35.979023,1271
terekhova:D17,56.0,35.754513,862
terekhova:D18,63.0,35.987858,219
terekhova:D19,61.0,36.95121,224
terekhova:D20,61.0,36.473694,516
terekhova:D21,62.0,36.793095,740
terekhova:D22,64.0,37.390003,245
terekhova:D23,64.0,35.951538,1255
terekhova:D24,63.0,36.68192,297
terekhova:E01,72.0,35.39633,956
terekhova:E02,75.0,35.684868,820
terekhova:E03,70.0,35.469776,1062
terekhova:E04,70.0,34.86075,2610
terekhova:E05,66.0,35.60031,2156
terekhova:E06,66.0,34.914154,1774
terekhova:E07,80.0,35.864857,324
terekhova:E08,67.0,35.716145,1637
terekhova:E09,66.0,35.40145,1017
terekhova:E10,66.0,35.795887,1615
terekhova:E11,71.0,36.667675,6329
terekhova:E12,80.0,37.190834,1174
terekhova:E13,79.0,37.075657,1523
terekhova:E14,71.0,36.192406,2976
terekhova:E15,78.0,36.201298,2543
terekhova:E16,70.0,35.931202,3567
terekhova:E18,66.0,35.88218,2386
terekhova:E19,77.0,36.431355,1092
terekhova:E20,74.0,36.319965,1256
terekhova:E21,71.0,37.050663,959
terekhova:E22,75.0,36.080936,2229
terekhova:E23,71.0,36.023163,3226
terekhova:E24,72.0,35.478947,1894
terekhova:E26,73.0,36.027645,9
terekhova:E27,65.0,36.212646,330
terekhova:E29,74.0,35.85194,1131
terekhova:E30,72.0,36.31,505
terekhova:FA01,34.0,43.188347,134
terekhova:FA02,31.0,42.115784,467
terekhova:FA03,30.0,43.05571,420
terekhova:FA04,35.0,42.784233,842
terekhova:FA05,27.0,43.378593,448
terekhova:FA06,33.0,42.26531,352
terekhova:FA07,30.0,41.96572,2126
terekhova:FA08,26.0,42.447437,266
terekhova:FB01,44.0,42.046585,1131
terekhova:FB02,39.0,41.398468,339
terekhova:FB03,36.0,41.776295,281
terekhova:FB04,37.0,41.805557,1168
terekhova:FB05,35.0,41.804825,456
terekhova:FB06,37.0,41.404346,1383
terekhova:FB07,36.0,41.197598,195
terekhova:FC01,52.0,43.19167,365
terekhova:FC02,49.0,42.718613,724
terekhova:FC03,53.0,43.179832,614
