donor,pred_age,true_age
aida:IN_NIB_H021,47.340829849243164,24.0
aida:IN_NIB_H022,49.23900604248047,26.0
aida:IN_NIB_H024,47.873260498046875,24.0
aida:IN_NIB_H026,47.72454261779785,24.0
aida:IN_NIB_H027,47.159942626953125,26.0
aida:IN_NIB_H030,47.68561363220215,27.0
aida:IN_NIB_H032,47.18646049499512,24.0
aida:IN_NIB_H035,52.837669372558594,24.0
aida:IN_NIB_H036,52.65699577331543,26.0
aida:IN_NIB_H040,51.88851356506348,30.0
aida:IN_NIB_H044,52.43305587768555,29.0
aida:IN_NIB_H045,51.64630699157715,27.0
aida:IN_NIB_H046,52.84250068664551,34.0
aida:IN_NIB_H047,50.72183609008789,28.0
aida:JP_RIK_H001,46.88935089111328,34.0
aida:JP_RIK_H002,45.72257995605469,23.0
aida:JP_RIK_H005,47.26109313964844,37.0
aida:JP_RIK_H006,46.378543853759766,48.0
aida:JP_RIK_H007,49.088308334350586,45.0
aida:JP_RIK_H008,45.665626525878906,43.0
aida:JP_RIK_H010,46.388553619384766,46.0
aida:JP_RIK_H011,46.18853950500488,31.0
aida:JP_RIK_H012,45.43932914733887,49.0
aida:JP_RIK_H017,46.23914909362793,47.0
aida:JP_RIK_H018,46.46320915222168,39.0
aida:JP_RIK_H019,46.39303970336914,21.0
aida:JP_RIK_H020,47.2611083984375,45.0
aida:JP_RIK_H024,45.26525688171387,33.0
aida:JP_RIK_H031,45.68693923950195,30.0
aida:JP_RIK_H032,47.02330780029297,34.0
aida:JP_RIK_H034,48.774240493774414,33.0
aida:JP_RIK_H035,46.1134147644043,28.0
aida:JP_RIK_H036,47.71688461303711,41.0
aida:JP_RIK_H039,46.98270034790039,45.0
aida:JP_RIK_H040,45.240766525268555,31.0
aida:JP_RIK_H048,46.748069763183594,23.0
aida:JP_RIK_H051,46.65713882446289,36.0
aida:JP_RIK_H052,47.49483680725098,36.0
aida:JP_RIK_H053,46.60539627075195,30.0
aida:JP_RIK_H055,45.80263710021973,47.0
aida:JP_RIK_H056,47.541433334350586,25.0
aida:JP_RIK_H058,47.1778621673584,43.0
aida:JP_RIK_H059,46.28907585144043,43.0
