donor,pred_age,true_age
aida:IN_NIB_H021,60.35324478149414,24.0
aida:IN_NIB_H022,58.88614082336426,26.0
aida:IN_NIB_H024,59.3294563293457,24.0
aida:IN_NIB_H026,59.390506744384766,24.0
aida:IN_NIB_H027,58.13631629943848,26.0
aida:IN_NIB_H030,57.2032585144043,27.0
aida:IN_NIB_H032,58.44805145263672,24.0
aida:IN_NIB_H035,58.42684555053711,24.0
aida:IN_NIB_H036,52.69736289978027,26.0
aida:IN_NIB_H040,55.841609954833984,30.0
aida:IN_NIB_H044,55.177337646484375,29.0
aida:IN_NIB_H045,52.766130447387695,27.0
aida:IN_NIB_H046,54.11097526550293,34.0
aida:IN_NIB_H047,50.3804874420166,28.0
aida:JP_RIK_H001,46.9273738861084,34.0
aida:JP_RIK_H002,48.76364326477051,23.0
aida:JP_RIK_H005,49.43714904785156,37.0
aida:JP_RIK_H006,52.369781494140625,48.0
aida:JP_RIK_H007,45.24922752380371,45.0
aida:JP_RIK_H008,43.876895904541016,43.0
aida:JP_RIK_H010,48.8785514831543,46.0
aida:JP_RIK_H011,48.11297035217285,31.0
aida:JP_RIK_H012,48.698272705078125,49.0
aida:JP_RIK_H017,48.635250091552734,47.0
aida:JP_RIK_H018,47.37734603881836,39.0
aida:JP_RIK_H019,54.737552642822266,21.0
aida:JP_RIK_H020,44.95713996887207,45.0
aida:JP_RIK_H024,48.3788948059082,33.0
aida:JP_RIK_H031,50.47358703613281,30.0
aida:JP_RIK_H032,49.07253646850586,34.0
aida:JP_RIK_H034,46.94992637634277,33.0
aida:JP_RIK_H035,55.51005554199219,28.0
aida:JP_RIK_H036,54.243268966674805,41.0
aida:JP_RIK_H039,50.55103874206543,45.0
aida:JP_RIK_H040,47.95937728881836,31.0
aida:JP_RIK_H048,52.03338623046875,23.0
aida:JP_RIK_H051,46.4078426361084,36.0
aida:JP_RIK_H052,45.663156509399414,36.0
aida:JP_RIK_H053,46.73217582702637,30.0
aida:JP_RIK_H055,53.40283012390137,47.0
aida:JP_RIK_H056,49.900691986083984,25.0
aida:JP_RIK_H058,46.49762153625488,43.0
aida:JP_RIK_H059,47.90766143798828,43.0
aida:JP_RIK_H060,46.025299072265625,30.0
aida:JP_RIK_H062,48.6604061126709,48.0
aida:JP_RIK_H063,42.5684757232666,21.0
aida:JP_RIK_H066,43.460649490356445,22.0
aida:JP_RIK_H068,45.02398872375488,33.0
aida:JP_RIK_H071,44.543060302734375,48.0
aida:JP_RIK_H073,52.03421211242676,43.0
aida:JP_RIK_H076,46.87518310546875,32.0
aida:JP_RIK_H077,39.882957458496094,21.0
aida:JP_RIK_H078,49.24195098876953,26.0
aida:JP_RIK_H079,42.36776924133301,23.0
aida:JP_RIK_H080,47.22631645202637,22.0
aida:JP_RIK_H082,41.72212219238281,65.0
aida:JP_RIK_H084,37.93966865539551,33.0
aida:JP_RIK_H085,42.70208168029785,21.0
aida:JP_RIK_H086,43.095407485961914,33.0
aida:JP_RIK_H087,48.64036178588867,26.0
aida:JP_RIK_H088,40.844947814941406,49.0
aida:JP_RIK_H090,45.023061752319336,40.0
aida:JP_RIK_H094,47.24492835998535,22.0
aida:JP_RIK_H095,40.32297897338867,22.0
aida:JP_RIK_H096,42.54241943359375,47.0
aida:JP_RIK_H099,47.01560401916504,23.0
aida:JP_RIK_H100,49.53135108947754,21.0
aida:JP_RIK_H102,50.921525955200195,42.0
aida:JP_RIK_H103,48.06122016906738,32.0
aida:JP_RIK_H106,47.31107139587402,35.0
aida:JP_RIK_H107,37.69426345825195,37.0
aida:JP_RIK_H113,41.94391059875488,33.0
aida:JP_RIK_H114,42.16534996032715,37.0
aida:JP_RIK_H115,51.50096130371094,30.0
aida:JP_RIK_H117,41.71889305114746,31.0
aida:JP_RIK_H120,41.120723724365234,43.0
aida:JP_RIK_H123,42.63892936706543,32.0
aida:JP_RIK_H124,53.2780876159668,45.0
aida:JP_RIK_H127,48.17097854614258,22.0
aida:JP_RIK_H130,49.535926818847656,46.0
aida:JP_RIK_H134,42.546607971191406,33.0
aida:JP_RIK_H137,41.28603553771973,28.0
aida:JP_RIK_H138,47.15994644165039,43.0
aida:JP_RIK_H139,41.928117752075195,48.0
aida:JP_RIK_H140,46.379573822021484,37.0
aida:JP_RIK_H141,50.486114501953125,49.0
aida:JP_RIK_H143,44.7800407409668,38.0
aida:JP_RIK_H148,42.84999465942383,43.0
aida:KR_SGI_H006,39.10015106201172,27.0
aida:KR_SGI_H007,40.59892272949219,30.0
aida:KR_SGI_H011,42.14389419555664,28.0
aida:KR_SGI_H012,37.63890266418457,31.0
aida:KR_SGI_H016,42.382598876953125,47.0
aida:KR_SGI_H017,45.01192665100098,28.0
aida:KR_SGI_H018,53.914018630981445,27.0
aida:KR_SGI_H019,43.840415954589844,28.0
aida:KR_SGI_H021,54.41259765625,26.0
aida:KR_SGI_H025,46.73948097229004,40.0
aida:KR_SGI_H026,42.61294746398926,38.0
aida:KR_SGI_H027,48.17038345336914,33.0
aida:KR_SGI_H028,43.222124099731445,39.0
aida:KR_SGI_H032,41.1112060546875,35.0
aida:KR_SGI_H033,41.301897048950195,48.0
aida:KR_SGI_H034,51.44973373413086,46.0
aida:KR_SGI_H035,48.87252998352051,40.0
aida:KR_SGI_H037,48.99368858337402,35.0
aida:KR_SGI_H041,51.53099822998047,42.0
aida:KR_SGI_H043,49.49226951599121,41.0
aida:KR_SGI_H046,45.532283782958984,30.0
aida:KR_SGI_H047,51.24454879760742,39.0
aida:KR_SGI_H051,41.53995132446289,25.0
aida:KR_SGI_H053,45.42756462097168,24.0
aida:KR_SGI_H054,40.9355411529541,39.0
aida:KR_SGI_H056,40.49826622009277,33.0
aida:KR_SGI_H057,46.3482723236084,29.0
aida:KR_SGI_H058,41.13927459716797,28.0
aida:KR_SGI_H059,48.27690315246582,32.0
aida:KR_SGI_H060,44.36275863647461,40.0
aida:KR_SGI_H061,45.24412727355957,26.0
aida:KR_SGI_H062,48.1158447265625,39.0
aida:KR_SGI_H064,42.5759162902832,43.0
aida:KR_SGI_H065,43.882747650146484,47.0
aida:KR_SGI_H066,36.95244026184082,46.0
aida:KR_SGI_H067,41.169090270996094,38.0
aida:KR_SGI_H070,49.41973876953125,26.0
aida:KR_SGI_H071,46.861568450927734,62.0
aida:KR_SGI_H073,44.242069244384766,29.0
aida:KR_SGI_H076,46.88155746459961,29.0
aida:KR_SGI_H077,43.43438911437988,26.0
aida:KR_SGI_H078,44.83487129211426,56.0
aida:KR_SGI_H079,43.39939498901367,66.0
aida:KR_SGI_H081,44.29513931274414,38.0
aida:KR_SGI_H082,52.364458084106445,34.0
