donor,pred_age,true_age
aida:IN_NIB_H021,42.640296936035156,24.0
aida:IN_NIB_H022,48.97053337097168,26.0
aida:IN_NIB_H024,43.9894962310791,24.0
aida:IN_NIB_H026,43.84976768493652,24.0
aida:IN_NIB_H027,47.79973220825195,26.0
aida:IN_NIB_H030,43.15194892883301,27.0
aida:IN_NIB_H032,46.32974052429199,24.0
aida:IN_NIB_H035,50.40003776550293,24.0
aida:IN_NIB_H036,49.65746307373047,26.0
aida:IN_NIB_H040,50.650320053100586,30.0
aida:IN_NIB_H044,54.48672294616699,29.0
aida:IN_NIB_H045,50.8724479675293,27.0
aida:IN_NIB_H046,52.45965385437012,34.0
aida:IN_NIB_H047,53.950164794921875,28.0
aida:JP_RIK_H002,49.34710502624512,23.0
aida:JP_RIK_H005,53.050682067871094,37.0
aida:JP_RIK_H006,54.88150596618652,48.0
aida:JP_RIK_H007,51.180335998535156,45.0
aida:JP_RIK_H008,49.39057540893555,43.0
aida:JP_RIK_H010,48.45774841308594,46.0
aida:JP_RIK_H011,50.47462844848633,31.0
aida:JP_RIK_H012,48.99715042114258,49.0
aida:JP_RIK_H017,51.9607048034668,47.0
aida:JP_RIK_H018,53.47714042663574,39.0
aida:JP_RIK_H019,48.5856990814209,21.0
aida:JP_RIK_H020,52.25337219238281,45.0
aida:JP_RIK_H024,52.23466873168945,33.0
aida:JP_RIK_H031,47.468984603881836,30.0
aida:JP_RIK_H032,48.04093551635742,34.0
aida:JP_RIK_H034,50.605512619018555,33.0
aida:JP_RIK_H035,50.08174514770508,28.0
aida:JP_RIK_H036,49.67392158508301,41.0
aida:JP_RIK_H039,48.68242263793945,45.0
aida:JP_RIK_H040,51.16371154785156,31.0
aida:JP_RIK_H048,51.16559600830078,23.0
aida:JP_RIK_H051,51.70433235168457,36.0
aida:JP_RIK_H052,54.056684494018555,36.0
aida:JP_RIK_H053,49.45170021057129,30.0
aida:JP_RIK_H055,51.79411506652832,47.0
aida:JP_RIK_H056,49.03241729736328,25.0
aida:JP_RIK_H058,51.91152572631836,43.0
aida:JP_RIK_H059,49.449045181274414,43.0
aida:JP_RIK_H060,53.01238250732422,30.0
aida:JP_RIK_H062,53.76063919067383,48.0
aida:JP_RIK_H063,55.058937072753906,21.0
aida:JP_RIK_H066,53.8366813659668,22.0
aida:JP_RIK_H068,55.1840763092041,33.0
aida:JP_RIK_H071,51.712106704711914,48.0
aida:JP_RIK_H073,53.890384674072266,43.0
aida:JP_RIK_H076,52.138973236083984,32.0
aida:JP_RIK_H077,52.11362648010254,21.0
aida:JP_RIK_H078,50.366302490234375,26.0
aida:JP_RIK_H079,50.076839447021484,23.0
aida:JP_RIK_H080,49.433454513549805,22.0
aida:JP_RIK_H082,53.52112007141113,65.0
aida:JP_RIK_H084,53.01666069030762,33.0
aida:JP_RIK_H085,52.74164962768555,21.0
aida:JP_RIK_H086,54.05896186828613,33.0
aida:JP_RIK_H087,51.44920349121094,26.0
aida:JP_RIK_H088,53.66029930114746,49.0
aida:JP_RIK_H090,53.45522880554199,40.0
aida:JP_RIK_H094,55.3780574798584,22.0
aida:JP_RIK_H095,52.804311752319336,22.0
aida:JP_RIK_H096,54.335622787475586,47.0
aida:JP_RIK_H099,52.50920104980469,23.0
aida:JP_RIK_H100,52.1235408782959,21.0
aida:JP_RIK_H102,54.88153839111328,42.0
aida:JP_RIK_H103,54.24046325683594,32.0
aida:JP_RIK_H106,51.5205135345459,35.0
aida:JP_RIK_H107,53.2672061920166,37.0
aida:JP_RIK_H113,52.522315979003906,33.0
aida:JP_RIK_H114,53.254539489746094,37.0
aida:JP_RIK_H115,50.17684364318848,30.0
aida:JP_RIK_H117,51.12450408935547,31.0
aida:JP_RIK_H120,52.742340087890625,43.0
aida:JP_RIK_H123,50.65206718444824,32.0
aida:JP_RIK_H124,52.91396522521973,45.0
aida:JP_RIK_H127,50.47062301635742,22.0
aida:JP_RIK_H130,53.843990325927734,46.0
aida:JP_RIK_H134,52.469364166259766,33.0
aida:JP_RIK_H137,49.78059959411621,28.0
aida:JP_RIK_H138,54.46934127807617,43.0
aida:JP_RIK_H139,51.64484405517578,48.0
aida:JP_RIK_H140,52.13342094421387,37.0
aida:JP_RIK_H141,53.096004486083984,49.0
aida:JP_RIK_H143,52.404375076293945,38.0
aida:JP_RIK_H148,53.84434700012207,43.0
aida:KR_SGI_H006,46.12131881713867,27.0
aida:KR_SGI_H007,46.28377914428711,30.0
aida:KR_SGI_H011,46.95380210876465,28.0
aida:KR_SGI_H012,45.079925537109375,31.0
aida:KR_SGI_H016,43.166072845458984,47.0
aida:KR_SGI_H017,44.158761978149414,28.0
aida:KR_SGI_H018,44.21924591064453,27.0
aida:KR_SGI_H019,42.91525459289551,28.0
aida:KR_SGI_H021,45.16975212097168,26.0
aida:KR_SGI_H025,43.72451400756836,40.0
aida:KR_SGI_H026,47.388633728027344,38.0
aida:KR_SGI_H027,44.88436698913574,33.0
aida:KR_SGI_H028,45.19842529296875,39.0
aida:KR_SGI_H032,46.56955337524414,35.0
aida:KR_SGI_H033,44.62011528015137,48.0
aida:KR_SGI_H034,45.51908874511719,46.0
aida:KR_SGI_H035,43.072805404663086,40.0
aida:KR_SGI_H037,43.935163497924805,35.0
aida:KR_SGI_H041,45.4606990814209,42.0
aida:KR_SGI_H043,43.75408172607422,41.0
aida:KR_SGI_H046,44.4259033203125,30.0
aida:KR_SGI_H047,49.32657432556152,39.0
aida:KR_SGI_H051,45.98381423950195,25.0
aida:KR_SGI_H053,46.94791221618652,24.0
aida:KR_SGI_H054,45.06652641296387,39.0
aida:KR_SGI_H056,46.829179763793945,33.0
aida:KR_SGI_H057,47.10763359069824,29.0
aida:KR_SGI_H058,43.38288688659668,28.0
aida:KR_SGI_H059,49.461158752441406,32.0
aida:KR_SGI_H060,45.32474327087402,40.0
aida:KR_SGI_H061,43.016252517700195,26.0
aida:KR_SGI_H062,40.18662643432617,39.0
aida:KR_SGI_H064,43.958702087402344,43.0
aida:KR_SGI_H065,44.733177185058594,47.0
aida:KR_SGI_H066,43.02216148376465,46.0
aida:KR_SGI_H067,45.10114669799805,38.0
aida:KR_SGI_H070,42.961374282836914,26.0
aida:KR_SGI_H071,47.17477226257324,62.0
aida:KR_SGI_H073,42.03901481628418,29.0
aida:KR_SGI_H076,43.103187561035156,29.0
aida:KR_SGI_H077,43.915876388549805,26.0
aida:KR_SGI_H078,48.167171478271484,56.0
aida:KR_SGI_H079,45.694684982299805,66.0
aida:KR_SGI_H081,42.934898376464844,38.0
aida:KR_SGI_H082,43.84811592102051,34.0
aida:KR_SGI_H084,43.70251655578613,36.0
aida:KR_SGI_H086,43.59339141845703,41.0
aida:KR_SGI_H088,46.71499824523926,49.0
aida:KR_SGI_H090,47.03839302062988,34.0
aida:KR_SGI_H092,44.80681228637695,38.0
aida:KR_SGI_H095,48.410356521606445,40.0
aida:KR_SGI_H096,46.689130783081055,37.0
aida:KR_SGI_H099,47.362796783447266,26.0
aida:KR_SGI_H101,45.986087799072266,39.0
aida:KR_SGI_H104,43.47304916381836,57.0
aida:KR_SGI_H107,50.296390533447266,61.0
aida:KR_SGI_H108,47.18986892700195,56.0
aida:KR_SGI_H110,49.398277282714844,61.0
aida:KR_SGI_H111,46.29151153564453,60.0
aida:KR_SGI_H112,44.428829193115234,59.0
aida:KR_SGI_H114,49.39363670349121,58.0
aida:KR_SGI_H115,44.67474937438965,46.0
aida:KR_SGI_H116,46.11863708496094,68.0
aida:KR_SGI_H119,48.835771560668945,62.0
aida:KR_SGI_H121,48.2662239074707,42.0
aida:KR_SGI_H124,48.896484375,56.0
aida:KR_SGI_H126,46.0125617980957,52.0
aida:KR_SGI_H127,50.11800193786621,73.0
aida:KR_SGI_H136,47.56088447570801,44.0
aida:KR_SGI_H142,41.69021797180176,28.0
aida:KR_SGI_H143,45.81863594055176,52.0
aida:KR_SGI_H144,46.718454360961914,53.0
aida:KR_SGI_H145,47.73031044006348,50.0
aida:KR_SGI_H146,44.969696044921875,29.0
aida:KR_SGI_H152,43.01497268676758,48.0
aida:KR_SGI_H154,51.06602096557617,54.0
aida:KR_SGI_H155,42.78701972961426,51.0
aida:KR_SGI_H157,51.657958984375,31.0
