donor,pred_age,true_age
aida:JP_RIK_H001,53.20069122314453,34.0
aida:JP_RIK_H002,46.02309989929199,23.0
aida:JP_RIK_H005,52.94680213928223,37.0
aida:JP_RIK_H006,51.45565414428711,48.0
aida:JP_RIK_H007,55.89142990112305,45.0
aida:JP_RIK_H008,50.714101791381836,43.0
aida:JP_RIK_H010,52.382083892822266,46.0
aida:JP_RIK_H011,51.86464881896973,31.0
aida:JP_RIK_H012,48.93855094909668,49.0
aida:JP_RIK_H017,47.558401107788086,47.0
aida:JP_RIK_H018,48.20258712768555,39.0
aida:JP_RIK_H019,45.303192138671875,21.0
aida:JP_RIK_H020,50.851871490478516,45.0
aida:JP_RIK_H024,48.291337966918945,33.0
aida:JP_RIK_H031,49.65853309631348,30.0
aida:JP_RIK_H032,46.19875717163086,34.0
aida:JP_RIK_H034,49.91931343078613,33.0
aida:JP_RIK_H035,49.02845001220703,28.0
aida:JP_RIK_H036,47.108835220336914,41.0
aida:JP_RIK_H039,48.22161865234375,45.0
aida:JP_RIK_H040,46.23880958557129,31.0
aida:JP_RIK_H048,48.05226516723633,23.0
aida:JP_RIK_H051,46.488521575927734,36.0
aida:JP_RIK_H052,53.04649543762207,36.0
aida:JP_RIK_H053,47.441755294799805,30.0
aida:JP_RIK_H055,49.437686920166016,47.0
aida:JP_RIK_H056,50.43967247009277,25.0
aida:JP_RIK_H058,52.13762855529785,43.0
aida:JP_RIK_H059,49.69038772583008,43.0
aida:JP_RIK_H060,49.263872146606445,30.0
aida:JP_RIK_H062,52.468170166015625,48.0
aida:JP_RIK_H063,49.9145450592041,21.0
aida:JP_RIK_H066,53.444244384765625,22.0
aida:JP_RIK_H068,54.570173263549805,33.0
aida:JP_RIK_H071,52.03351020812988,48.0
aida:JP_RIK_H073,53.33592987060547,43.0
aida:JP_RIK_H076,49.79797554016113,32.0
aida:JP_RIK_H077,41.29052925109863,21.0
aida:JP_RIK_H078,48.22406768798828,26.0
aida:JP_RIK_H079,47.470394134521484,23.0
aida:JP_RIK_H080,47.392967224121094,22.0
aida:JP_RIK_H082,55.09437942504883,65.0
aida:JP_RIK_H084,46.93413734436035,33.0
aida:JP_RIK_H085,50.316633224487305,21.0
aida:JP_RIK_H086,52.287906646728516,33.0
aida:JP_RIK_H087,49.378915786743164,26.0
aida:JP_RIK_H088,53.45088195800781,49.0
aida:JP_RIK_H090,51.32737159729004,40.0
aida:JP_RIK_H094,49.64193153381348,22.0
aida:JP_RIK_H095,47.04008483886719,22.0
aida:JP_RIK_H096,51.9781608581543,47.0
aida:JP_RIK_H099,45.825435638427734,23.0
aida:JP_RIK_H100,47.046274185180664,21.0
aida:JP_RIK_H102,54.15176010131836,42.0
aida:JP_RIK_H103,51.023027420043945,32.0
aida:JP_RIK_H106,52.9255313873291,35.0
aida:JP_RIK_H107,53.728986740112305,37.0
aida:JP_RIK_H113,52.78602409362793,33.0
aida:JP_RIK_H114,52.59628486633301,37.0
aida:JP_RIK_H115,52.50789833068848,30.0
aida:JP_RIK_H117,53.51669692993164,31.0
aida:JP_RIK_H120,54.00699234008789,43.0
aida:JP_RIK_H123,50.299686431884766,32.0
aida:JP_RIK_H124,51.943138122558594,45.0
aida:JP_RIK_H127,50.37436103820801,22.0
aida:JP_RIK_H130,56.33923530578613,46.0
aida:JP_RIK_H134,52.876319885253906,33.0
aida:JP_RIK_H137,53.68908882141113,28.0
aida:JP_RIK_H138,53.399261474609375,43.0
aida:JP_RIK_H139,52.81065559387207,48.0
aida:JP_RIK_H140,51.955684661865234,37.0
aida:JP_RIK_H141,57.52031135559082,49.0
aida:JP_RIK_H143,54.31782341003418,38.0
aida:JP_RIK_H148,53.05778503417969,43.0
aida:KR_SGI_H006,45.583208084106445,27.0
aida:KR_SGI_H007,47.72962188720703,30.0
aida:KR_SGI_H011,46.68147850036621,28.0
aida:KR_SGI_H012,43.865230560302734,31.0
aida:KR_SGI_H016,47.03405952453613,47.0
aida:KR_SGI_H017,46.68808937072754,28.0
aida:KR_SGI_H018,44.780317306518555,27.0
aida:KR_SGI_H019,47.77557563781738,28.0
aida:KR_SGI_H021,44.90690040588379,26.0
aida:KR_SGI_H025,48.9107723236084,40.0
aida:KR_SGI_H026,40.69853210449219,38.0
aida:KR_SGI_H027,47.46944236755371,33.0
aida:KR_SGI_H028,46.0157356262207,39.0
aida:KR_SGI_H032,45.89887046813965,35.0
aida:KR_SGI_H033,42.321624755859375,48.0
aida:KR_SGI_H034,48.50488090515137,46.0
aida:KR_SGI_H035,39.847909927368164,40.0
aida:KR_SGI_H037,46.74841499328613,35.0
aida:KR_SGI_H041,44.96902847290039,42.0
aida:KR_SGI_H043,45.44627571105957,41.0
aida:KR_SGI_H046,47.1486759185791,30.0
aida:KR_SGI_H047,45.211585998535156,39.0
aida:KR_SGI_H051,43.41205978393555,25.0
aida:KR_SGI_H053,45.34535598754883,24.0
aida:KR_SGI_H054,46.20869827270508,39.0
aida:KR_SGI_H056,48.33360481262207,33.0
aida:KR_SGI_H057,45.8588924407959,29.0
aida:KR_SGI_H058,43.847612380981445,28.0
aida:KR_SGI_H059,48.446468353271484,32.0
aida:KR_SGI_H060,51.2480525970459,40.0
aida:KR_SGI_H061,38.603057861328125,26.0
aida:KR_SGI_H062,43.64420509338379,39.0
aida:KR_SGI_H064,47.34538459777832,43.0
aida:KR_SGI_H065,41.35170555114746,47.0
aida:KR_SGI_H066,46.4981575012207,46.0
aida:KR_SGI_H067,42.83540153503418,38.0
aida:KR_SGI_H070,46.87179946899414,26.0
aida:KR_SGI_H071,48.63783073425293,62.0
aida:KR_SGI_H073,39.72500419616699,29.0
aida:KR_SGI_H076,42.16242218017578,29.0
aida:KR_SGI_H077,43.607038497924805,26.0
aida:KR_SGI_H078,45.49967575073242,56.0
aida:KR_SGI_H079,48.38261795043945,66.0
aida:KR_SGI_H081,41.8407096862793,38.0
aida:KR_SGI_H082,42.9465274810791,34.0
aida:KR_SGI_H084,42.83393478393555,36.0
aida:KR_SGI_H086,41.47357749938965,41.0
aida:KR_SGI_H088,48.08573913574219,49.0
aida:KR_SGI_H090,44.148433685302734,34.0
aida:KR_SGI_H092,41.773427963256836,38.0
aida:KR_SGI_H095,42.565874099731445,40.0
aida:KR_SGI_H096,42.28499984741211,37.0
aida:KR_SGI_H099,45.542062759399414,26.0
aida:KR_SGI_H101,42.759639739990234,39.0
aida:KR_SGI_H104,43.674123764038086,57.0
aida:KR_SGI_H107,51.07947540283203,61.0
aida:KR_SGI_H108,46.02578926086426,56.0
aida:KR_SGI_H110,51.165048599243164,61.0
aida:KR_SGI_H111,49.917741775512695,60.0
aida:KR_SGI_H112,48.110572814941406,59.0
aida:KR_SGI_H114,43.83686065673828,58.0
aida:KR_SGI_H115,46.40151405334473,46.0
aida:KR_SGI_H116,44.65040397644043,68.0
aida:KR_SGI_H119,51.03879737854004,62.0
aida:KR_SGI_H121,41.61441612243652,42.0
aida:KR_SGI_H124,45.99059295654297,56.0
aida:KR_SGI_H126,49.68570518493652,52.0
aida:KR_SGI_H127,53.86985969543457,73.0
aida:KR_SGI_H136,45.14691352844238,44.0
aida:KR_SGI_H142,43.83441734313965,28.0
aida:KR_SGI_H143,46.91284942626953,52.0
aida:KR_SGI_H144,49.05777168273926,53.0
aida:KR_SGI_H145,45.08653450012207,50.0
aida:KR_SGI_H146,43.059303283691406,29.0
aida:KR_SGI_H152,48.06060218811035,48.0
aida:KR_SGI_H154,50.71595001220703,54.0
aida:KR_SGI_H155,43.09896278381348,51.0
aida:KR_SGI_H157,52.65263366699219,31.0
aida:KR_SGI_H158,47.11761665344238,30.0
aida:KR_SGI_H160,49.38166427612305,49.0
aida:KR_SGI_H161,39.130027770996094,19.0
aida:KR_SGI_H162,39.91268539428711,24.0
aida:KR_SGI_H163,43.3968505859375,50.0
aida:LONZA3030004,54.51517868041992,33.0
aida:LONZA3038097,54.70878219604492,41.0
aida:LONZA3061635,53.167829513549805,25.0
aida:SG_HEL_H002,48.44158744812012,55.0
aida:SG_HEL_H003,47.25762367248535,54.0
aida:SG_HEL_H013,48.25794982910156,51.0
aida:SG_HEL_H018,48.31454849243164,56.0
aida:SG_HEL_H030,50.50119972229004,45.0
aida:SG_HEL_H03a,52.29339027404785,58.0
aida:SG_HEL_H042,53.11100387573242,61.0
aida:SG_HEL_H044,44.74842834472656,41.0
aida:SG_HEL_H045,53.48048210144043,42.0
aida:SG_HEL_H04a,45.735551834106445,47.0
aida:SG_HEL_H051,49.725576400756836,53.0
aida:SG_HEL_H052,48.608354568481445,55.0
aida:SG_HEL_H053,49.29185485839844,55.0
aida:SG_HEL_H054,45.42903518676758,53.0
aida:SG_HEL_H059,48.95657539367676,56.0
aida:SG_HEL_H05a,50.089820861816406,41.0
aida:SG_HEL_H062,53.15664291381836,62.0
aida:SG_HEL_H065,51.04183006286621,57.0
aida:SG_HEL_H066,53.25480651855469,40.0
aida:SG_HEL_H06a,54.80414962768555,56.0
aida:SG_HEL_H072,45.16277313232422,55.0
aida:SG_HEL_H077,49.50247573852539,58.0
aida:SG_HEL_H083,50.82202911376953,45.0
aida:SG_HEL_H08a,55.34084129333496,44.0
aida:SG_HEL_H093,52.72927665710449,58.0
aida:SG_HEL_H094,47.74074172973633,66.0
aida:SG_HEL_H096,45.75286293029785,39.0
aida:SG_HEL_H099,48.148027420043945,33.0
aida:SG_HEL_H101,54.58731460571289,30.0
aida:SG_HEL_H108,54.673004150390625,49.0
aida:SG_HEL_H109,46.78583908081055,48.0
aida:SG_HEL_H10a,47.48004913330078,43.0
aida:SG_HEL_H111,51.686777114868164,52.0
aida:SG_HEL_H113,50.37903594970703,61.0
aida:SG_HEL_H117,51.70687675476074,67.0
aida:SG_HEL_H118,48.44867515563965,66.0
aida:SG_HEL_H121,47.817543029785156,55.0
aida:SG_HEL_H125,45.354156494140625,47.0
aida:SG_HEL_H126,49.92975044250488,61.0
aida:SG_HEL_H127,50.81398391723633,50.0
aida:SG_HEL_H12a,53.095787048339844,58.0
aida:SG_HEL_H138,55.06296348571777,64.0
aida:SG_HEL_H140,53.1646785736084,50.0
aida:SG_HEL_H144,44.537315368652344,35.0
aida:SG_HEL_H145,52.01976203918457,50.0
aida:SG_HEL_H148,46.834720611572266,37.0
aida:SG_HEL_H152,51.745609283447266,47.0
aida:SG_HEL_H156,46.48773765563965,31.0
aida:SG_HEL_H164,54.8991756439209,55.0
aida:SG_HEL_H166,50.82773399353027,36.0
aida:SG_HEL_H16a,54.33928871154785,68.0
aida:SG_HEL_H191,52.38951301574707,62.0
aida:SG_HEL_H194,53.735103607177734,40.0
aida:SG_HEL_H198,47.595741271972656,66.0
aida:SG_HEL_H199,51.4369010925293,60.0
aida:SG_HEL_H229,48.31328582763672,58.0
aida:SG_HEL_H231,53.325042724609375,56.0
aida:SG_HEL_H234,48.47854423522949,48.0
aida:SG_HEL_H237,52.76347351074219,65.0
aida:SG_HEL_H242,53.375288009643555,67.0
aida:SG_HEL_H245,56.04075622558594,45.0
aida:SG_HEL_H253,54.182804107666016,52.0
aida:SG_HEL_H254,50.187421798706055,31.0
aida:SG_HEL_H258,52.98189926147461,47.0
aida:SG_HEL_H261,54.44475555419922,46.0
