donor,pred_age,true_age
aida:JP_RIK_H001,46.97749328613281,34.0
aida:JP_RIK_H002,44.962825775146484,23.0
aida:JP_RIK_H005,48.03588676452637,37.0
aida:JP_RIK_H006,48.040767669677734,48.0
aida:JP_RIK_H007,46.01659393310547,45.0
aida:JP_RIK_H008,51.08784866333008,43.0
aida:JP_RIK_H010,52.38137245178223,46.0
aida:JP_RIK_H011,49.143362045288086,31.0
aida:JP_RIK_H012,48.8213005065918,49.0
aida:JP_RIK_H017,45.97650146484375,47.0
aida:JP_RIK_H018,44.34782600402832,39.0
aida:JP_RIK_H019,42.99814414978027,21.0
aida:JP_RIK_H020,45.71749305725098,45.0
aida:JP_RIK_H024,46.95161247253418,33.0
aida:JP_RIK_H031,49.61442184448242,30.0
aida:JP_RIK_H032,43.32508659362793,34.0
aida:JP_RIK_H034,47.367244720458984,33.0
aida:JP_RIK_H035,47.587284088134766,28.0
aida:JP_RIK_H036,43.04490089416504,41.0
aida:JP_RIK_H039,48.18842887878418,45.0
aida:JP_RIK_H040,44.174360275268555,31.0
aida:JP_RIK_H048,45.6524543762207,23.0
aida:JP_RIK_H051,45.202823638916016,36.0
aida:JP_RIK_H052,48.31734657287598,36.0
aida:JP_RIK_H053,44.80647087097168,30.0
aida:JP_RIK_H055,47.72678184509277,47.0
aida:JP_RIK_H056,48.11538887023926,25.0
aida:JP_RIK_H058,48.98654556274414,43.0
aida:JP_RIK_H059,46.34592056274414,43.0
aida:JP_RIK_H060,44.176156997680664,30.0
aida:JP_RIK_H062,50.78616905212402,48.0
aida:JP_RIK_H063,43.11587715148926,21.0
aida:JP_RIK_H066,43.942073822021484,22.0
aida:JP_RIK_H068,48.80584144592285,33.0
aida:JP_RIK_H071,45.60528755187988,48.0
aida:JP_RIK_H073,49.779489517211914,43.0
aida:JP_RIK_H076,44.828840255737305,32.0
aida:JP_RIK_H077,38.08405876159668,21.0
aida:JP_RIK_H078,42.71774864196777,26.0
aida:JP_RIK_H079,43.229780197143555,23.0
aida:JP_RIK_H080,42.13638114929199,22.0
aida:JP_RIK_H082,53.12642288208008,65.0
aida:JP_RIK_H084,42.66179275512695,33.0
aida:JP_RIK_H085,45.07122611999512,21.0
aida:JP_RIK_H086,46.3121223449707,33.0
aida:JP_RIK_H087,45.693830490112305,26.0
aida:JP_RIK_H088,48.37756538391113,49.0
aida:JP_RIK_H090,47.4317512512207,40.0
aida:JP_RIK_H094,46.39347457885742,22.0
aida:JP_RIK_H095,43.21401596069336,22.0
aida:JP_RIK_H096,45.32194709777832,47.0
aida:JP_RIK_H099,39.902156829833984,23.0
aida:JP_RIK_H100,42.24958419799805,21.0
aida:JP_RIK_H102,50.30018997192383,42.0
aida:JP_RIK_H103,45.94752311706543,32.0
aida:JP_RIK_H106,49.545644760131836,35.0
aida:JP_RIK_H107,49.31902503967285,37.0
