donor,pred_age,true_age
aida:JP_RIK_H001,50.136566162109375,34.0
aida:JP_RIK_H002,43.85450553894043,23.0
aida:JP_RIK_H005,49.478750228881836,37.0
aida:JP_RIK_H006,49.58929443359375,48.0
aida:JP_RIK_H007,54.378318786621094,45.0
aida:JP_RIK_H008,51.62487602233887,43.0
aida:JP_RIK_H010,52.73564147949219,46.0
aida:JP_RIK_H011,50.831024169921875,31.0
aida:JP_RIK_H012,47.540889739990234,49.0
aida:JP_RIK_H017,44.925048828125,47.0
aida:JP_RIK_H018,47.44409370422363,39.0
aida:JP_RIK_H019,41.22068977355957,21.0
aida:JP_RIK_H020,46.86160087585449,45.0
aida:JP_RIK_H024,44.97253608703613,33.0
aida:JP_RIK_H031,46.27455711364746,30.0
aida:JP_RIK_H032,44.82601737976074,34.0
aida:JP_RIK_H034,45.748952865600586,33.0
aida:JP_RIK_H035,45.10660171508789,28.0
aida:JP_RIK_H036,42.73782730102539,41.0
aida:JP_RIK_H039,44.61699867248535,45.0
aida:JP_RIK_H040,42.913198471069336,31.0
aida:JP_RIK_H048,41.91034507751465,23.0
aida:JP_RIK_H051,45.713409423828125,36.0
aida:JP_RIK_H052,49.19709587097168,36.0
aida:JP_RIK_H053,41.595943450927734,30.0
aida:JP_RIK_H055,45.56354331970215,47.0
aida:JP_RIK_H056,46.23948669433594,25.0
aida:JP_RIK_H058,48.02540397644043,43.0
aida:JP_RIK_H059,45.150081634521484,43.0
aida:JP_RIK_H060,43.74040412902832,30.0
aida:JP_RIK_H062,49.56590461730957,48.0
aida:JP_RIK_H063,44.33726692199707,21.0
aida:JP_RIK_H066,46.59222221374512,22.0
aida:JP_RIK_H068,54.182647705078125,33.0
aida:JP_RIK_H071,49.69268226623535,48.0
aida:JP_RIK_H073,50.0642204284668,43.0
aida:JP_RIK_H076,46.13878059387207,32.0
aida:JP_RIK_H077,38.37131690979004,21.0
aida:JP_RIK_H078,46.37727928161621,26.0
aida:JP_RIK_H079,43.56099891662598,23.0
aida:JP_RIK_H080,42.673095703125,22.0
aida:JP_RIK_H082,54.252220153808594,65.0
aida:JP_RIK_H084,45.05349349975586,33.0
aida:JP_RIK_H085,45.83719825744629,21.0
aida:JP_RIK_H086,49.20013236999512,33.0
aida:JP_RIK_H087,45.95926856994629,26.0
aida:JP_RIK_H088,51.00822639465332,49.0
aida:JP_RIK_H090,47.90832328796387,40.0
aida:JP_RIK_H094,45.39686965942383,22.0
aida:JP_RIK_H095,45.24582099914551,22.0
aida:JP_RIK_H096,48.71942329406738,47.0
aida:JP_RIK_H099,44.05404472351074,23.0
aida:JP_RIK_H100,43.282493591308594,21.0
aida:JP_RIK_H102,51.81813430786133,42.0
aida:JP_RIK_H103,47.49386215209961,32.0
aida:JP_RIK_H106,51.04237174987793,35.0
aida:JP_RIK_H107,50.79341125488281,37.0
aida:JP_RIK_H113,49.26941108703613,33.0
aida:JP_RIK_H114,48.63609313964844,37.0
aida:JP_RIK_H115,49.26393699645996,30.0
aida:JP_RIK_H117,52.55657386779785,31.0
aida:JP_RIK_H120,49.598384857177734,43.0
aida:JP_RIK_H123,46.40394592285156,32.0
aida:JP_RIK_H124,48.89482307434082,45.0
aida:JP_RIK_H127,46.77653694152832,22.0
aida:JP_RIK_H130,56.82521438598633,46.0
aida:JP_RIK_H134,53.52371406555176,33.0
aida:JP_RIK_H137,54.14028358459473,28.0
aida:JP_RIK_H138,50.66031074523926,43.0
aida:JP_RIK_H139,50.75889015197754,48.0
aida:JP_RIK_H140,48.93378257751465,37.0
aida:JP_RIK_H141,57.19805335998535,49.0
aida:JP_RIK_H143,54.104570388793945,38.0
aida:JP_RIK_H148,50.650278091430664,43.0
aida:KR_SGI_H006,43.05280303955078,27.0
aida:KR_SGI_H007,44.34605598449707,30.0
aida:KR_SGI_H011,44.887916564941406,28.0
aida:KR_SGI_H012,39.697696685791016,31.0
aida:KR_SGI_H016,47.64036560058594,47.0
aida:KR_SGI_H017,42.72294807434082,28.0
aida:KR_SGI_H018,39.96297073364258,27.0
aida:KR_SGI_H019,43.9439811706543,28.0
aida:KR_SGI_H021,40.37428855895996,26.0
aida:KR_SGI_H025,46.56733512878418,40.0
aida:KR_SGI_H026,38.13428497314453,38.0
aida:KR_SGI_H027,43.12834548950195,33.0
aida:KR_SGI_H028,43.38254356384277,39.0
aida:KR_SGI_H032,46.15340042114258,35.0
aida:KR_SGI_H033,42.53177070617676,48.0
aida:KR_SGI_H034,48.26605415344238,46.0
aida:KR_SGI_H035,37.942033767700195,40.0
aida:KR_SGI_H037,44.32069206237793,35.0
aida:KR_SGI_H041,42.41259574890137,42.0
aida:KR_SGI_H043,46.537282943725586,41.0
aida:KR_SGI_H046,46.32106590270996,30.0
aida:KR_SGI_H047,40.847900390625,39.0
aida:KR_SGI_H051,40.71751403808594,25.0
aida:KR_SGI_H053,47.144927978515625,24.0
aida:KR_SGI_H054,44.39038848876953,39.0
aida:KR_SGI_H056,47.03397750854492,33.0
aida:KR_SGI_H057,43.03425216674805,29.0
aida:KR_SGI_H058,42.50712203979492,28.0
aida:KR_SGI_H059,47.64544486999512,32.0
aida:KR_SGI_H060,48.21359443664551,40.0
aida:KR_SGI_H061,36.8448543548584,26.0
aida:KR_SGI_H062,41.91423034667969,39.0
aida:KR_SGI_H064,46.536495208740234,43.0
aida:KR_SGI_H065,38.601308822631836,47.0
aida:KR_SGI_H066,44.31820487976074,46.0
aida:KR_SGI_H067,43.566253662109375,38.0
aida:KR_SGI_H070,43.1429328918457,26.0
aida:KR_SGI_H071,47.657236099243164,62.0
aida:KR_SGI_H073,37.30489158630371,29.0
aida:KR_SGI_H076,39.86001014709473,29.0
aida:KR_SGI_H077,42.337568283081055,26.0
aida:KR_SGI_H078,43.90722465515137,56.0
aida:KR_SGI_H079,50.930931091308594,66.0
aida:KR_SGI_H081,41.438541412353516,38.0
aida:KR_SGI_H082,41.576690673828125,34.0
aida:KR_SGI_H084,39.32756805419922,36.0
aida:KR_SGI_H086,40.91950607299805,41.0
aida:KR_SGI_H088,45.01597213745117,49.0
aida:KR_SGI_H090,42.89890480041504,34.0
aida:KR_SGI_H092,39.58548545837402,38.0
aida:KR_SGI_H095,41.23543167114258,40.0
aida:KR_SGI_H096,41.045021057128906,37.0
aida:KR_SGI_H099,41.63525581359863,26.0
aida:KR_SGI_H101,40.79067802429199,39.0
aida:KR_SGI_H104,42.30149269104004,57.0
aida:KR_SGI_H107,54.161468505859375,61.0
aida:KR_SGI_H108,45.93667793273926,56.0
aida:KR_SGI_H110,51.070064544677734,61.0
aida:KR_SGI_H111,50.609107971191406,60.0
aida:KR_SGI_H112,48.643991470336914,59.0
aida:KR_SGI_H114,39.984500885009766,58.0
aida:KR_SGI_H115,46.19823455810547,46.0
aida:KR_SGI_H116,44.83094596862793,68.0
aida:KR_SGI_H119,49.3652229309082,62.0
aida:KR_SGI_H121,40.861549377441406,42.0
aida:KR_SGI_H124,44.94528007507324,56.0
aida:KR_SGI_H126,49.5385856628418,52.0
aida:KR_SGI_H127,53.93674087524414,73.0
aida:KR_SGI_H136,47.294477462768555,44.0
aida:KR_SGI_H142,43.01774787902832,28.0
aida:KR_SGI_H143,47.14086151123047,52.0
aida:KR_SGI_H144,49.48721122741699,53.0
aida:KR_SGI_H145,44.55646896362305,50.0
aida:KR_SGI_H146,41.835845947265625,29.0
aida:KR_SGI_H152,48.265411376953125,48.0
aida:KR_SGI_H154,54.26840400695801,54.0
aida:KR_SGI_H155,43.009931564331055,51.0
aida:KR_SGI_H157,50.2658634185791,31.0
aida:KR_SGI_H158,47.05373764038086,30.0
aida:KR_SGI_H160,51.815507888793945,49.0
aida:KR_SGI_H161,39.47106170654297,19.0
aida:KR_SGI_H162,39.87574768066406,24.0
aida:KR_SGI_H163,42.25605773925781,50.0
aida:LONZA3030004,52.52765464782715,33.0
aida:LONZA3038097,58.2569694519043,41.0
aida:LONZA3061635,53.01409149169922,25.0
aida:SG_HEL_H002,45.17354774475098,55.0
aida:SG_HEL_H003,46.49026298522949,54.0
