donor,pred_age,true_age
aida:JP_RIK_H001,46.021636962890625,34.0
aida:JP_RIK_H002,44.51726722717285,23.0
aida:JP_RIK_H005,48.97218132019043,37.0
aida:JP_RIK_H006,43.06008338928223,48.0
aida:JP_RIK_H007,38.94911575317383,45.0
aida:JP_RIK_H008,40.8779239654541,43.0
aida:JP_RIK_H010,44.075870513916016,46.0
aida:JP_RIK_H011,42.44545364379883,31.0
aida:JP_RIK_H012,43.459035873413086,49.0
aida:JP_RIK_H017,44.62397766113281,47.0
aida:JP_RIK_H018,41.163612365722656,39.0
aida:JP_RIK_H019,44.633880615234375,21.0
aida:JP_RIK_H020,46.01238822937012,45.0
aida:JP_RIK_H024,41.63897132873535,33.0
aida:JP_RIK_H031,52.241249084472656,30.0
aida:JP_RIK_H032,40.06411361694336,34.0
aida:JP_RIK_H034,43.01802635192871,33.0
aida:JP_RIK_H035,54.468597412109375,28.0
aida:JP_RIK_H036,48.159189224243164,41.0
aida:JP_RIK_H039,43.678361892700195,45.0
aida:JP_RIK_H040,39.990549087524414,31.0
aida:JP_RIK_H048,50.50247001647949,23.0
aida:JP_RIK_H051,40.84052276611328,36.0
aida:JP_RIK_H052,53.44313049316406,36.0
aida:JP_RIK_H053,44.11288070678711,30.0
aida:JP_RIK_H055,53.309471130371094,47.0
aida:JP_RIK_H056,44.06193161010742,25.0
aida:JP_RIK_H058,49.807579040527344,43.0
aida:JP_RIK_H059,42.43777847290039,43.0
aida:JP_RIK_H060,41.792755126953125,30.0
aida:JP_RIK_H062,49.96579170227051,48.0
aida:JP_RIK_H063,41.56377601623535,21.0
aida:JP_RIK_H066,44.46084022521973,22.0
aida:JP_RIK_H068,45.28430938720703,33.0
aida:JP_RIK_H071,39.37156677246094,48.0
aida:JP_RIK_H073,47.76071357727051,43.0
aida:JP_RIK_H076,48.62549591064453,32.0
aida:JP_RIK_H077,38.70936965942383,21.0
aida:JP_RIK_H078,41.38221740722656,26.0
aida:JP_RIK_H079,39.21856880187988,23.0
aida:JP_RIK_H080,44.11123275756836,22.0
aida:JP_RIK_H082,50.911521911621094,65.0
aida:JP_RIK_H084,39.746219635009766,33.0
aida:JP_RIK_H085,44.66765213012695,21.0
aida:JP_RIK_H086,41.67812919616699,33.0
aida:JP_RIK_H087,49.5819034576416,26.0
aida:JP_RIK_H088,48.86205291748047,49.0
aida:JP_RIK_H090,43.64168357849121,40.0
aida:JP_RIK_H094,45.16636848449707,22.0
aida:JP_RIK_H095,38.825090408325195,22.0
aida:JP_RIK_H096,46.01250457763672,47.0
