seed,layer,eval,R,MAE
seed0,0,onek1k,0.342238,28.4718
seed0,0,aida,0.316525,10.7919
seed0,1,onek1k,0.517632,26.2687
seed0,1,aida,0.495221,8.71978
seed0,2,onek1k,0.541717,17.7654
seed0,2,aida,0.494342,10.1869
seed0,3,onek1k,0.569929,9.96185
seed0,3,aida,0.491864,12.1867
seed0,4,onek1k,0.552428,13.2273
seed0,4,aida,0.477084,10.0517
seed0,5,onek1k,0.625181,11.6782
seed0,5,aida,0.476425,9.01205
seed0,6,onek1k,0.638061,8.57401
seed0,6,aida,0.505364,8.26618
seed0,7,onek1k,0.638944,9.96346
seed0,7,aida,0.465107,8.57138
seed0,8,onek1k,0.632812,17.549
seed0,8,aida,0.548872,8.23354
seed0,9,onek1k,0.627939,15.8724
seed0,9,aida,0.516928,8.28793
seed0,10,onek1k,0.635698,14.1769
seed0,10,aida,0.54351,8.22441
seed0,11,onek1k,0.61578,15.6532
seed0,11,aida,0.595632,7.82207
seed0,12,onek1k,0.63058,8.21262
seed0,12,aida,0.610571,7.84493
seed1,0,onek1k,0.342238,28.4718
seed1,0,aida,0.316525,10.7919
seed1,1,onek1k,0.498146,30.382
seed1,1,aida,0.472125,8.82243
seed1,2,onek1k,0.518208,24.5314
seed1,2,aida,0.454827,9.49263
seed1,3,onek1k,0.557107,17.8797
seed1,3,aida,0.493433,8.35001
seed1,4,onek1k,0.541129,20.9455
seed1,4,aida,0.497163,8.10486
seed1,5,onek1k,0.617459,16.937
seed1,5,aida,0.498669,8.17791
seed1,6,onek1k,0.635361,12.9371
seed1,6,aida,0.550708,8.15162
seed1,7,onek1k,0.627952,14.4276
seed1,7,aida,0.513581,8.30162
seed1,8,onek1k,0.621473,19.4424
seed1,8,aida,0.527365,7.79275
seed1,9,onek1k,0.620172,19.312
seed1,9,aida,0.490395,8.27409
seed1,10,onek1k,0.62505,16.9357
seed1,10,aida,0.520109,8.24513
seed1,11,onek1k,0.62722,19.3835
seed1,11,aida,0.531556,8.42645
seed1,12,onek1k,0.629211,14.8276
seed1,12,aida,0.546443,8.56732
seed2,0,onek1k,0.342238,28.4718
seed2,0,aida,0.316525,10.7919
seed2,1,onek1k,0.514762,27.5477
seed2,1,aida,0.475079,9.22739
seed2,2,onek1k,0.536267,20.2959
seed2,2,aida,0.459801,11.475
seed2,3,onek1k,0.568899,10.9932
seed2,3,aida,0.475823,11.709
seed2,4,onek1k,0.54627,14.1504
seed2,4,aida,0.480333,8.99419
seed2,5,onek1k,0.604558,13.7889
seed2,5,aida,0.482326,9.36771
seed2,6,onek1k,0.622547,11.0513
seed2,6,aida,0.550028,8.31154
seed2,7,onek1k,0.619601,12.8324
seed2,7,aida,0.529298,8.29929
seed2,8,onek1k,0.619517,13.9595
seed2,8,aida,0.55128,8.22816
seed2,9,onek1k,0.614276,14.4239
seed2,9,aida,0.552314,8.51669
seed2,10,onek1k,0.613648,13.1081
seed2,10,aida,0.573805,7.75243
seed2,11,onek1k,0.601495,14.9457
seed2,11,aida,0.570551,7.63094
seed2,12,onek1k,0.564717,10.3589
seed2,12,aida,0.522711,8.53296
