fold,eval_cohort,layer,R_mean,R_std,MAE_mean,MAE_std,n_seeds
loco_onek1k,aida,0,0.164316,0.0738646,14.7603,2.58214,3
loco_onek1k,aida,1,0.210242,0.0539252,14.9509,1.41897,3
loco_onek1k,aida,2,0.176634,0.0844066,18.23,4.18357,3
loco_onek1k,aida,3,0.197861,0.0841747,15.7394,1.3549,3
loco_onek1k,aida,4,0.191434,0.100472,19.4477,10.1492,3
loco_onek1k,aida,5,0.215038,0.0680781,14.2353,0.811571,3
loco_onek1k,aida,6,0.221351,0.116055,21.256,6.18317,3
loco_onek1k,aida,7,0.196581,0.151575,22.6298,7.44123,3
loco_onek1k,aida,8,0.199373,0.122746,21.7678,5.70642,3
loco_onek1k,aida,9,0.182997,0.149306,18.8988,4.64694,3
loco_onek1k,aida,10,0.18821,0.173591,16.6653,5.25578,3
loco_onek1k,aida,11,0.149711,0.196992,17.2397,4.88159,3
loco_onek1k,aida,12,0.136157,0.0992781,14.0448,1.93856,3
loco_onek1k,onek1k,0,0.135878,0.0372563,15.1917,7.05531,3
loco_onek1k,onek1k,1,0.155663,0.0357459,22.336,15.8545,3
loco_onek1k,onek1k,2,0.137002,0.0322253,38.2774,5.83743,3
loco_onek1k,onek1k,3,0.2804,0.0256356,42.2132,18.963,3
loco_onek1k,onek1k,4,0.270277,0.0394793,43.1599,19.9208,3
loco_onek1k,onek1k,5,0.257193,0.022185,36.5283,22.0362,3
loco_onek1k,onek1k,6,0.233549,0.0481075,37.9819,12.1604,3
loco_onek1k,onek1k,7,0.251475,0.031338,30.2301,16.6651,3
loco_onek1k,onek1k,8,0.253999,0.0259276,25.5303,11.2982,3
loco_onek1k,onek1k,9,0.257425,0.0281715,25.3381,11.8547,3
loco_onek1k,onek1k,10,0.226634,0.0253959,25.634,10.1183,3
loco_onek1k,onek1k,11,0.18438,0.0847282,23.9761,11.3902,3
loco_onek1k,onek1k,12,0.241095,0.0381351,18.3977,4.09895,3
loco_terekhova,terekhova,0,0.212606,0.0541939,14.1071,0.164766,3
loco_terekhova,terekhova,1,0.262114,0.0566272,14.1872,0.486089,3
loco_terekhova,terekhova,2,0.29146,0.0401317,13.9769,0.436737,3
loco_terekhova,terekhova,3,0.234875,0.0370533,14.1608,0.315341,3
loco_terekhova,terekhova,4,0.174663,0.0442059,14.647,0.499414,3
loco_terekhova,terekhova,5,0.198506,0.0447525,14.3295,0.679249,3
loco_terekhova,terekhova,6,0.185119,0.0516246,14.5929,0.68782,3
loco_terekhova,terekhova,7,0.197444,0.0733431,13.7798,0.369451,3
loco_terekhova,terekhova,8,0.217153,0.048384,14.072,0.653504,3
loco_terekhova,terekhova,9,0.222736,0.0488939,13.7994,0.613934,3
loco_terekhova,terekhova,10,0.210018,0.0221537,13.8845,0.423791,3
loco_terekhova,terekhova,11,0.211077,0.0430043,14.7603,1.57992,3
loco_terekhova,terekhova,12,0.212331,0.037571,14.3547,0.894732,3
