fold,eval_cohort,cell_type,seed,layer,alpha,pearson_r,mae_y,n_train,n_eval
loco_onek1k,onek1k,NK,0,0,0.01,0.177859,11.3268,195,981
loco_onek1k,aida,NK,0,0,0.01,0.0790353,17.5308,195,306
loco_onek1k,onek1k,NK,0,1,0.1,0.163406,11.9215,195,981
loco_onek1k,aida,NK,0,1,0.1,0.149483,16.5069,195,306
loco_onek1k,onek1k,NK,0,2,0.1,0.114819,32.5453,195,981
loco_onek1k,aida,NK,0,2,0.1,0.0843382,16.5634,195,306
loco_onek1k,onek1k,NK,0,3,0.1,0.304463,62.2845,195,981
loco_onek1k,aida,NK,0,3,0.1,0.140439,14.5397,195,306
loco_onek1k,onek1k,NK,0,4,0.1,0.277518,65.9763,195,981
loco_onek1k,aida,NK,0,4,0.1,0.0820652,11.2545,195,306
loco_onek1k,onek1k,NK,0,5,0.1,0.251824,61.7222,195,981
loco_onek1k,aida,NK,0,5,0.1,0.16853,13.2992,195,306
loco_onek1k,onek1k,NK,0,6,0.1,0.205743,47.1754,195,981
loco_onek1k,aida,NK,0,6,0.1,0.138513,14.1277,195,306
loco_onek1k,onek1k,NK,0,7,0.1,0.245076,44.6693,195,981
loco_onek1k,aida,NK,0,7,0.1,0.0448776,14.2897,195,306
loco_onek1k,onek1k,NK,0,8,0.1,0.250642,31.5843,195,981
loco_onek1k,aida,NK,0,8,0.1,0.0863815,15.1811,195,306
loco_onek1k,onek1k,NK,0,9,0.1,0.263455,30.6976,195,981
loco_onek1k,aida,NK,0,9,0.1,0.0444951,13.8032,195,306
loco_onek1k,onek1k,NK,0,10,0.1,0.252051,21.1719,195,981
loco_onek1k,aida,NK,0,10,0.1,0.0132785,13.7143,195,306
loco_onek1k,onek1k,NK,0,11,0.1,0.250993,17.4349,195,981
loco_onek1k,aida,NK,0,11,0.1,-0.0523312,15.707,195,306
loco_onek1k,onek1k,NK,0,12,1,0.260169,14.1272,195,981
loco_onek1k,aida,NK,0,12,1,0.0472254,14.8806,195,306
loco_onek1k,onek1k,NK,1,0,0.1,0.123023,23.335,195,981
loco_onek1k,aida,NK,1,0,0.1,0.205791,12.4208,195,306
loco_onek1k,onek1k,NK,1,1,0.1,0.116681,40.5824,195,981
loco_onek1k,aida,NK,1,1,0.1,0.25242,14.6173,195,306
loco_onek1k,onek1k,NK,1,2,1,0.12222,38.072,195,981
loco_onek1k,aida,NK,1,2,1,0.195661,15.1366,195,306
loco_onek1k,onek1k,NK,1,3,1,0.253438,39.757,195,981
loco_onek1k,aida,NK,1,3,1,0.294487,15.4698,195,306
loco_onek1k,onek1k,NK,1,4,1,0.227678,29.223,195,981
loco_onek1k,aida,NK,1,4,1,0.279637,16.2878,195,306
loco_onek1k,onek1k,NK,1,5,1,0.238185,27.0204,195,981
loco_onek1k,aida,NK,1,5,1,0.293177,14.7418,195,306
loco_onek1k,onek1k,NK,1,6,0.1,0.205805,42.5767,195,981
loco_onek1k,aida,NK,1,6,0.1,0.353995,25.1688,195,306
loco_onek1k,onek1k,NK,1,7,0.1,0.22383,34.0268,195,981
loco_onek1k,aida,NK,1,7,0.1,0.348027,28.5899,195,306
loco_onek1k,onek1k,NK,1,8,0.1,0.229914,32.5114,195,981
loco_onek1k,aida,NK,1,8,0.1,0.329972,25.2204,195,306
loco_onek1k,onek1k,NK,1,9,0.1,0.226727,33.5666,195,981
loco_onek1k,aida,NK,1,9,0.1,0.34116,22.9027,195,306
loco_onek1k,onek1k,NK,1,10,0.1,0.20126,37.2165,195,981
loco_onek1k,aida,NK,1,10,0.1,0.360428,22.7334,195,306
loco_onek1k,onek1k,NK,1,11,0.1,0.0890182,37.1283,195,981
loco_onek1k,aida,NK,1,11,0.1,0.341232,22.7037,195,306
loco_onek1k,onek1k,NK,1,12,1,0.197186,22.3003,195,981
loco_onek1k,aida,NK,1,12,1,0.243269,15.4253,195,306
loco_onek1k,onek1k,NK,2,0,0.01,0.106751,10.9134,195,981
loco_onek1k,aida,NK,2,0,0.01,0.208122,14.3293,195,306
loco_onek1k,onek1k,NK,2,1,0.1,0.186903,14.5041,195,981
loco_onek1k,aida,NK,2,1,0.1,0.228824,13.7284,195,306
loco_onek1k,onek1k,NK,2,2,0.1,0.173966,44.2148,195,981
loco_onek1k,aida,NK,2,2,0.1,0.249904,22.99,195,306
loco_onek1k,onek1k,NK,2,3,1,0.283299,24.5979,195,981
loco_onek1k,aida,NK,2,3,1,0.158657,17.2089,195,306
loco_onek1k,onek1k,NK,2,4,0.1,0.305635,34.2804,195,981
loco_onek1k,aida,NK,2,4,0.1,0.2126,30.801,195,306
loco_onek1k,onek1k,NK,2,5,1,0.28157,20.8422,195,981
loco_onek1k,aida,NK,2,5,1,0.183406,14.6649,195,306
loco_onek1k,onek1k,NK,2,6,0.1,0.289099,24.1935,195,981
loco_onek1k,aida,NK,2,6,0.1,0.171545,24.4716,195,306
loco_onek1k,onek1k,NK,2,7,0.1,0.285518,11.9942,195,981
loco_onek1k,aida,NK,2,7,0.1,0.196838,25.0097,195,306
loco_onek1k,onek1k,NK,2,8,0.1,0.281442,12.4953,195,981
loco_onek1k,aida,NK,2,8,0.1,0.181766,24.9018,195,306
