fold,cell_type,eval_cohort,gene_en_R,gene_en_MAE,gf_pc_best_layer,gf_pc_R,gf_pc_MAE,gf_pb_best_layer,gf_pb_R,gf_pb_MAE,scf_R,scf_MAE
loco_onek1k,CD4+ T,onek1k,0.6118,14.1883,12.0000,0.5603,16.5173,1,0.4594,10.2549,0.4752,12.7868
loco_onek1k,CD4+ T,aida,0.6156,6.4210,12.0000,0.5275,11.7569,4,0.6233,17.6094,0.4417,20.9187
loco_terekhova,CD4+ T,terekhova,0.7757,10.5241,5.0000,0.6209,18.2364,1,0.6876,11.3440,0.5194,17.9079
loco_terekhova,CD4+ T,aida,0.6507,6.6647,,,,2,0.6306,12.2257,0.5650,9.4554
loco_onek1k,NK,onek1k,0.3661,19.0756,3.0000,0.3045,62.2845,3,0.3177,19.3663,0.1524,18.4338
loco_onek1k,NK,aida,0.2363,12.2437,5.0000,0.1685,13.2992,0,0.0908,12.0214,0.3114,21.9004
loco_terekhova,NK,terekhova,0.4216,12.9512,2.0000,0.2659,14.4117,2,0.3247,13.5742,,
loco_terekhova,NK,aida,0.2444,16.0169,,,,3,0.2758,11.1474,,
loco_onek1k,B,onek1k,0.1358,15.7000,7.0000,0.0377,25.1470,11,0.1985,43.9865,-0.0493,19.3170
loco_onek1k,B,aida,0.1263,11.7691,11.0000,0.1201,20.6630,10,0.1539,10.9303,0.0306,25.2244
loco_terekhova,B,terekhova,0.3210,15.0709,9.0000,0.2278,14.8222,2,0.2503,15.4474,0.1215,15.4158
loco_terekhova,B,aida,0.1683,16.5143,,,,3,0.2443,15.1517,,
