seed,layer,alpha,onek1k_r,onek1k_r_ci_lo,onek1k_r_ci_hi,onek1k_mae,onek1k_mae_ci_lo,onek1k_mae_ci_hi,aida_r,aida_r_ci_lo,aida_r_ci_hi,aida_mae,aida_mae_ci_lo,aida_mae_ci_hi
0,0,0.01,0.342238,0.283834,0.399843,28.4718,27.4914,29.824,0.316525,0.220627,0.412887,10.7919,9.24805,11.5012
0,1,0.1,0.517632,0.472107,0.562721,26.2687,25.0791,27.1548,0.495221,0.415867,0.568524,8.71978,7.34386,9.93884
0,2,1,0.541717,0.49975,0.584605,17.7654,16.7754,18.8606,0.494342,0.417954,0.568823,10.1869,8.8835,11.3765
0,3,1,0.569929,0.527027,0.611158,9.96185,9.21295,10.5641,0.491864,0.410764,0.567099,12.1867,10.6619,14.167
0,4,1,0.552428,0.508726,0.597264,13.2273,12.2362,13.9302,0.477084,0.392115,0.558894,10.0517,8.93509,11.4183
0,5,1,0.625181,0.581967,0.663827,11.6782,11.022,12.4747,0.476425,0.394433,0.561486,9.01205,7.89911,9.96433
0,6,1,0.638061,0.594674,0.675522,8.57401,7.96404,9.26876,0.505364,0.422292,0.587858,8.26618,7.31676,9.20415
0,7,1,0.638944,0.596917,0.676719,9.96346,9.47633,10.529,0.465107,0.378953,0.550839,8.57138,7.4987,10.4056
0,8,1,0.632812,0.589386,0.669331,17.549,16.8165,18.2559,0.548872,0.472098,0.620139,8.23354,7.24392,9.35504
0,9,1,0.627939,0.582718,0.66582,15.8724,15.2202,16.4564,0.516928,0.439707,0.59229,8.28793,7.50955,9.11057
0,10,1,0.635698,0.592789,0.673346,14.1769,13.5441,14.9644,0.54351,0.468769,0.614956,8.22441,7.32575,9.26327
0,11,1,0.61578,0.56988,0.654454,15.6532,15.0884,16.346,0.595632,0.525816,0.661914,7.82207,6.91705,8.97291
0,12,10,0.63058,0.585414,0.668384,8.21262,7.37511,8.77377,0.610571,0.54193,0.673523,7.84493,7.10707,8.50807
1,0,0.01,0.342238,0.283834,0.399843,28.4718,27.4914,29.824,0.316525,0.220627,0.412887,10.7919,9.24805,11.5012
1,1,0.1,0.498146,0.450678,0.545808,30.382,29.166,31.3318,0.472125,0.391464,0.547647,8.82243,7.31429,9.91566
1,2,1,0.518208,0.473306,0.562379,24.5314,23.7165,25.5237,0.454827,0.374661,0.535965,9.49263,8.23819,10.6019
1,3,1,0.557107,0.512673,0.600764,17.8797,17.088,18.9855,0.493433,0.414007,0.570761,8.35001,7.46415,9.62055
1,4,1,0.541129,0.493765,0.585527,20.9455,19.8614,21.8926,0.497163,0.409753,0.580104,8.10486,7.01226,9.16181
1,5,1,0.617459,0.573897,0.657832,16.937,16.0528,17.7327,0.498669,0.418729,0.579541,8.17791,7.20271,9.19022
1,6,1,0.635361,0.591079,0.673944,12.9371,12.0227,13.7248,0.550708,0.471932,0.6238,8.15162,7.2776,8.91807
1,7,1,0.627952,0.584857,0.668454,14.4276,13.4883,15.0973,0.513581,0.431418,0.594591,8.30162,6.9894,9.0875
1,8,1,0.621473,0.577724,0.661985,19.4424,18.7069,20.2475,0.527365,0.449392,0.604798,7.79275,7.17943,9.31867
1,9,1,0.620172,0.57615,0.660966,19.312,18.3828,19.8951,0.490395,0.406904,0.573963,8.27409,7.4786,10.0253
1,10,1,0.62505,0.581413,0.665432,16.9357,16.0605,17.8901,0.520109,0.438984,0.597671,8.24513,7.32894,9.46242
1,11,1,0.62722,0.583737,0.666122,19.3835,18.5071,20.0553,0.531556,0.453527,0.60693,8.42645,7.37543,9.6365
1,12,10,0.629211,0.585556,0.668289,14.8276,13.7525,15.6735,0.546443,0.46501,0.621224,8.56732,7.17153,9.40615
2,0,0.01,0.342238,0.283834,0.399843,28.4718,27.4914,29.824,0.316525,0.220627,0.412887,10.7919,9.24805,11.5012
2,1,0.1,0.514762,0.468389,0.560649,27.5477,26.5943,28.6478,0.475079,0.393701,0.549205,9.22739,7.74242,10.2857
2,2,1,0.536267,0.491254,0.578462,20.2959,19.2925,21.2831,0.459801,0.378894,0.539443,11.475,9.93474,12.6182
2,3,1,0.568899,0.524796,0.611466,10.9932,10.4515,11.6425,0.475823,0.38966,0.557414,11.709,10.4129,13.9971
2,4,1,0.54627,0.501199,0.589403,14.1504,13.2523,14.8007,0.480333,0.384762,0.565598,8.99419,7.61517,10.5984
2,5,1,0.604558,0.558794,0.6456,13.7889,13.0575,14.5559,0.482326,0.400355,0.564798,9.36771,8.10973,10.7946
2,6,1,0.622547,0.57567,0.664358,11.0513,10.2259,11.6727,0.550028,0.473504,0.622972,8.31154,6.79234,9.3746
2,7,1,0.619601,0.573121,0.662145,12.8324,12.1289,13.4718,0.529298,0.450416,0.60546,8.29929,7.10942,9.20394
2,8,1,0.619517,0.572367,0.662138,13.9595,13.1895,14.7389,0.55128,0.475673,0.62214,8.22816,6.86309,9.19745
2,9,1,0.614276,0.565282,0.658054,14.4239,13.7969,15.0847,0.552314,0.47822,0.620906,8.51669,7.2644,9.63978
2,10,1,0.613648,0.565489,0.655886,13.1081,12.5986,13.7338,0.573805,0.502993,0.640859,7.75243,6.65611,8.96191
2,11,1,0.601495,0.552153,0.642991,14.9457,14.2948,15.5764,0.570551,0.498151,0.638953,7.63094,6.44449,8.5116
2,12,100,0.564717,0.512831,0.609944,10.3589,9.83151,11.2016,0.522711,0.442331,0.594387,8.53296,7.69452,9.19313
