method,fold,cell_type,seed,layer,n_bootstraps,wins,win_rate,mean_cv_R,std_cv_R,kfold_cv_pick_d37,oracle_pick_d37,top1_layer,top1_win_rate,top2_layer,top2_win_rate,stability
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,0,200,0,0.0000,0.1721,0.0718,4,12,12,0.8450,2,0.1550,robust
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,1,200,0,0.0000,0.4177,0.0547,4,12,12,0.8450,2,0.1550,robust
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,2,200,31,0.1550,0.4829,0.0505,4,12,12,0.8450,2,0.1550,robust
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,3,200,0,0.0000,0.4567,0.0504,4,12,12,0.8450,2,0.1550,robust
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,4,200,0,0.0000,0.4261,0.0515,4,12,12,0.8450,2,0.1550,robust
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,5,200,0,0.0000,0.4059,0.0522,4,12,12,0.8450,2,0.1550,robust
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,6,200,0,0.0000,0.3622,0.0547,4,12,12,0.8450,2,0.1550,robust
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,7,200,0,0.0000,0.3391,0.0566,4,12,12,0.8450,2,0.1550,robust
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,8,200,0,0.0000,0.3107,0.0564,4,12,12,0.8450,2,0.1550,robust
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,9,200,0,0.0000,0.2890,0.0580,4,12,12,0.8450,2,0.1550,robust
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,10,200,0,0.0000,0.2834,0.0600,4,12,12,0.8450,2,0.1550,robust
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,11,200,0,0.0000,0.2751,0.0597,4,12,12,0.8450,2,0.1550,robust
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,12,200,169,0.8450,0.5002,0.0487,4,12,12,0.8450,2,0.1550,robust
geneformer_frozen_seed0,loco_onek1k,B,0,0,200,0,0.0000,0.1471,0.0747,7,7,12,0.5600,2,0.2350,moderate
geneformer_frozen_seed0,loco_onek1k,B,0,1,200,2,0.0100,0.2776,0.0637,7,7,12,0.5600,2,0.2350,moderate
geneformer_frozen_seed0,loco_onek1k,B,0,2,200,47,0.2350,0.3309,0.0636,7,7,12,0.5600,2,0.2350,moderate
geneformer_frozen_seed0,loco_onek1k,B,0,3,200,31,0.1550,0.3266,0.0626,7,7,12,0.5600,2,0.2350,moderate
geneformer_frozen_seed0,loco_onek1k,B,0,4,200,6,0.0300,0.3199,0.0631,7,7,12,0.5600,2,0.2350,moderate
geneformer_frozen_seed0,loco_onek1k,B,0,5,200,2,0.0100,0.3138,0.0632,7,7,12,0.5600,2,0.2350,moderate
geneformer_frozen_seed0,loco_onek1k,B,0,6,200,0,0.0000,0.3037,0.0634,7,7,12,0.5600,2,0.2350,moderate
geneformer_frozen_seed0,loco_onek1k,B,0,7,200,0,0.0000,0.2859,0.0623,7,7,12,0.5600,2,0.2350,moderate
geneformer_frozen_seed0,loco_onek1k,B,0,8,200,0,0.0000,0.2730,0.0608,7,7,12,0.5600,2,0.2350,moderate
geneformer_frozen_seed0,loco_onek1k,B,0,9,200,0,0.0000,0.2555,0.0604,7,7,12,0.5600,2,0.2350,moderate
geneformer_frozen_seed0,loco_onek1k,B,0,10,200,0,0.0000,0.2457,0.0608,7,7,12,0.5600,2,0.2350,moderate
geneformer_frozen_seed0,loco_onek1k,B,0,11,200,0,0.0000,0.2523,0.0604,7,7,12,0.5600,2,0.2350,moderate
geneformer_frozen_seed0,loco_onek1k,B,0,12,200,112,0.5600,0.3456,0.0594,7,7,12,0.5600,2,0.2350,moderate
geneformer_frozen_seed0,loco_onek1k,NK,0,0,200,0,0.0000,0.1572,0.0758,0,3,3,0.3700,2,0.3450,noisy
geneformer_frozen_seed0,loco_onek1k,NK,0,1,200,0,0.0000,0.2926,0.0607,0,3,3,0.3700,2,0.3450,noisy
geneformer_frozen_seed0,loco_onek1k,NK,0,2,200,69,0.3450,0.3571,0.0605,0,3,3,0.3700,2,0.3450,noisy
geneformer_frozen_seed0,loco_onek1k,NK,0,3,200,74,0.3700,0.3598,0.0621,0,3,3,0.3700,2,0.3450,noisy
geneformer_frozen_seed0,loco_onek1k,NK,0,4,200,1,0.0050,0.3356,0.0630,0,3,3,0.3700,2,0.3450,noisy
geneformer_frozen_seed0,loco_onek1k,NK,0,5,200,1,0.0050,0.3364,0.0649,0,3,3,0.3700,2,0.3450,noisy
geneformer_frozen_seed0,loco_onek1k,NK,0,6,200,0,0.0000,0.3111,0.0651,0,3,3,0.3700,2,0.3450,noisy
geneformer_frozen_seed0,loco_onek1k,NK,0,7,200,0,0.0000,0.2985,0.0653,0,3,3,0.3700,2,0.3450,noisy
geneformer_frozen_seed0,loco_onek1k,NK,0,8,200,0,0.0000,0.2783,0.0650,0,3,3,0.3700,2,0.3450,noisy
geneformer_frozen_seed0,loco_onek1k,NK,0,9,200,0,0.0000,0.2596,0.0649,0,3,3,0.3700,2,0.3450,noisy
geneformer_frozen_seed0,loco_onek1k,NK,0,10,200,0,0.0000,0.2548,0.0646,0,3,3,0.3700,2,0.3450,noisy
geneformer_frozen_seed0,loco_onek1k,NK,0,11,200,0,0.0000,0.2595,0.0638,0,3,3,0.3700,2,0.3450,noisy
geneformer_frozen_seed0,loco_onek1k,NK,0,12,200,55,0.2750,0.3533,0.0642,0,3,3,0.3700,2,0.3450,noisy
