method_base,fold,cell_type,n_seeds,K,L_top_R,mean_R_top,sd_R_top,R_threshold,band_R_layers,band_R_width,L_top_MAE,mean_MAE_top,sd_MAE_top,MAE_threshold,band_MAE_layers,band_MAE_width,L_top_aida_R,mean_aida_R_top,sd_aida_R_top,aida_R_threshold,band_aida_R_layers,band_aida_R_width
geneformer_frozen,loco_onek1k,NK,3,1.0000,3,0.2804,0.0256,0.2548,"[3, 4, 5, 9]",4,0,15.1917,7.0553,22.2470,"[0, 12]",2,6.0000,0.2214,0.1161,0.1053,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",13.0000
geneformer_frozen,loco_onek1k,NK,3,1.5000,3,0.2804,0.0256,0.2419,"[3, 4, 5, 7, 8, 9]",6,0,15.1917,7.0553,25.7747,"[0, 1, 8, 9, 10, 11, 12]",7,6.0000,0.2214,0.1161,0.0473,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",13.0000
geneformer_frozen,loco_onek1k,NK,3,2.0000,3,0.2804,0.0256,0.2291,"[3, 4, 5, 6, 7, 8, 9, 12]",8,0,15.1917,7.0553,29.3024,"[0, 1, 8, 9, 10, 11, 12]",7,6.0000,0.2214,0.1161,-0.0108,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",13.0000
geneformer_frozen,loco_terekhova,NK,3,1.0000,2,0.2915,0.0401,0.2513,"[1, 2]",2,7,13.7798,0.3695,14.1492,"[0, 2, 7, 8, 9, 10]",6,,,,,,
geneformer_frozen,loco_terekhova,NK,3,1.5000,2,0.2915,0.0401,0.2313,"[1, 2, 3]",3,7,13.7798,0.3695,14.3339,"[0, 1, 2, 3, 5, 7, 8, 9, 10]",9,,,,,,
geneformer_frozen,loco_terekhova,NK,3,2.0000,2,0.2915,0.0401,0.2112,"[0, 1, 2, 3, 8, 9, 12]",7,7,13.7798,0.3695,14.5187,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 12]",10,,,,,,
geneformer_rank16,loco_onek1k,CD4+ T,3,1.0000,6,0.6320,0.0083,0.6237,"[6, 7, 8, 10]",4,6,10.8541,2.1882,13.0424,"[3, 6, 7, 12]",4,11.0000,0.5659,0.0323,0.5336,"[6, 8, 10, 11, 12]",5.0000
geneformer_rank16,loco_onek1k,CD4+ T,3,1.5000,6,0.6320,0.0083,0.6196,"[6, 7, 8, 9, 10]",5,6,10.8541,2.1882,14.1365,"[3, 5, 6, 7, 12]",5,11.0000,0.5659,0.0323,0.5175,"[6, 8, 9, 10, 11, 12]",6.0000
geneformer_rank16,loco_onek1k,CD4+ T,3,2.0000,6,0.6320,0.0083,0.6154,"[5, 6, 7, 8, 9, 10]",6,6,10.8541,2.1882,15.2306,"[3, 5, 6, 7, 10, 12]",6,11.0000,0.5659,0.0323,0.5013,"[6, 7, 8, 9, 10, 11, 12]",7.0000
geneformer_rank32,loco_onek1k,CD4+ T,3,1.0000,12,0.6332,0.0134,0.6198,"[10, 12]",2,12,12.2017,1.2091,13.4108,[12],1,11.0000,0.6122,0.0191,0.5930,"[9, 10, 11, 12]",4.0000
geneformer_rank32,loco_onek1k,CD4+ T,3,1.5000,12,0.6332,0.0134,0.6132,"[6, 10, 12]",3,12,12.2017,1.2091,14.0153,[12],1,11.0000,0.6122,0.0191,0.5835,"[8, 9, 10, 11, 12]",5.0000
geneformer_rank32,loco_onek1k,CD4+ T,3,2.0000,12,0.6332,0.0134,0.6065,"[6, 10, 12]",3,12,12.2017,1.2091,14.6198,[12],1,11.0000,0.6122,0.0191,0.5739,"[8, 9, 10, 11, 12]",5.0000
