cap,fold,layer,holdout_R,holdout_MAE,aida_R,aida_MAE
5,loco_onek1k,0,0.1411,17.9479,0.1853,11.2452
5,loco_onek1k,1,0.2810,20.3915,0.2145,10.9315
5,loco_onek1k,2,0.2916,32.1718,0.2718,12.6514
5,loco_onek1k,3,0.2913,16.7831,0.2188,15.8529
5,loco_onek1k,4,0.2762,16.4896,0.2239,15.5054
5,loco_onek1k,5,0.2924,22.3835,0.2474,13.6369
5,loco_onek1k,6,0.2400,33.1787,0.3107,16.7405
5,loco_onek1k,7,0.2300,32.5424,0.3828,15.9864
5,loco_onek1k,8,0.2196,20.4779,0.3086,15.0085
5,loco_onek1k,9,0.2416,17.1381,0.3192,14.5718
5,loco_onek1k,10,0.2248,21.3779,0.2863,10.8841
5,loco_onek1k,11,0.1846,24.3737,0.1917,10.3825
5,loco_onek1k,12,0.2516,18.8836,0.3631,11.6442
5,loco_terekhova,0,0.2369,14.8224,,
5,loco_terekhova,1,0.4273,12.4902,,
5,loco_terekhova,2,0.3694,13.1563,,
5,loco_terekhova,3,0.3752,13.5468,,
5,loco_terekhova,4,0.3748,12.5379,,
5,loco_terekhova,5,0.4503,11.7461,,
5,loco_terekhova,6,0.4144,12.9596,,
5,loco_terekhova,7,0.3440,13.2662,,
5,loco_terekhova,8,0.3604,13.1019,,
5,loco_terekhova,9,0.3669,13.6487,,
5,loco_terekhova,10,0.3496,14.0035,,
5,loco_terekhova,11,0.3499,13.6755,,
5,loco_terekhova,12,0.4102,32.0718,,
20,loco_onek1k,0,0.3422,28.4718,0.3165,10.7919
20,loco_onek1k,1,0.4997,27.8624,0.4666,9.2152
20,loco_onek1k,2,0.4560,37.3181,0.4403,8.9283
20,loco_onek1k,3,0.5173,37.3663,0.3361,9.7208
20,loco_onek1k,4,0.4748,53.8553,0.3762,9.5384
20,loco_onek1k,5,0.4924,47.1479,0.4684,9.3542
20,loco_onek1k,6,0.5063,36.7058,0.4607,9.1198
20,loco_onek1k,7,0.4679,30.8099,0.3903,12.4104
20,loco_onek1k,8,0.4490,24.2898,0.4272,12.9234
20,loco_onek1k,9,0.4467,22.2811,0.4656,13.0906
20,loco_onek1k,10,0.4750,19.9779,0.4837,11.0466
20,loco_onek1k,11,0.4485,15.2438,0.4402,9.9377
20,loco_onek1k,12,0.5603,16.5173,0.5275,11.7569
20,loco_terekhova,0,0.5256,12.1523,,
20,loco_terekhova,1,0.6161,8.8248,,
20,loco_terekhova,2,0.5975,9.6401,,
20,loco_terekhova,3,0.5602,10.6041,,
20,loco_terekhova,4,0.5823,16.9321,,
20,loco_terekhova,5,0.6209,18.2364,,
20,loco_terekhova,6,0.6124,18.6001,,
20,loco_terekhova,7,0.5595,10.8547,,
20,loco_terekhova,8,0.5302,11.1114,,
20,loco_terekhova,9,0.5326,10.0453,,
20,loco_terekhova,10,0.5321,10.2953,,
20,loco_terekhova,11,0.5466,11.6747,,
20,loco_terekhova,12,0.5764,24.0269,,
100,loco_onek1k,0,0.5813,8.6318,0.4195,13.0121
100,loco_onek1k,1,0.6565,62.5552,0.6066,8.2299
100,loco_onek1k,2,0.6874,13.7947,0.7062,7.4438
100,loco_onek1k,3,0.6535,28.5611,0.7007,9.6244
100,loco_onek1k,4,0.6031,25.1366,0.6875,13.8904
100,loco_onek1k,5,0.5188,30.9420,0.6676,13.8318
100,loco_onek1k,6,0.6315,18.3607,0.6904,12.9623
100,loco_onek1k,7,0.5997,11.6696,0.6850,8.8455
100,loco_onek1k,8,0.6385,35.1727,0.6897,9.1798
100,loco_onek1k,9,0.6522,16.5654,0.6684,10.5647
100,loco_onek1k,10,0.6560,11.4189,0.6751,8.5345
100,loco_onek1k,11,0.5949,37.1429,0.5383,7.7001
100,loco_onek1k,12,0.6642,9.5827,0.6642,11.2111
100,loco_terekhova,0,0.6949,11.9595,,
100,loco_terekhova,1,0.7486,8.3889,,
100,loco_terekhova,2,0.7428,8.3115,,
100,loco_terekhova,3,0.5992,13.9363,,
100,loco_terekhova,4,0.6464,9.1543,,
100,loco_terekhova,5,0.6149,34.3056,,
100,loco_terekhova,6,0.6291,9.4132,,
100,loco_terekhova,7,0.7165,21.1670,,
100,loco_terekhova,8,0.6730,8.6533,,
100,loco_terekhova,9,0.7463,12.3915,,
100,loco_terekhova,10,0.6896,9.4585,,
100,loco_terekhova,11,0.7301,36.8057,,
100,loco_terekhova,12,0.7443,39.3112,,
