method,fold,cell_type,seed,layer,cca_train_R,ols_holdout_R,ridge_holdout_R,ols_aida_R,ridge_aida_R
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,0,1.0000,,0.3370,,0.2968
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,1,1.0000,,0.4687,,0.4422
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,2,1.0000,,0.4530,,0.4875
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,3,1.0000,,0.4683,,0.2689
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,4,1.0000,,0.4520,,0.3872
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,5,1.0000,,0.4705,,0.4490
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,6,1.0000,,0.4622,,0.4732
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,7,1.0000,,0.4350,,0.3901
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,8,1.0000,,0.4309,,0.4117
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,9,1.0000,,0.4542,,0.5063
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,10,1.0000,,0.4644,,0.5234
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,11,1.0000,,0.4187,,0.5070
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,12,1.0000,,0.5351,,0.5837
geneformer_frozen_seed0,loco_onek1k,B,0,0,1.0000,,-0.1040,,0.1188
geneformer_frozen_seed0,loco_onek1k,B,0,1,1.0000,,-0.0606,,0.0863
geneformer_frozen_seed0,loco_onek1k,B,0,2,1.0000,,-0.0078,,0.0658
geneformer_frozen_seed0,loco_onek1k,B,0,3,1.0000,,-0.0716,,0.0339
geneformer_frozen_seed0,loco_onek1k,B,0,4,1.0000,,-0.0429,,0.0732
geneformer_frozen_seed0,loco_onek1k,B,0,5,1.0000,,0.0388,,0.0618
geneformer_frozen_seed0,loco_onek1k,B,0,6,1.0000,,0.0548,,0.0635
geneformer_frozen_seed0,loco_onek1k,B,0,7,1.0000,,-0.0127,,0.0421
geneformer_frozen_seed0,loco_onek1k,B,0,8,1.0000,,0.0111,,0.0021
geneformer_frozen_seed0,loco_onek1k,B,0,9,1.0000,,0.0055,,0.0183
geneformer_frozen_seed0,loco_onek1k,B,0,10,1.0000,,-0.0246,,0.0490
geneformer_frozen_seed0,loco_onek1k,B,0,11,1.0000,,0.0097,,0.0759
geneformer_frozen_seed0,loco_onek1k,B,0,12,1.0000,,0.0247,,0.0384
geneformer_frozen_seed0,loco_onek1k,NK,0,0,1.0000,,0.1234,,0.0351
geneformer_frozen_seed0,loco_onek1k,NK,0,1,1.0000,,0.2047,,0.1629
