method,fold,cell_type,seed,layer,k_pc,R_full,MAE_full,R_residual,MAE_residual,deltaR_holdout,R_aida_full,R_aida_residual,deltaR_aida
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,0,5,0.3422,28.4714,0.3565,20.7371,0.0143,0.3165,0.3895,0.0730
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,0,10,0.3422,28.4714,0.2889,18.9089,-0.0533,0.3165,0.3147,-0.0019
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,0,25,0.3422,28.4714,0.2045,20.1381,-0.1377,0.3165,0.3752,0.0587
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,0,50,0.3422,28.4714,0.1780,19.9161,-0.1642,0.3165,0.1279,-0.1886
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,1,5,0.4997,27.8623,0.4443,17.5648,-0.0554,0.4666,0.4653,-0.0013
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,1,10,0.4997,27.8623,0.3006,20.8858,-0.1991,0.4666,0.4211,-0.0455
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,1,25,0.4997,27.8623,0.2856,20.2124,-0.2141,0.4666,0.3052,-0.1614
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,1,50,0.4997,27.8623,0.2195,19.7523,-0.2801,0.4666,0.1451,-0.3215
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,2,5,0.4560,37.3181,0.4804,26.4256,0.0244,0.4403,0.5232,0.0829
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,2,10,0.4560,37.3181,0.3150,16.3169,-0.1410,0.4403,0.5186,0.0783
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,2,25,0.4560,37.3181,0.2884,19.2329,-0.1676,0.4403,0.2190,-0.2213
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,2,50,0.4560,37.3181,0.2153,19.6959,-0.2407,0.4403,-0.0900,-0.5303
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,3,5,0.5173,37.3664,0.4838,26.8016,-0.0335,0.3361,0.4140,0.0779
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,3,10,0.5173,37.3664,0.5002,23.4704,-0.0172,0.3361,0.1869,-0.1491
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,3,25,0.5173,37.3664,0.2511,20.0709,-0.2662,0.3361,0.1042,-0.2319
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,3,50,0.5173,37.3664,0.2452,19.6954,-0.2722,0.3361,-0.0912,-0.4272
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,4,5,0.4748,53.8553,0.4645,53.4369,-0.0103,0.3762,0.3983,0.0221
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,4,10,0.4748,53.8553,0.4561,29.0133,-0.0187,0.3762,0.2370,-0.1391
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,4,25,0.4748,53.8553,0.2434,19.7342,-0.2314,0.3762,-0.0456,-0.4217
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,4,50,0.4748,53.8553,0.2306,19.9630,-0.2442,0.3762,0.0479,-0.3283
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,5,5,0.4924,47.1477,0.4644,21.4287,-0.0280,0.4684,0.4129,-0.0554
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,5,10,0.4924,47.1477,0.4371,27.3496,-0.0553,0.4684,0.1125,-0.3559
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,5,25,0.4924,47.1477,0.2385,19.4899,-0.2539,0.4684,0.2700,-0.1984
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,5,50,0.4924,47.1477,0.0110,19.6996,-0.4814,0.4684,0.1150,-0.3534
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,6,5,0.5063,36.7059,0.4709,21.2103,-0.0354,0.4607,0.4694,0.0087
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,6,10,0.5063,36.7059,0.4672,25.3391,-0.0390,0.4607,0.2548,-0.2059
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,6,25,0.5063,36.7059,0.2184,19.7170,-0.2878,0.4607,-0.0052,-0.4659
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,6,50,0.5063,36.7059,0.2453,19.5922,-0.2609,0.4607,0.0462,-0.4145
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,7,5,0.4679,30.8097,0.4372,23.0903,-0.0308,0.3903,0.4475,0.0572
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,7,10,0.4679,30.8097,0.4280,27.2733,-0.0400,0.3903,0.0326,-0.3576
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,7,25,0.4679,30.8097,0.1986,19.5696,-0.2693,0.3903,0.1842,-0.2060
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,7,50,0.4679,30.8097,0.1774,19.6502,-0.2906,0.3903,-0.1400,-0.5303
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,8,5,0.4490,24.2899,0.4330,17.3043,-0.0160,0.4272,0.4857,0.0585
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,8,10,0.4490,24.2899,0.4244,21.9417,-0.0245,0.4272,0.1388,-0.2883
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,8,25,0.4490,24.2899,0.1719,19.6693,-0.2771,0.4272,0.1710,-0.2562
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,8,50,0.4490,24.2899,0.1010,19.8212,-0.3479,0.4272,-0.0647,-0.4919
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,9,5,0.4467,22.2810,0.4467,15.9706,0.0001,0.4656,0.5378,0.0722
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,9,10,0.4467,22.2810,0.3344,23.9291,-0.1123,0.4656,0.2123,-0.2533
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,9,25,0.4467,22.2810,0.2761,19.4216,-0.1706,0.4656,0.3109,-0.1547
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,9,50,0.4467,22.2810,0.1023,19.7592,-0.3444,0.4656,-0.1257,-0.5913
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,10,5,0.4751,19.9779,0.4546,23.1426,-0.0204,0.4837,0.5199,0.0362
