layer,k_pc,cv_R,seed,fold
0,5,0.2495,0,loco_terekhova
0,10,0.1760,0,loco_terekhova
0,25,0.1041,0,loco_terekhova
0,50,0.0569,0,loco_terekhova
1,5,0.2307,0,loco_terekhova
1,10,0.1881,0,loco_terekhova
1,25,0.1249,0,loco_terekhova
1,50,0.0109,0,loco_terekhova
2,5,0.2671,0,loco_terekhova
2,10,0.2457,0,loco_terekhova
2,25,0.0787,0,loco_terekhova
2,50,0.0345,0,loco_terekhova
3,5,0.2561,0,loco_terekhova
3,10,0.2494,0,loco_terekhova
3,25,0.0161,0,loco_terekhova
3,50,0.0530,0,loco_terekhova
4,5,0.2611,0,loco_terekhova
4,10,0.2231,0,loco_terekhova
4,25,0.0274,0,loco_terekhova
4,50,0.0169,0,loco_terekhova
5,5,0.2721,0,loco_terekhova
5,10,0.2235,0,loco_terekhova
5,25,0.0200,0,loco_terekhova
5,50,0.0273,0,loco_terekhova
6,5,0.2700,0,loco_terekhova
6,10,0.2183,0,loco_terekhova
6,25,0.0302,0,loco_terekhova
6,50,0.0144,0,loco_terekhova
7,5,0.2738,0,loco_terekhova
7,10,0.2472,0,loco_terekhova
7,25,0.0888,0,loco_terekhova
7,50,0.0311,0,loco_terekhova
8,5,0.2689,0,loco_terekhova
8,10,0.2331,0,loco_terekhova
8,25,0.0824,0,loco_terekhova
8,50,-0.0257,0,loco_terekhova
9,5,0.2761,0,loco_terekhova
9,10,0.2364,0,loco_terekhova
9,25,0.0834,0,loco_terekhova
9,50,0.0201,0,loco_terekhova
10,5,0.2598,0,loco_terekhova
10,10,0.2100,0,loco_terekhova
10,25,0.0881,0,loco_terekhova
10,50,0.0617,0,loco_terekhova
11,5,0.2490,0,loco_terekhova
11,10,0.1977,0,loco_terekhova
11,25,0.1027,0,loco_terekhova
11,50,0.0495,0,loco_terekhova
12,5,0.2628,0,loco_terekhova
12,10,0.2249,0,loco_terekhova
12,25,0.1582,0,loco_terekhova
12,50,0.0583,0,loco_terekhova
0,5,0.3003,1,loco_terekhova
0,10,0.2410,1,loco_terekhova
0,25,0.1547,1,loco_terekhova
0,50,0.0893,1,loco_terekhova
1,5,0.2872,1,loco_terekhova
1,10,0.2780,1,loco_terekhova
1,25,0.1375,1,loco_terekhova
1,50,0.1062,1,loco_terekhova
2,5,0.3074,1,loco_terekhova
2,10,0.3015,1,loco_terekhova
2,25,0.0961,1,loco_terekhova
2,50,0.1331,1,loco_terekhova
3,5,0.3274,1,loco_terekhova
3,10,0.3035,1,loco_terekhova
3,25,0.1158,1,loco_terekhova
3,50,0.0940,1,loco_terekhova
4,5,0.3121,1,loco_terekhova
