cell_type,cap,fold,layer,holdout_R,holdout_MAE,aida_R,aida_MAE
NK,20,loco_onek1k,0,0.1779,11.3268,0.0790,17.5308
NK,20,loco_onek1k,1,0.1634,11.9215,0.1495,16.5069
NK,20,loco_onek1k,2,0.1148,32.5453,0.0843,16.5634
NK,20,loco_onek1k,3,0.3045,62.2845,0.1404,14.5397
NK,20,loco_onek1k,4,0.2775,65.9763,0.0821,11.2545
NK,20,loco_onek1k,5,0.2518,61.7222,0.1685,13.2992
NK,20,loco_onek1k,6,0.2057,47.1754,0.1385,14.1277
NK,20,loco_onek1k,7,0.2451,44.6693,0.0449,14.2897
NK,20,loco_onek1k,8,0.2506,31.5843,0.0864,15.1811
NK,20,loco_onek1k,9,0.2635,30.6976,0.0445,13.8032
NK,20,loco_onek1k,10,0.2521,21.1719,0.0133,13.7143
NK,20,loco_onek1k,11,0.2510,17.4349,-0.0523,15.7070
NK,20,loco_onek1k,12,0.2602,14.1272,0.0472,14.8806
NK,20,loco_terekhova,0,0.1846,14.2012,,
NK,20,loco_terekhova,1,0.2285,14.6265,,
NK,20,loco_terekhova,2,0.2659,14.4117,,
NK,20,loco_terekhova,3,0.2349,14.3600,,
NK,20,loco_terekhova,4,0.1709,14.6418,,
NK,20,loco_terekhova,5,0.1917,13.7088,,
NK,20,loco_terekhova,6,0.1738,14.5255,,
NK,20,loco_terekhova,7,0.1718,13.4017,,
NK,20,loco_terekhova,8,0.1982,13.8632,,
NK,20,loco_terekhova,9,0.2109,13.3250,,
NK,20,loco_terekhova,10,0.2138,13.6583,,
NK,20,loco_terekhova,11,0.2270,14.2595,,
NK,20,loco_terekhova,12,0.1989,15.1889,,
NK,100,loco_onek1k,0,0.3563,12.6267,0.2503,18.6539
NK,100,loco_onek1k,1,0.2716,15.8436,0.3041,39.8314
NK,100,loco_onek1k,2,0.3969,44.2230,0.3255,37.2644
NK,100,loco_onek1k,3,0.3946,66.9861,0.3384,41.4448
NK,100,loco_onek1k,4,0.3459,45.1860,0.3716,40.2816
NK,100,loco_onek1k,5,0.3522,29.1934,0.3378,35.4702
NK,100,loco_onek1k,6,0.3436,45.3275,0.3020,61.6263
NK,100,loco_onek1k,7,0.3547,11.1999,0.3064,61.8152
NK,100,loco_onek1k,8,0.3830,17.5933,0.2910,51.3811
NK,100,loco_onek1k,9,0.3803,15.3877,0.2940,50.3012
NK,100,loco_onek1k,10,0.3461,10.6762,0.2826,39.8566
NK,100,loco_onek1k,11,0.2570,26.9534,0.2207,45.1503
NK,100,loco_onek1k,12,0.3234,22.5837,0.3632,26.8059
NK,100,loco_terekhova,0,0.4523,11.7963,,
NK,100,loco_terekhova,1,0.4505,12.9633,,
NK,100,loco_terekhova,2,0.4708,11.7119,,
NK,100,loco_terekhova,3,0.1932,13.8873,,
NK,100,loco_terekhova,4,0.1742,14.4955,,
NK,100,loco_terekhova,5,0.2622,13.6483,,
NK,100,loco_terekhova,6,0.2631,13.2103,,
NK,100,loco_terekhova,7,0.2785,12.9391,,
NK,100,loco_terekhova,8,0.1737,13.3882,,
NK,100,loco_terekhova,9,0.1986,15.5771,,
NK,100,loco_terekhova,10,0.1963,18.4581,,
NK,100,loco_terekhova,11,0.2795,20.9708,,
NK,100,loco_terekhova,12,0.2558,19.4997,,
B,20,loco_onek1k,0,-0.0940,18.8435,0.1048,32.1198
B,20,loco_onek1k,1,-0.0851,19.8725,0.0495,24.1431
B,20,loco_onek1k,2,-0.0171,29.7477,0.0880,26.3731
B,20,loco_onek1k,3,-0.0459,26.1206,0.0743,21.8546
B,20,loco_onek1k,4,-0.0008,23.4191,0.0926,20.3604
B,20,loco_onek1k,5,0.0221,29.5407,0.0701,18.3865
B,20,loco_onek1k,6,0.0302,24.6541,0.0198,19.4312
