cap,seed,fold,layer,holdout_R,holdout_MAE,aida_R,aida_MAE
50,0,loco_onek1k,0,0.5531,13.6638,0.4668,13.9571
50,0,loco_onek1k,1,0.5564,30.1180,0.5774,19.5314
50,0,loco_onek1k,2,0.6125,29.1712,0.6352,6.6436
50,0,loco_onek1k,3,0.5456,38.4591,0.6264,6.3176
50,0,loco_onek1k,4,0.5160,15.1673,0.5683,20.9300
50,0,loco_onek1k,5,0.5281,34.0076,0.5967,22.9912
50,0,loco_onek1k,6,0.5973,9.0294,0.6256,24.8186
50,0,loco_onek1k,7,0.5854,9.1458,0.6287,16.2534
50,0,loco_onek1k,8,0.6173,16.0051,0.6394,15.7983
50,0,loco_onek1k,9,0.6285,10.2542,0.6277,9.3207
50,0,loco_onek1k,10,0.6054,19.6622,0.5927,16.1594
50,0,loco_onek1k,11,0.4686,46.5151,0.4007,12.0210
50,0,loco_onek1k,12,0.6292,30.9859,0.5776,11.2178
50,0,loco_terekhova,0,0.6804,9.7519,0.5991,13.4914
50,0,loco_terekhova,1,0.7286,9.4918,0.6534,8.8599
50,0,loco_terekhova,2,0.7366,9.3597,0.5685,9.2030
50,0,loco_terekhova,3,0.5819,17.3893,0.5985,23.9110
50,0,loco_terekhova,4,0.3715,15.2470,0.6198,9.1309
50,0,loco_terekhova,5,0.5264,20.8185,0.6125,27.7360
50,0,loco_terekhova,6,0.5849,31.6482,0.6351,43.3451
50,0,loco_terekhova,7,0.7194,35.0941,0.4120,50.7037
50,0,loco_terekhova,8,0.7195,18.2725,0.3724,32.4038
50,0,loco_terekhova,9,0.5777,56.7748,0.2439,58.7519
50,0,loco_terekhova,10,0.5546,64.8850,0.2940,58.5506
50,0,loco_terekhova,11,0.7059,51.6884,-0.0825,55.1124
50,0,loco_terekhova,12,0.7318,40.6829,0.6671,49.4351
50,1,loco_onek1k,0,0.4817,16.6928,0.3880,12.2572
50,1,loco_onek1k,1,0.5257,40.7637,0.5253,10.8271
50,1,loco_onek1k,2,0.5048,19.6824,0.5388,8.7684
50,1,loco_onek1k,3,0.4890,15.8385,0.5794,8.7361
50,1,loco_onek1k,4,0.4401,13.1283,0.6192,14.7466
50,1,loco_onek1k,5,0.4235,15.8502,0.6249,9.1183
50,1,loco_onek1k,6,0.4383,17.4055,0.5752,9.1110
50,1,loco_onek1k,7,0.4474,17.8562,0.5135,8.5823
50,1,loco_onek1k,8,0.4394,26.0124,0.6290,7.7436
50,1,loco_onek1k,9,0.4205,17.4408,0.6708,7.4333
50,1,loco_onek1k,10,0.4475,13.8794,0.6040,14.5092
50,1,loco_onek1k,11,0.4491,13.0557,0.5977,8.6353
50,1,loco_onek1k,12,0.4730,53.9877,0.5021,14.3981
50,1,loco_terekhova,0,0.5817,11.1764,0.5510,24.0961
50,1,loco_terekhova,1,0.6883,9.2916,0.5589,18.1671
50,1,loco_terekhova,2,0.6663,11.9931,0.5356,33.1814
50,1,loco_terekhova,3,0.6503,19.3709,0.4351,49.6571
50,1,loco_terekhova,4,0.6254,8.4069,0.6604,14.3140
50,1,loco_terekhova,5,0.7040,27.0244,0.5731,19.8718
50,1,loco_terekhova,6,0.7135,28.9153,0.5892,29.6799
50,1,loco_terekhova,7,0.6979,21.1467,0.4350,29.7771
50,1,loco_terekhova,8,0.6489,9.8102,0.4354,11.0236
50,1,loco_terekhova,9,0.6629,17.0068,0.1426,17.1344
50,1,loco_terekhova,10,0.6702,21.5746,0.0539,23.5017
50,1,loco_terekhova,11,0.6318,48.5777,-0.1242,50.6463
50,1,loco_terekhova,12,0.6371,13.4804,0.6562,9.1670
50,2,loco_onek1k,0,0.4263,14.3238,0.3583,15.2470
50,2,loco_onek1k,1,0.4890,13.5264,0.5401,24.9298
50,2,loco_onek1k,2,0.5083,32.3534,0.5919,17.6328
50,2,loco_onek1k,3,0.5312,29.4389,0.5870,11.9869
50,2,loco_onek1k,4,0.4857,50.4903,0.3923,12.1923
50,2,loco_onek1k,5,0.4926,14.7500,0.3921,16.0133
50,2,loco_onek1k,6,0.5150,16.5629,0.4216,15.0101
50,2,loco_onek1k,7,0.5135,18.1619,0.4274,14.6820
50,2,loco_onek1k,8,0.5212,23.1366,0.4888,11.7230
50,2,loco_onek1k,9,0.5199,24.8925,0.4817,10.2050
50,2,loco_onek1k,10,0.5395,31.5704,0.4193,10.6198
50,2,loco_onek1k,11,0.5572,12.6090,0.3337,11.5123
50,2,loco_onek1k,12,0.5689,39.6319,0.5553,7.3990
50,2,loco_terekhova,0,0.7100,9.3036,0.5908,23.1044
50,2,loco_terekhova,1,0.7178,8.6953,0.6212,21.7008
50,2,loco_terekhova,2,0.6946,9.4178,0.5899,19.2788
50,2,loco_terekhova,3,0.6670,10.1631,0.5919,22.6719
50,2,loco_terekhova,4,0.6515,10.6744,0.6288,9.8334
50,2,loco_terekhova,5,0.6577,11.0317,0.5666,8.9178
50,2,loco_terekhova,6,0.6540,14.4068,0.5672,23.5597
50,2,loco_terekhova,7,0.6984,14.7250,0.5230,30.2130
50,2,loco_terekhova,8,0.7043,8.9564,0.4475,13.6534
50,2,loco_terekhova,9,0.6806,11.0788,0.4817,14.2530
50,2,loco_terekhova,10,0.7072,14.1196,0.5422,11.6488
50,2,loco_terekhova,11,0.6906,16.7055,0.2629,37.6754
50,2,loco_terekhova,12,0.7133,36.6691,0.6463,35.8270
100,0,loco_onek1k,0,0.5813,8.6318,0.4195,13.0121
100,0,loco_onek1k,1,0.6565,62.5552,0.6066,8.2299
100,0,loco_onek1k,2,0.6874,13.7947,0.7062,7.4438
100,0,loco_onek1k,3,0.6535,28.5611,0.7007,9.6244
100,0,loco_onek1k,4,0.6031,25.1366,0.6875,13.8904
100,0,loco_onek1k,5,0.5188,30.9420,0.6676,13.8318
100,0,loco_onek1k,6,0.6315,18.3607,0.6904,12.9623
100,0,loco_onek1k,7,0.5997,11.6696,0.6850,8.8455
100,0,loco_onek1k,8,0.6385,35.1727,0.6897,9.1798
100,0,loco_onek1k,9,0.6522,16.5654,0.6684,10.5647
100,0,loco_onek1k,10,0.6560,11.4189,0.6751,8.5345
100,0,loco_onek1k,11,0.5949,37.1429,0.5383,7.7001
100,0,loco_onek1k,12,0.6642,9.5827,0.6642,11.2111
100,0,loco_terekhova,0,0.6949,11.9595,0.5679,18.1975
100,0,loco_terekhova,1,0.7486,8.3889,0.6390,18.1783
100,0,loco_terekhova,2,0.7428,8.3115,0.5863,17.5881
100,0,loco_terekhova,3,0.5992,13.9363,0.6480,46.1512
100,0,loco_terekhova,4,0.6464,9.1543,0.6705,13.4021
100,0,loco_terekhova,5,0.6149,34.3056,0.6178,28.2587
100,0,loco_terekhova,6,0.6291,9.4132,0.5944,19.1432
100,0,loco_terekhova,7,0.7165,21.1670,0.6072,37.5263
100,0,loco_terekhova,8,0.6730,8.6533,0.6233,13.5961
100,0,loco_terekhova,9,0.7463,12.3915,0.5392,23.3369
100,0,loco_terekhova,10,0.6896,9.4585,0.6506,6.9089
100,0,loco_terekhova,11,0.7301,36.8057,0.5676,36.8347
100,0,loco_terekhova,12,0.7443,39.3112,0.6810,45.1658
100,1,loco_onek1k,0,0.5059,13.1805,0.2893,9.1806
100,1,loco_onek1k,1,0.5017,33.6690,0.5708,21.8769
100,1,loco_onek1k,2,0.4548,51.7257,0.4757,22.8853
100,1,loco_onek1k,3,0.4195,62.3219,0.6310,23.4969
100,1,loco_onek1k,4,0.4208,76.5303,0.5543,12.7480
100,1,loco_onek1k,5,0.4431,44.7116,0.5906,16.0310
100,1,loco_onek1k,6,0.5280,19.2159,0.4474,12.3879
100,1,loco_onek1k,7,0.5213,27.0609,0.4631,10.4058
100,1,loco_onek1k,8,0.5144,14.1237,0.4753,11.9911
100,1,loco_onek1k,9,0.5058,15.4500,0.5441,8.1073
100,1,loco_onek1k,10,0.5630,10.4428,0.4437,16.8422
100,1,loco_onek1k,11,0.5441,21.8424,0.3100,11.9566
100,1,loco_onek1k,12,0.5220,74.7289,0.6361,11.5312
100,1,loco_terekhova,0,0.7042,9.6500,0.6296,8.5591
100,1,loco_terekhova,1,0.7444,8.9052,0.5681,16.7089
100,1,loco_terekhova,2,0.7294,17.8827,0.4160,23.3958
