seed,cap,fold,eval_cohort,n_train,n_eval,alpha,l1_ratio,n_nonzero_genes,R,MAE,R_ci_lo,R_ci_hi
0,50,loco_onek1k,onek1k,190,981,2.0000,0.9000,60,0.5415,17.7495,0.4959,0.5869
0,50,loco_onek1k,aida,190,293,2.0000,0.9000,60,0.5940,9.1204,0.5204,0.6553
0,50,loco_terekhova,terekhova,1005,166,1.0000,0.5000,499,0.6972,10.1262,0.6211,0.7622
0,50,loco_terekhova,aida,1005,293,1.0000,0.5000,499,0.5442,14.8226,0.4603,0.6229
0,100,loco_onek1k,onek1k,190,981,0.0100,0.5000,511,0.6118,14.1883,0.5662,0.6517
0,100,loco_onek1k,aida,190,293,0.0100,0.5000,511,0.6156,6.4210,0.5586,0.6765
0,100,loco_terekhova,terekhova,1005,166,0.5000,0.7000,470,0.7757,10.5241,0.7039,0.8304
0,100,loco_terekhova,aida,1005,293,0.5000,0.7000,470,0.6507,6.6647,0.5876,0.7156
0,500,loco_onek1k,onek1k,190,981,0.0010,0.7000,486,0.6787,17.3590,0.6403,0.7117
0,500,loco_onek1k,aida,190,293,0.0010,0.7000,486,0.7329,8.9318,0.6723,0.7839
0,500,loco_terekhova,terekhova,1005,166,0.5000,0.3000,1030,0.8483,12.7217,0.7983,0.8879
0,500,loco_terekhova,aida,1005,293,0.5000,0.3000,1030,0.7326,9.5706,0.6770,0.7860
0,1000,loco_onek1k,onek1k,190,981,0.5000,0.9000,125,0.7351,16.9133,0.6994,0.7635
0,1000,loco_onek1k,aida,190,293,0.5000,0.9000,125,0.6705,7.2304,0.6035,0.7248
0,1000,loco_terekhova,terekhova,1005,166,0.5000,0.3000,981,0.8645,6.0622,0.8223,0.8995
0,1000,loco_terekhova,aida,1005,293,0.5000,0.3000,981,0.7207,8.2934,0.6689,0.7736
1,50,loco_onek1k,onek1k,190,981,1.0000,0.9000,136,0.4778,19.4565,0.4207,0.5321
1,50,loco_onek1k,aida,190,293,1.0000,0.9000,136,0.5055,8.5149,0.4129,0.5907
1,50,loco_terekhova,terekhova,1005,166,1.0000,0.5000,496,0.7062,10.5756,0.6278,0.7821
1,50,loco_terekhova,aida,1005,293,1.0000,0.5000,496,0.5359,12.0506,0.4589,0.6103
1,100,loco_onek1k,onek1k,190,981,0.0100,0.5000,509,0.6141,19.9583,0.5763,0.6518
1,100,loco_onek1k,aida,190,293,0.0100,0.5000,509,0.6541,7.0316,0.5845,0.7125
1,100,loco_terekhova,terekhova,1005,166,0.5000,0.3000,1300,0.7011,9.0237,0.6233,0.7702
1,100,loco_terekhova,aida,1005,293,0.5000,0.3000,1300,0.6433,7.5907,0.5606,0.7151
1,500,loco_onek1k,onek1k,190,981,0.0100,0.5000,508,0.7294,12.6601,0.6980,0.7593
1,500,loco_onek1k,aida,190,293,0.0100,0.5000,508,0.6919,6.5998,0.6226,0.7537
1,500,loco_terekhova,terekhova,1005,166,0.5000,0.3000,1024,0.8405,6.0184,0.7910,0.8872
1,500,loco_terekhova,aida,1005,293,0.5000,0.3000,1024,0.7287,8.1541,0.6739,0.7766
1,1000,loco_onek1k,onek1k,190,981,0.1000,0.7000,308,0.7325,12.9696,0.6978,0.7617
1,1000,loco_onek1k,aida,190,293,0.1000,0.7000,308,0.7579,8.4229,0.7099,0.8042
1,1000,loco_terekhova,terekhova,1005,166,0.5000,0.3000,964,0.8649,5.5977,0.8272,0.9001
1,1000,loco_terekhova,aida,1005,293,0.5000,0.3000,964,0.7132,8.7272,0.6542,0.7652
2,50,loco_onek1k,onek1k,190,981,0.0100,0.3000,837,0.5687,18.5094,0.5235,0.6074
2,50,loco_onek1k,aida,190,293,0.0100,0.3000,837,0.4507,8.1701,0.3619,0.5402
2,50,loco_terekhova,terekhova,1005,166,0.5000,0.3000,1379,0.6983,10.4156,0.6248,0.7662
2,50,loco_terekhova,aida,1005,293,0.5000,0.3000,1379,0.6294,9.7089,0.5562,0.6952
2,100,loco_onek1k,onek1k,190,981,0.0100,0.7000,347,0.6281,10.7516,0.5780,0.6672
2,100,loco_onek1k,aida,190,293,0.0100,0.7000,347,0.6743,6.4865,0.6127,0.7381
2,100,loco_terekhova,terekhova,1005,166,0.5000,0.3000,1317,0.7868,7.9503,0.7226,0.8361
2,100,loco_terekhova,aida,1005,293,0.5000,0.3000,1317,0.7189,8.6293,0.6586,0.7745
2,500,loco_onek1k,onek1k,190,981,0.5000,0.9000,126,0.6934,9.5997,0.6529,0.7240
2,500,loco_onek1k,aida,190,293,0.5000,0.9000,126,0.6648,7.4128,0.6006,0.7254
2,500,loco_terekhova,terekhova,1005,166,0.5000,0.3000,992,0.8467,6.0389,0.7937,0.8846
2,500,loco_terekhova,aida,1005,293,0.5000,0.3000,992,0.7052,8.2802,0.6518,0.7602
2,1000,loco_onek1k,onek1k,190,981,0.0100,0.3000,835,0.7444,8.1834,0.7094,0.7725
2,1000,loco_onek1k,aida,190,293,0.0100,0.3000,835,0.7187,6.7613,0.6640,0.7688
2,1000,loco_terekhova,terekhova,1005,166,0.5000,0.3000,973,0.8627,6.2884,0.8181,0.8998
2,1000,loco_terekhova,aida,1005,293,0.5000,0.3000,973,0.7248,8.0343,0.6682,0.7770
