seed,cap,fold,eval_cohort,n_train,n_eval,alpha,l1_ratio,n_nonzero_genes,R,MAE,R_ci_lo,R_ci_hi
0,1,loco_onek1k,onek1k,190,981,5.0000,0.3000,380,0.0927,19.9240,0.0311,0.1540
0,1,loco_onek1k,aida,190,293,5.0000,0.3000,380,0.0567,11.5715,-0.0648,0.1824
0,1,loco_terekhova,terekhova,1005,166,2.0000,0.7000,56,0.1333,15.6745,-0.0142,0.2804
0,1,loco_terekhova,aida,1005,293,2.0000,0.7000,56,0.0100,18.3132,-0.0937,0.1190
0,5,loco_onek1k,onek1k,190,981,5.0000,0.9000,0,,19.9842,,
0,5,loco_onek1k,aida,190,293,5.0000,0.9000,0,,11.9842,,
0,5,loco_terekhova,terekhova,1005,166,2.0000,0.3000,639,0.2088,14.0201,0.0520,0.3717
0,5,loco_terekhova,aida,1005,293,2.0000,0.3000,639,0.2239,14.9945,0.1117,0.3533
1,1,loco_onek1k,onek1k,190,981,5.0000,0.7000,12,0.0486,19.7546,-0.0190,0.1086
1,1,loco_onek1k,aida,190,293,5.0000,0.7000,12,0.0106,11.1167,-0.1041,0.1199
1,1,loco_terekhova,terekhova,1005,166,2.0000,0.9000,9,-0.0378,16.0088,-0.1683,0.1297
1,1,loco_terekhova,aida,1005,293,2.0000,0.9000,9,0.0357,20.6282,-0.0719,0.1507
1,5,loco_onek1k,onek1k,190,981,0.0100,0.3000,885,0.1711,20.0362,0.1135,0.2286
1,5,loco_onek1k,aida,190,293,0.0100,0.3000,885,0.2581,11.3611,0.1486,0.3552
1,5,loco_terekhova,terekhova,1005,166,2.0000,0.3000,673,0.2916,14.7375,0.1709,0.4197
1,5,loco_terekhova,aida,1005,293,2.0000,0.3000,673,0.1983,15.5883,0.0928,0.3041
2,1,loco_onek1k,onek1k,190,981,0.0100,0.3000,929,0.0257,20.8275,-0.0284,0.0806
2,1,loco_onek1k,aida,190,293,0.0100,0.3000,929,-0.0715,10.8903,-0.1774,0.0427
2,1,loco_terekhova,terekhova,1005,166,2.0000,0.5000,198,0.0331,15.2817,-0.1078,0.1674
2,1,loco_terekhova,aida,1005,293,2.0000,0.5000,198,0.0552,14.2047,-0.0487,0.1631
2,5,loco_onek1k,onek1k,190,981,2.0000,0.5000,319,0.1211,19.5142,0.0657,0.1780
2,5,loco_onek1k,aida,190,293,2.0000,0.5000,319,0.0760,10.8758,-0.0324,0.1813
2,5,loco_terekhova,terekhova,1005,166,1.0000,0.3000,1195,0.2299,14.3979,0.1001,0.3574
2,5,loco_terekhova,aida,1005,293,1.0000,0.3000,1195,0.1936,18.2486,0.0870,0.3047
