seed,cap,fold,eval_cohort,n_train,n_eval,alpha,l1_ratio,n_nonzero_genes,R,MAE,R_ci_lo,R_ci_hi
0,10,loco_onek1k,onek1k,190,981,1.0000,0.9000,157,0.1527,20.6425,0.0867,0.2180
0,10,loco_onek1k,aida,190,293,1.0000,0.9000,157,0.1301,12.5076,0.0104,0.2423
0,10,loco_terekhova,terekhova,1005,166,1.0000,0.3000,1161,0.5297,11.3448,0.4112,0.6491
0,10,loco_terekhova,aida,1005,293,1.0000,0.3000,1161,0.3433,16.6412,0.2332,0.4393
0,20,loco_onek1k,onek1k,190,981,2.0000,0.7000,173,0.4373,19.9682,0.3841,0.4844
0,20,loco_onek1k,aida,190,293,2.0000,0.7000,173,0.3995,8.6038,0.3135,0.4802
0,20,loco_terekhova,terekhova,1005,166,1.0000,0.3000,1106,0.5261,12.0929,0.4199,0.6083
0,20,loco_terekhova,aida,1005,293,1.0000,0.3000,1106,0.4020,8.8116,0.3022,0.4969
1,10,loco_onek1k,onek1k,190,981,2.0000,0.9000,85,0.2251,20.9024,0.1675,0.2864
1,10,loco_onek1k,aida,190,293,2.0000,0.9000,85,0.3333,10.8537,0.2397,0.4211
1,10,loco_terekhova,terekhova,1005,166,1.0000,0.3000,1125,0.4436,12.6986,0.3084,0.5807
1,10,loco_terekhova,aida,1005,293,1.0000,0.3000,1125,0.3102,11.4825,0.2146,0.4044
1,20,loco_onek1k,onek1k,190,981,2.0000,0.7000,161,0.3289,18.2481,0.2649,0.3923
1,20,loco_onek1k,aida,190,293,2.0000,0.7000,161,0.3638,10.3256,0.2776,0.4457
1,20,loco_terekhova,terekhova,1005,166,1.0000,0.3000,1115,0.4798,12.0799,0.3628,0.5831
1,20,loco_terekhova,aida,1005,293,1.0000,0.3000,1115,0.3462,15.1219,0.2533,0.4382
2,10,loco_onek1k,onek1k,190,981,0.0100,0.3000,912,0.2246,20.4357,0.1637,0.2868
2,10,loco_onek1k,aida,190,293,0.0100,0.3000,912,0.2778,13.3470,0.1834,0.3635
2,10,loco_terekhova,terekhova,1005,166,1.0000,0.3000,1167,0.4174,12.5936,0.2810,0.5316
2,10,loco_terekhova,aida,1005,293,1.0000,0.3000,1167,0.3439,13.3650,0.2455,0.4268
2,20,loco_onek1k,onek1k,190,981,0.0100,0.3000,893,0.4541,15.6840,0.4084,0.5019
2,20,loco_onek1k,aida,190,293,0.0100,0.3000,893,0.3762,10.3570,0.2825,0.4689
2,20,loco_terekhova,terekhova,1005,166,1.0000,0.3000,1113,0.5892,12.8130,0.4614,0.6931
2,20,loco_terekhova,aida,1005,293,1.0000,0.3000,1113,0.3945,17.7560,0.2950,0.4924
