method,cell_type,eval_cohort,fold,layer,seed,R,MAE,ci_lo,ci_hi,n_train,n_eval,notes
gene_en_matched,CD4+ T,onek1k,loco_onek1k,,0.0000,0.6118,14.1883,0.5677,0.6528,190.0000,981.0000,ElasticNetCV top-5000 HVG StandardScaler
gene_en_matched,CD4+ T,aida,loco_onek1k,,0.0000,0.6156,6.4210,0.5456,0.6790,190.0000,293.0000,ElasticNetCV top-5000 HVG StandardScaler
gene_en_matched,CD4+ T,terekhova,loco_terekhova,,0.0000,0.7757,10.5241,0.6986,0.8373,1005.0000,166.0000,ElasticNetCV top-5000 HVG StandardScaler
gene_en_matched,CD4+ T,aida,loco_terekhova,,0.0000,0.6507,6.6647,0.5823,0.7110,1005.0000,293.0000,ElasticNetCV top-5000 HVG StandardScaler
gene_en_matched,B,onek1k,loco_onek1k,,0.0000,0.1358,15.7000,0.0762,0.1845,195.0000,981.0000,ElasticNetCV top-5000 HVG StandardScaler
gene_en_matched,B,aida,loco_onek1k,,0.0000,0.1263,11.7691,0.0199,0.2378,195.0000,307.0000,ElasticNetCV top-5000 HVG StandardScaler
gene_en_matched,B,terekhova,loco_terekhova,,0.0000,0.3210,15.0709,0.1874,0.4396,1010.0000,166.0000,ElasticNetCV top-5000 HVG StandardScaler
gene_en_matched,NK,onek1k,loco_onek1k,,0.0000,0.3661,19.0756,0.3109,0.4158,195.0000,981.0000,ElasticNetCV top-5000 HVG StandardScaler
gene_en_matched,NK,aida,loco_onek1k,,0.0000,0.2363,12.2437,0.1357,0.3313,195.0000,306.0000,ElasticNetCV top-5000 HVG StandardScaler
gene_en_matched,NK,terekhova,loco_terekhova,,0.0000,0.4216,12.9512,0.2927,0.5460,1010.0000,166.0000,ElasticNetCV top-5000 HVG StandardScaler
gene_en_matched,NK,aida,loco_terekhova,,0.0000,0.2444,16.0169,0.1415,0.3474,1010.0000,306.0000,ElasticNetCV top-5000 HVG StandardScaler
gene_en_matched,B,aida,loco_terekhova,,0.0000,0.1683,16.5143,0.0547,0.2732,1010.0000,307.0000,ElasticNetCV top-5000 HVG StandardScaler
geneformer_frozen_per_cell_ridge_best_layer,B,aida,loco_onek1k,11.0000,0.0000,0.1201,20.6630,,,195.0000,307.0000,"frozen base, best-R layer; alpha=0.1"
geneformer_frozen_per_cell_ridge_best_layer,B,onek1k,loco_onek1k,7.0000,0.0000,0.0377,25.1470,,,195.0000,981.0000,"frozen base, best-R layer; alpha=1.0"
