fold,eval_cohort,cell_type,tag,n_train_donors,n_eval_donors,alpha,mae_y,pearson_r,pearson_p,wall_s,timestamp
loco_onek1k,onek1k,CD4+ T,frozen_base,190,981,1.0,16.517349243164062,0.5602696537971497,0.0,0.0615992546081543,2026-04-28T11:32:53
loco_onek1k,aida,CD4+ T,frozen_base,190,293,1.0,11.75688934326172,0.527458131313324,2.1991791109459363e-22,0.0615992546081543,2026-04-28T11:32:53
loco_terekhova,terekhova,CD4+ T,frozen_base,1005,166,1.0,24.02685165405273,0.5764141082763672,4.4277138540281244e-16,1.1615867614746094,2026-04-28T11:32:55
loco_onek1k,onek1k,CD4+ T,frozen_base,190,981,1.0,16.517349243164062,0.5602696537971497,0.0,0.0429933071136474,2026-04-28T14:17:22
loco_onek1k,aida,CD4+ T,frozen_base,190,293,1.0,11.75688934326172,0.527458131313324,2.1991791109459363e-22,0.0429933071136474,2026-04-28T14:17:22
loco_terekhova,terekhova,CD4+ T,frozen_base,1005,166,1.0,24.02685165405273,0.5764141082763672,4.4277138540281244e-16,0.861661434173584,2026-04-28T14:17:25
loco_onek1k,onek1k,B,frozen_base,195,981,1.0,21.69081115722656,-0.0126322759315371,0.6927210688591003,0.0435757637023925,2026-04-28T14:17:26
loco_onek1k,aida,B,frozen_base,195,307,1.0,18.6934814453125,0.098590038716793,0.0846007168292999,0.0435757637023925,2026-04-28T14:17:26
loco_terekhova,terekhova,B,frozen_base,1010,166,1.0,14.019142150878906,0.1024396643042564,0.1890727579593658,1.0386857986450195,2026-04-28T14:17:28
loco_onek1k,onek1k,NK,frozen_base,195,981,1.0,14.127166748046877,0.2601687014102936,1.2178357812469572e-16,0.0437102317810058,2026-04-28T14:17:29
loco_onek1k,aida,NK,frozen_base,195,306,1.0,14.88055419921875,0.047225434333086,0.4104017615318298,0.0437102317810058,2026-04-28T14:17:29
loco_terekhova,terekhova,NK,frozen_base,1010,166,1.0,15.18890380859375,0.19887599349021912,0.010208439081907272,0.954197883605957,2026-04-28T14:17:32
