fold,eval_cohort,cell_type,layer,alpha,n_train_donors,n_eval_donors,pearson_r,pearson_p,mae_y
loco_onek1k,onek1k,CD4+ T,0,0.01,190,981,0.342238,2.43224e-28,28.4718
loco_onek1k,aida,CD4+ T,0,0.01,190,293,0.316525,3.0611e-08,10.7919
loco_onek1k,onek1k,CD4+ T,1,0.1,190,981,0.499669,0,27.8624
loco_onek1k,aida,CD4+ T,1,0.1,190,293,0.466596,3.02234e-17,9.21524
loco_onek1k,onek1k,CD4+ T,2,0.1,190,981,0.456045,0,37.3181
loco_onek1k,aida,CD4+ T,2,0.1,190,293,0.440303,2.524e-15,8.92831
loco_onek1k,onek1k,CD4+ T,3,0.1,190,981,0.517346,0,37.3663
loco_onek1k,aida,CD4+ T,3,0.1,190,293,0.336069,3.62421e-09,9.72085
loco_onek1k,onek1k,CD4+ T,4,0.1,190,981,0.474809,0,53.8553
loco_onek1k,aida,CD4+ T,4,0.1,190,293,0.376158,2.78799e-11,9.53835
loco_onek1k,onek1k,CD4+ T,5,0.1,190,981,0.492397,0,47.1479
loco_onek1k,aida,CD4+ T,5,0.1,190,293,0.468353,2.2181e-17,9.35424
loco_onek1k,onek1k,CD4+ T,6,0.1,190,981,0.50626,0,36.7058
loco_onek1k,aida,CD4+ T,6,0.1,190,293,0.460713,8.41147e-17,9.11979
loco_onek1k,onek1k,CD4+ T,7,0.1,190,981,0.467945,0,30.8099
loco_onek1k,aida,CD4+ T,7,0.1,190,293,0.390261,4.2592e-12,12.4104
loco_onek1k,onek1k,CD4+ T,8,0.1,190,981,0.44896,0,24.2898
loco_onek1k,aida,CD4+ T,8,0.1,190,293,0.427172,2.00192e-14,12.9234
loco_onek1k,onek1k,CD4+ T,9,0.1,190,981,0.446663,0,22.2811
loco_onek1k,aida,CD4+ T,9,0.1,190,293,0.465605,3.59641e-17,13.0906
loco_onek1k,onek1k,CD4+ T,10,0.1,190,981,0.47505,0,19.9779
loco_onek1k,aida,CD4+ T,10,0.1,190,293,0.483727,1.36867e-18,11.0466
loco_onek1k,onek1k,CD4+ T,11,0.1,190,981,0.448459,0,15.2438
loco_onek1k,aida,CD4+ T,11,0.1,190,293,0.440233,2.55257e-15,9.93773
loco_onek1k,onek1k,CD4+ T,12,1,190,981,0.56027,0,16.5173
loco_onek1k,aida,CD4+ T,12,1,190,293,0.527458,2.19918e-22,11.7569
loco_terekhova,terekhova,CD4+ T,0,0.1,1005,166,0.525582,3.57735e-13,12.1523
loco_terekhova,terekhova,CD4+ T,1,0.1,1005,166,0.616065,1.0064e-18,8.82478
loco_terekhova,terekhova,CD4+ T,2,1,1005,166,0.59747,1.94036e-17,9.6401
loco_terekhova,terekhova,CD4+ T,3,1,1005,166,0.560175,4.2577e-15,10.6041
loco_terekhova,terekhova,CD4+ T,4,0.1,1005,166,0.582269,1.89804e-16,16.9321
loco_terekhova,terekhova,CD4+ T,5,0.1,1005,166,0.620862,4.54269e-19,18.2364
loco_terekhova,terekhova,CD4+ T,6,0.1,1005,166,0.612386,1.83551e-18,18.6001
loco_terekhova,terekhova,CD4+ T,7,0.1,1005,166,0.559453,4.69481e-15,10.8547
loco_terekhova,terekhova,CD4+ T,8,0.1,1005,166,0.530239,2.0282e-13,11.1114
loco_terekhova,terekhova,CD4+ T,9,0.1,1005,166,0.532599,1.51621e-13,10.0453
loco_terekhova,terekhova,CD4+ T,10,0.1,1005,166,0.532122,1.60831e-13,10.2953
loco_terekhova,terekhova,CD4+ T,11,0.1,1005,166,0.546618,2.56855e-14,11.6747
loco_terekhova,terekhova,CD4+ T,12,1,1005,166,0.576414,4.42771e-16,24.0269
loco_onek1k,onek1k,B,0,0.1,195,981,-0.0940166,0.00320395,18.8435
loco_onek1k,aida,B,0,0.1,195,307,0.104821,0.066628,32.1198
loco_onek1k,onek1k,B,1,1,195,981,-0.0850867,0.00766609,19.8725
loco_onek1k,aida,B,1,1,195,307,0.049481,0.387604,24.1431
loco_onek1k,onek1k,B,2,1,195,981,-0.017112,0.592429,29.7477
loco_onek1k,aida,B,2,1,195,307,0.0880258,0.123796,26.3731
loco_onek1k,onek1k,B,3,1,195,981,-0.0458766,0.151053,26.1206
loco_onek1k,aida,B,3,1,195,307,0.074274,0.194332,21.8546
loco_onek1k,onek1k,B,4,1,195,981,-0.000843775,0.978943,23.4191
loco_onek1k,aida,B,4,1,195,307,0.0926371,0.105233,20.3604
loco_onek1k,onek1k,B,5,1,195,981,0.0221142,0.48904,29.5407
loco_onek1k,aida,B,5,1,195,307,0.0700797,0.220804,18.3865
loco_onek1k,onek1k,B,6,1,195,981,0.0301533,0.345455,24.6541
loco_onek1k,aida,B,6,1,195,307,0.0197865,0.729864,19.4312
loco_onek1k,onek1k,B,7,1,195,981,0.0376964,0.23816,25.147
