fold,tag,eval_cohort,cell_type,layer,alpha,n_train_donors,n_eval_donors,pearson_r,pearson_p,mae_y
loco_terekhova,loco_terekhova_e5b_alllayers,terekhova,CD4+ T,0,0.1,1005,166,0.525582,3.57735e-13,12.1523
loco_terekhova,loco_terekhova_e5b_alllayers,aida,CD4+ T,0,0.1,1005,293,0.436692,4.50137e-15,8.86304
loco_terekhova,loco_terekhova_e5b_alllayers,terekhova,CD4+ T,1,0.1,1005,166,0.618997,6.19964e-19,8.63458
loco_terekhova,loco_terekhova_e5b_alllayers,aida,CD4+ T,1,0.1,1005,293,0.57709,2.05411e-27,8.30869
loco_terekhova,loco_terekhova_e5b_alllayers,terekhova,CD4+ T,2,1,1005,166,0.620095,5.16427e-19,9.41231
loco_terekhova,loco_terekhova_e5b_alllayers,aida,CD4+ T,2,1,1005,293,0.595646,1.59611e-29,8.28601
loco_terekhova,loco_terekhova_e5b_alllayers,terekhova,CD4+ T,3,1,1005,166,0.661447,3.01533e-22,13.1542
loco_terekhova,loco_terekhova_e5b_alllayers,aida,CD4+ T,3,1,1005,293,0.600986,3.71856e-30,15.0206
loco_terekhova,loco_terekhova_e5b_alllayers,terekhova,CD4+ T,4,1,1005,166,0.703131,4.53756e-26,30.2248
loco_terekhova,loco_terekhova_e5b_alllayers,aida,CD4+ T,4,1,1005,293,0.555897,3.66007e-25,27.7539
loco_terekhova,loco_terekhova_e5b_alllayers,terekhova,CD4+ T,5,1,1005,166,0.628446,1.25562e-19,11.0547
loco_terekhova,loco_terekhova_e5b_alllayers,aida,CD4+ T,5,1,1005,293,0.565927,3.29898e-26,9.59964
loco_terekhova,loco_terekhova_e5b_alllayers,terekhova,CD4+ T,6,1,1005,166,0.559972,4.3765e-15,17.1222
loco_terekhova,loco_terekhova_e5b_alllayers,aida,CD4+ T,6,1,1005,293,0.382095,1.27812e-11,24.3289
loco_terekhova,loco_terekhova_e5b_alllayers,terekhova,CD4+ T,7,1,1005,166,0.460586,4.26755e-10,30.5643
loco_terekhova,loco_terekhova_e5b_alllayers,aida,CD4+ T,7,1,1005,293,0.304706,1.0349e-07,40.6656
loco_terekhova,loco_terekhova_e5b_alllayers,terekhova,CD4+ T,8,1,1005,166,0.482031,4.85008e-11,25.5258
loco_terekhova,loco_terekhova_e5b_alllayers,aida,CD4+ T,8,1,1005,293,0.13763,0.0184231,29.7345
loco_terekhova,loco_terekhova_e5b_alllayers,terekhova,CD4+ T,9,1,1005,166,0.340389,7.2165e-06,24.6743
loco_terekhova,loco_terekhova_e5b_alllayers,aida,CD4+ T,9,1,1005,293,0.0834962,0.153982,33.2388
loco_terekhova,loco_terekhova_e5b_alllayers,terekhova,CD4+ T,10,1,1005,166,0.201521,0.00922616,25.851
loco_terekhova,loco_terekhova_e5b_alllayers,aida,CD4+ T,10,1,1005,293,0.0519011,0.376047,27.6382
loco_terekhova,loco_terekhova_e5b_alllayers,terekhova,CD4+ T,11,1,1005,166,0.21929,0.00453065,18.8089
loco_terekhova,loco_terekhova_e5b_alllayers,aida,CD4+ T,11,1,1005,293,0.0725953,0.215362,24.3433
