label,fold,tag,eval_cohort,cell_type,layer,alpha,n_train_donors,n_eval_donors,pearson_r,pearson_p,mae_y
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,onek1k,B,0,0.1,195,981,-0.0940166,0.00320395,18.8435
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,aida,B,0,0.1,195,307,0.104821,0.066628,32.1198
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,onek1k,B,1,1,195,981,-0.0805927,0.0115656,20.3577
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,aida,B,1,1,195,307,0.0470117,0.411757,24.2858
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,onek1k,B,2,1,195,981,0.00369809,0.907905,33.7766
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,aida,B,2,1,195,307,0.0626163,0.274076,27.6823
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,onek1k,B,3,1,195,981,0.0221154,0.489016,32.4181
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,aida,B,3,1,195,307,-0.0235226,0.681421,26.4853
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,onek1k,B,4,10,195,981,0.0899832,0.00479507,22.2058
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,aida,B,4,10,195,307,-0.215297,0.000143769,16.2744
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,onek1k,B,5,1,195,981,0.0690357,0.0306115,39.343
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,aida,B,5,1,195,307,-0.163951,0.00397098,16.1547
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,onek1k,B,6,1,195,981,0.0415401,0.193609,38.8408
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,aida,B,6,1,195,307,-0.2102,0.000207666,14.8517
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,onek1k,B,7,1,195,981,0.036373,0.255053,40.5791
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,aida,B,7,1,195,307,-0.250595,8.83109e-06,14.8618
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,onek1k,B,8,1,195,981,0.0226903,0.477787,45.4769
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,aida,B,8,1,195,307,-0.233286,3.66039e-05,13.6418
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,onek1k,B,9,1,195,981,-0.0317708,0.320187,46.2804
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,aida,B,9,1,195,307,-0.294438,1.48131e-07,13.4249
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,onek1k,B,10,1,195,981,-0.0441111,0.16743,43.7488
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,aida,B,10,1,195,307,-0.316613,1.41594e-08,13.2756
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,onek1k,B,11,1,195,981,-0.0537197,0.0926423,43.8629
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,aida,B,11,1,195,307,-0.242077,1.80137e-05,12.0189
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,onek1k,B,12,1,195,981,0.0991176,0.0018826,63.7087
B_loco_onek1k_s0,loco_onek1k,loco_onek1k_B_e5b_alllayers,aida,B,12,1,195,307,0.0391188,0.494682,14.4573
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,0,0.01,195,981,0.177859,2.04219e-08,11.3268
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,0,0.01,195,306,0.0790353,0.167879,17.5308
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,1,0.1,195,981,0.172597,5.33186e-08,11.6057
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,1,0.1,195,306,0.15846,0.00546698,17.5833
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,2,0.1,195,981,0.170334,7.98452e-08,31.5289
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,2,0.1,195,306,0.0950811,0.096875,19.8814
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,3,1,195,981,0.367794,8.71978e-33,24.1633
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,3,1,195,306,0.130435,0.0224836,18.3692
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,4,1,195,981,0.353516,2.98078e-30,25.4382
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,4,1,195,306,0.0885281,0.122272,18.4552
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,5,1,195,981,0.353132,3.47366e-30,24.7132
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,5,1,195,306,0.0724413,0.206345,18.2965
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,6,1,195,981,0.329434,2.90469e-26,20.9856
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,6,1,195,306,0.0506325,0.377427,16.5529
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,7,1,195,981,0.338256,1.10293e-27,21.8154
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,7,1,195,306,0.0543282,0.343554,14.8681
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,8,1,195,981,0.341506,3.21671e-28,22.7486
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,8,1,195,306,0.130546,0.0223686,14.5478
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,9,0.1,195,981,0.356007,1.10027e-30,41.7825
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,9,0.1,195,306,0.196876,0.000532629,8.97388
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,10,1,195,981,0.350814,8.69807e-30,21.2794
