fold,eval_cohort,cell_type,layer,alpha,n_train_donors,n_eval_donors,pearson_r,mae_y,ci_lo,ci_hi,pred_mean,eval_mean
loco_onek1k,onek1k,CD4+ T,0,0.01,190,981,0.32781,12.3473,0.269414,0.385115,59.0944,63.9144
loco_onek1k,aida,CD4+ T,0,0.01,190,293,0.4153,10.0701,0.332904,0.500221,47.3796,41.7645
loco_onek1k,onek1k,CD4+ T,1,0.1,190,981,0.459381,10.2549,0.404615,0.511789,67.7316,63.9144
loco_onek1k,aida,CD4+ T,1,0.1,190,293,0.552568,10.173,0.483046,0.626552,48.0925,41.7645
loco_onek1k,onek1k,CD4+ T,2,0.1,190,981,0.42287,18.9778,0.365273,0.474023,81.4872,63.9144
loco_onek1k,aida,CD4+ T,2,0.1,190,293,0.571181,11.6722,0.503787,0.638095,46.2567,41.7645
loco_onek1k,onek1k,CD4+ T,3,0.1,190,981,0.40428,18.9295,0.345608,0.456221,44.9987,63.9144
loco_onek1k,aida,CD4+ T,3,0.1,190,293,0.597674,24.418,0.533229,0.661187,65.3983,41.7645
loco_onek1k,onek1k,CD4+ T,4,0.1,190,981,0.375886,11.5487,0.314089,0.430572,60.4189,63.9144
loco_onek1k,aida,CD4+ T,4,0.1,190,293,0.623304,17.6094,0.560418,0.68419,59.4705,41.7645
loco_onek1k,onek1k,CD4+ T,5,0.1,190,981,0.41305,11.5997,0.35318,0.46298,58.2173,63.9144
loco_onek1k,aida,CD4+ T,5,0.1,190,293,0.599421,21.5996,0.537858,0.670262,62.791,41.7645
loco_onek1k,onek1k,CD4+ T,6,0.01,190,981,0.354764,12.8205,0.292604,0.406299,58.7257,63.9144
loco_onek1k,aida,CD4+ T,6,0.01,190,293,0.463757,25.4971,0.3749,0.555749,66.1203,41.7645
loco_onek1k,onek1k,CD4+ T,7,0.01,190,981,0.389221,14.1417,0.327872,0.443714,53.1417,63.9144
loco_onek1k,aida,CD4+ T,7,0.01,190,293,0.450188,33.5427,0.363352,0.535215,74.0894,41.7645
loco_onek1k,onek1k,CD4+ T,8,0.01,190,981,0.389565,13.3585,0.326889,0.443319,74.983,63.9144
loco_onek1k,aida,CD4+ T,8,0.01,190,293,0.489177,32.6744,0.406761,0.570335,73.6448,41.7645
loco_onek1k,onek1k,CD4+ T,9,0.01,190,981,0.429996,14.2262,0.376976,0.478754,52.4058,63.9144
loco_onek1k,aida,CD4+ T,9,0.01,190,293,0.451526,27.549,0.363272,0.542589,68.477,41.7645
loco_onek1k,onek1k,CD4+ T,10,0.01,190,981,0.367922,16.0942,0.309989,0.421165,49.7306,63.9144
loco_onek1k,aida,CD4+ T,10,0.01,190,293,0.455578,22.2547,0.366879,0.540186,61.5634,41.7645
loco_onek1k,onek1k,CD4+ T,11,0.01,190,981,0.377711,15.233,0.318061,0.434237,51.3725,63.9144
loco_onek1k,aida,CD4+ T,11,0.01,190,293,0.5085,12.3081,0.42066,0.595273,36.4354,41.7645
loco_onek1k,onek1k,CD4+ T,12,0.1,190,981,0.323993,12.5111,0.263182,0.378411,68.1738,63.9144
loco_onek1k,aida,CD4+ T,12,0.1,190,293,0.46776,11.4722,0.390048,0.550239,45.9181,41.7645
loco_terekhova,terekhova,CD4+ T,0,0.1,1005,166,0.523566,12.4576,0.412454,0.622746,60.1037,49.5241
loco_terekhova,aida,CD4+ T,0,0.1,1005,293,0.410448,15.8464,0.307552,0.503475,57.0815,41.7645
loco_terekhova,terekhova,CD4+ T,1,0.1,1005,166,0.687585,11.344,0.607292,0.758301,59.7922,49.5241
loco_terekhova,aida,CD4+ T,1,0.1,1005,293,0.540056,14.8841,0.457193,0.617331,54.4649,41.7645
loco_terekhova,terekhova,CD4+ T,2,0.1,1005,166,0.674665,9.49039,0.585548,0.742116,53.8439,49.5241
loco_terekhova,aida,CD4+ T,2,0.1,1005,293,0.630613,12.2257,0.562572,0.693628,51.944,41.7645
loco_terekhova,terekhova,CD4+ T,3,0.1,1005,166,0.591464,8.50988,0.479451,0.689655,50.5684,49.5241
loco_terekhova,aida,CD4+ T,3,0.1,1005,293,0.54923,22.8922,0.466603,0.630827,63.7291,41.7645
loco_terekhova,terekhova,CD4+ T,4,0.1,1005,166,0.446888,12.9221,0.312771,0.576371,42.0035,49.5241
loco_terekhova,aida,CD4+ T,4,0.1,1005,293,0.602751,16.7667,0.534138,0.66609,29.9069,41.7645
loco_terekhova,terekhova,CD4+ T,5,0.1,1005,166,0.52875,12.2239,0.406318,0.639575,60.2842,49.5241
loco_terekhova,aida,CD4+ T,5,0.1,1005,293,0.533406,22.2903,0.454238,0.600321,55.5296,41.7645
loco_terekhova,terekhova,CD4+ T,6,0.1,1005,166,0.527178,31.211,0.393176,0.649959,80.6827,49.5241
