donor,pred_age,true_age
onek1k:1000_1001,48.516984939575195,73.0
onek1k:1001_1002,49.23795700073242,57.0
onek1k:1002_1003,48.353248596191406,73.0
onek1k:1003_1004,48.8773136138916,58.0
onek1k:1004_1005,48.19606399536133,74.0
onek1k:1005_1006,49.80149841308594,66.0
onek1k:1006_1007,48.069772720336914,73.0
onek1k:1007_1008,50.568058013916016,75.0
onek1k:1008_1009,49.2697868347168,71.0
onek1k:1009_1010,49.5462760925293,72.0
onek1k:1010_1011,49.415571212768555,71.0
onek1k:1011_1012,50.43571662902832,67.0
onek1k:1012_1013,50.46393585205078,70.0
onek1k:1014_1015,51.609296798706055,70.0
onek1k:1015_1016,47.62591743469238,67.0
onek1k:1016_1017,50.63722610473633,68.0
onek1k:1018_1019,49.128042221069336,68.0
onek1k:1019_1020,50.064117431640625,69.0
onek1k:101_101,48.36711120605469,71.0
onek1k:1020_1021,50.80135154724121,80.0
onek1k:1021_1022,50.1373176574707,75.0
onek1k:1022_1023,50.50934410095215,68.0
onek1k:1023_1024,49.99576759338379,60.0
onek1k:1024_1025,49.984230041503906,70.0
onek1k:1025_1026,50.53636169433594,57.0
onek1k:1026_1027,49.32574462890625,75.0
onek1k:1027_1028,49.41876983642578,70.0
onek1k:1028_1029,49.32609558105469,72.0
onek1k:1029_1030,50.317670822143555,72.0
onek1k:102_102,48.62290954589844,23.0
onek1k:1030_1031,50.02886390686035,60.0
onek1k:1031_1032,47.89987564086914,72.0
onek1k:1032_1033,50.51944923400879,59.0
onek1k:1033_1034,48.29929542541504,61.0
onek1k:1034_1035,48.718801498413086,64.0
onek1k:1035_1036,49.556623458862305,70.0
onek1k:1036_1037,49.366241455078125,78.0
onek1k:1037_1038,49.071712493896484,58.0
onek1k:1038_1039,49.08320617675781,61.0
onek1k:1039_1040,49.09921073913574,75.0
onek1k:1040_1041,50.346290588378906,72.0
onek1k:1041_1042,48.8470401763916,72.0
onek1k:1042_1043,49.00362777709961,57.0
onek1k:1043_1044,50.89693260192871,71.0
onek1k:1044_1045,50.20762825012207,65.0
onek1k:1045_1046,50.41268348693848,67.0
onek1k:1046_1047,50.60801696777344,62.0
onek1k:1047_1048,50.21362495422363,71.0
onek1k:1048_1049,48.96222114562988,64.0
onek1k:1049_1050,50.40807914733887,61.0
onek1k:104_104,48.440887451171875,57.0
onek1k:1050_1051,48.76078224182129,57.0
onek1k:1051_1052,50.074466705322266,63.0
onek1k:1052_1053,51.05108451843262,75.0
onek1k:1053_1054,49.324201583862305,62.0
onek1k:1054_1055,51.21626091003418,75.0
onek1k:1055_1056,48.64259338378906,71.0
onek1k:1056_1057,51.08514404296875,68.0
onek1k:1057_1058,51.1168327331543,71.0
onek1k:1058_1059,50.730987548828125,60.0
onek1k:1059_1060,49.00811004638672,70.0
onek1k:105_105,48.698747634887695,31.0
onek1k:1060_1061,50.75454330444336,59.0
onek1k:1061_1062,49.895206451416016,62.0
onek1k:1062_1063,49.553422927856445,59.0
onek1k:1063_1064,51.17012023925781,77.0
onek1k:1064_1065,49.73343849182129,70.0
onek1k:1065_1066,48.4615478515625,65.0
onek1k:1066_1067,47.71395683288574,71.0
onek1k:1068_1069,50.134511947631836,72.0
onek1k:106_106,48.77726173400879,80.0
onek1k:1070_1071,48.22421836853027,71.0
onek1k:1071_1072,49.20491981506348,73.0
onek1k:1072_1073,47.86788368225098,59.0
onek1k:1073_1074,48.88187217712402,68.0
onek1k:1074_1075,49.67118453979492,69.0
onek1k:1075_1076,49.07567596435547,57.0
onek1k:1076_1077,50.89367866516113,73.0
onek1k:1077_1078,50.56878089904785,61.0
onek1k:1078_1079,49.79848861694336,65.0
onek1k:1079_1080,49.729509353637695,77.0
onek1k:107_107,50.02189254760742,85.0
onek1k:1080_1081,49.59904098510742,71.0
onek1k:1081_1082,50.260433197021484,73.0
onek1k:108_108,49.926998138427734,67.0
onek1k:109_109,49.37969398498535,84.0
onek1k:10_10,48.64567565917969,78.0
onek1k:110_110,49.56646728515625,84.0
onek1k:111_111,48.892520904541016,69.0
onek1k:112_112,50.26299476623535,81.0
onek1k:113_113,49.31385803222656,67.0
onek1k:114_114,49.09524726867676,72.0
onek1k:116_116,49.64940071105957,77.0
onek1k:117_117,50.57943153381348,91.0
onek1k:119_119,47.76102256774902,38.0
onek1k:11_11,48.34745216369629,81.0
onek1k:120_120,47.62786865234375,46.0
onek1k:121_121,48.483097076416016,71.0
onek1k:122_122,49.074501037597656,67.0
onek1k:123_123,48.50897979736328,50.0
onek1k:124_124,49.332271575927734,71.0
onek1k:125_125,48.4893913269043,74.0
onek1k:126_126,49.65080642700195,65.0
onek1k:127_127,49.405588150024414,85.0
onek1k:128_128,47.85339546203613,37.0
onek1k:129_129,49.68425178527832,35.0
onek1k:12_12,48.15457534790039,52.0
onek1k:130_130,47.80446434020996,72.0
onek1k:131_131,50.15605163574219,67.0
onek1k:132_132,48.677734375,62.0
onek1k:133_133,50.01940155029297,62.0
onek1k:134_134,50.160085678100586,73.0
onek1k:137_137,50.36542320251465,87.0
onek1k:138_138,50.231082916259766,64.0
onek1k:139_139,50.57768440246582,79.0
onek1k:13_13,49.09235954284668,50.0
onek1k:140_140,49.877994537353516,60.0
onek1k:141_141,49.19095802307129,36.0
onek1k:142_142,50.39877128601074,67.0
onek1k:144_144,49.51886177062988,44.0
onek1k:145_145,49.5205078125,87.0
onek1k:146_146,49.53622817993164,63.0
onek1k:147_147,48.38009071350098,54.0
onek1k:148_148,49.01876640319824,62.0
onek1k:149_149,49.974056243896484,59.0
onek1k:150_150,49.22675132751465,31.0
onek1k:151_151,47.836965560913086,19.0
