donor,pred_age,true_age
onek1k:1000_1001,49.6808967590332,73.0
onek1k:1001_1002,50.41603088378906,57.0
onek1k:1002_1003,49.051605224609375,73.0
onek1k:1003_1004,50.21453666687012,58.0
onek1k:1004_1005,48.80462837219238,74.0
onek1k:1005_1006,50.67633056640625,66.0
onek1k:1006_1007,49.902061462402344,73.0
onek1k:1007_1008,51.580434799194336,75.0
onek1k:1008_1009,50.49396324157715,71.0
onek1k:1009_1010,50.64943313598633,72.0
onek1k:1010_1011,50.25383758544922,71.0
onek1k:1011_1012,51.781606674194336,67.0
onek1k:1012_1013,51.6312313079834,70.0
onek1k:1014_1015,52.568111419677734,70.0
onek1k:1015_1016,48.56947898864746,67.0
onek1k:1016_1017,51.820791244506836,68.0
onek1k:1018_1019,50.73533630371094,68.0
onek1k:1019_1020,51.07896423339844,69.0
onek1k:101_101,50.247941970825195,71.0
onek1k:1020_1021,51.7462272644043,80.0
onek1k:1021_1022,51.27982711791992,75.0
onek1k:1022_1023,51.818037033081055,68.0
onek1k:1023_1024,51.10750961303711,60.0
onek1k:1024_1025,51.66061210632324,70.0
onek1k:1025_1026,51.67419242858887,57.0
onek1k:1026_1027,50.70860481262207,75.0
onek1k:1027_1028,50.47889709472656,70.0
onek1k:1028_1029,50.46355056762695,72.0
onek1k:1029_1030,51.41036605834961,72.0
onek1k:102_102,50.52179145812988,23.0
onek1k:1030_1031,51.145097732543945,60.0
onek1k:1031_1032,49.636539459228516,72.0
onek1k:1032_1033,51.55116271972656,59.0
onek1k:1033_1034,49.04374885559082,61.0
onek1k:1034_1035,50.347787857055664,64.0
onek1k:1035_1036,51.09176826477051,70.0
onek1k:1036_1037,51.46103286743164,78.0
onek1k:1037_1038,50.791120529174805,58.0
onek1k:1038_1039,50.45111274719238,61.0
onek1k:1039_1040,50.09201431274414,75.0
onek1k:1040_1041,51.6687068939209,72.0
onek1k:1041_1042,49.863319396972656,72.0
onek1k:1042_1043,50.74959182739258,57.0
onek1k:1043_1044,51.76436996459961,71.0
onek1k:1044_1045,51.199466705322266,65.0
onek1k:1045_1046,51.6695442199707,67.0
onek1k:1046_1047,51.44864082336426,62.0
onek1k:1047_1048,51.47856521606445,71.0
onek1k:1048_1049,50.02982139587402,64.0
onek1k:1049_1050,51.567209243774414,61.0
onek1k:104_104,49.89332389831543,57.0
onek1k:1050_1051,50.356794357299805,57.0
onek1k:1051_1052,51.33607482910156,63.0
onek1k:1052_1053,52.11069869995117,75.0
onek1k:1053_1054,50.6332950592041,62.0
onek1k:1054_1055,52.22339630126953,75.0
onek1k:1055_1056,49.84847450256348,71.0
onek1k:1056_1057,51.822444915771484,68.0
onek1k:1057_1058,52.11046600341797,71.0
onek1k:1058_1059,52.07748603820801,60.0
onek1k:1059_1060,50.10520935058594,70.0
onek1k:105_105,49.29384803771973,31.0
onek1k:1060_1061,51.723716735839844,59.0
onek1k:1061_1062,51.216501235961914,62.0
onek1k:1062_1063,51.030887603759766,59.0
onek1k:1063_1064,52.194475173950195,77.0
onek1k:1064_1065,51.36978530883789,70.0
onek1k:1065_1066,49.98425483703613,65.0
onek1k:1066_1067,49.81418418884277,71.0
onek1k:1068_1069,50.814069747924805,72.0
onek1k:106_106,50.109832763671875,80.0
onek1k:1070_1071,49.76735877990723,71.0
onek1k:1071_1072,50.54852104187012,73.0
onek1k:1072_1073,50.11032676696777,59.0
onek1k:1073_1074,50.67416763305664,68.0
onek1k:1074_1075,51.2616081237793,69.0
onek1k:1075_1076,49.86612129211426,57.0
onek1k:1076_1077,52.36739540100098,73.0
onek1k:1077_1078,52.03007507324219,61.0
onek1k:1078_1079,50.765647888183594,65.0
onek1k:1079_1080,51.19510269165039,77.0
onek1k:107_107,51.02742958068848,85.0
onek1k:1080_1081,51.46052360534668,71.0
onek1k:1081_1082,51.73808670043945,73.0
onek1k:108_108,51.28023910522461,67.0
onek1k:109_109,51.28183174133301,84.0
onek1k:10_10,49.63353729248047,78.0
onek1k:110_110,50.55117988586426,84.0
onek1k:111_111,50.51584434509277,69.0
onek1k:112_112,51.292768478393555,81.0
onek1k:113_113,51.31980895996094,67.0
onek1k:114_114,50.43851089477539,72.0
onek1k:116_116,51.24018478393555,77.0
onek1k:117_117,51.6330623626709,91.0
onek1k:119_119,48.60252380371094,38.0
onek1k:11_11,49.767127990722656,81.0
onek1k:120_120,48.89558792114258,46.0
onek1k:121_121,49.79616165161133,71.0
onek1k:122_122,49.83648490905762,67.0
onek1k:123_123,49.551713943481445,50.0
onek1k:124_124,51.030975341796875,71.0
onek1k:125_125,49.76959037780762,74.0
onek1k:126_126,50.41990280151367,65.0
onek1k:127_127,50.628461837768555,85.0
onek1k:128_128,49.08465385437012,37.0
onek1k:129_129,50.74914360046387,35.0
onek1k:12_12,49.838754653930664,52.0
onek1k:130_130,49.35332107543945,72.0
onek1k:131_131,51.21244430541992,67.0
onek1k:132_132,50.368736267089844,62.0
onek1k:133_133,51.3889045715332,62.0
onek1k:134_134,51.22601127624512,73.0
onek1k:137_137,51.800838470458984,87.0
onek1k:138_138,51.267303466796875,64.0
onek1k:139_139,51.628997802734375,79.0
onek1k:13_13,50.70468521118164,50.0
onek1k:140_140,51.33661651611328,60.0
onek1k:141_141,50.47796630859375,36.0
onek1k:142_142,51.94206428527832,67.0
onek1k:144_144,50.78433418273926,44.0
onek1k:145_145,50.657047271728516,87.0
onek1k:146_146,51.2525520324707,63.0
onek1k:147_147,50.153446197509766,54.0
onek1k:148_148,50.08760070800781,62.0
onek1k:149_149,51.06282043457031,59.0
onek1k:150_150,50.57856559753418,31.0
onek1k:151_151,48.13180160522461,19.0
onek1k:152_152,51.56096649169922,68.0
onek1k:153_153,49.730838775634766,46.0
onek1k:154_154,50.771331787109375,67.0
onek1k:155_155,50.89512062072754,56.0
onek1k:156_156,50.85946846008301,73.0
onek1k:158_158,50.19444465637207,59.0
onek1k:159_159,50.28172302246094,63.0
onek1k:15_15,50.93957710266113,67.0
onek1k:160_160,50.658111572265625,60.0
onek1k:161_161,49.74886703491211,33.0
onek1k:163_163,50.780269622802734,56.0
onek1k:164_165,49.78707313537598,41.0
onek1k:165_166,50.078073501586914,61.0
onek1k:166_167,50.45596694946289,34.0
onek1k:167_168,51.20202445983887,58.0
onek1k:168_169,51.60015869140625,79.0
onek1k:169_170,49.83400917053223,20.0
onek1k:16_16,47.584163665771484,45.0
onek1k:170_171,50.182559967041016,43.0
onek1k:171_172,51.07732963562012,62.0
onek1k:172_173,50.03053283691406,23.0
onek1k:173_174,51.483768463134766,68.0
onek1k:175_176,51.3164005279541,49.0
onek1k:176_177,49.97908401489258,27.0
onek1k:177_178,50.417396545410156,19.0
onek1k:178_179,50.609527587890625,47.0
onek1k:179_180,48.47343063354492,31.0
onek1k:17_17,50.91661262512207,70.0
onek1k:180_181,49.81354522705078,68.0
onek1k:181_182,49.714176177978516,66.0
onek1k:182_183,51.361717224121094,70.0
onek1k:183_184,51.412010192871094,65.0
onek1k:184_185,50.874732971191406,83.0
onek1k:185_186,51.8925838470459,62.0
onek1k:186_187,50.1934871673584,28.0
onek1k:187_188,49.828670501708984,26.0
onek1k:188_189,51.9968204498291,46.0
onek1k:189_190,51.453853607177734,68.0
onek1k:18_18,50.45768928527832,80.0
onek1k:190_191,50.6859073638916,61.0
onek1k:191_192,50.85166549682617,55.0
onek1k:192_193,47.80921745300293,58.0
onek1k:193_194,50.12117958068848,63.0
onek1k:194_195,48.819082260131836,46.0
onek1k:196_197,50.96029472351074,72.0
onek1k:197_198,49.478477478027344,60.0
onek1k:198_199,47.04949760437012,27.0
onek1k:199_200,50.64343452453613,63.0
onek1k:19_19,50.77422523498535,74.0
onek1k:1_1,50.63669395446777,65.0
onek1k:200_201,49.23858642578125,53.0
onek1k:201_202,50.3166618347168,39.0
onek1k:202_203,50.48013877868652,49.0
onek1k:203_204,49.92764854431152,59.0
onek1k:204_205,50.31801795959473,60.0
onek1k:206_207,49.6967887878418,63.0
onek1k:207_208,50.15830421447754,39.0
onek1k:208_209,49.70768165588379,72.0
onek1k:209_210,49.505455017089844,93.0
onek1k:210_211,49.18761444091797,46.0
onek1k:211_212,51.04397201538086,53.0
onek1k:212_213,50.59158134460449,93.0
onek1k:213_214,50.365840911865234,86.0
onek1k:214_215,49.65859794616699,69.0
onek1k:215_216,50.26692199707031,60.0
onek1k:217_218,50.54097938537598,73.0
onek1k:219_220,50.62417030334473,67.0
onek1k:220_221,51.56667518615723,66.0
onek1k:221_222,50.95632743835449,84.0
onek1k:222_223,49.3966121673584,48.0
onek1k:223_224,50.88272476196289,71.0
onek1k:224_225,50.63180732727051,85.0
onek1k:225_226,48.66429901123047,32.0
onek1k:226_227,50.140750885009766,77.0
onek1k:229_230,49.92409896850586,27.0
onek1k:230_231,51.03907012939453,60.0
onek1k:231_232,50.224666595458984,40.0
onek1k:232_233,49.65746879577637,24.0
onek1k:233_234,48.65746879577637,67.0
onek1k:236_237,50.408729553222656,51.0
onek1k:237_238,48.10298728942871,25.0
onek1k:238_239,45.74749946594238,39.0
onek1k:239_240,48.64043617248535,39.0
onek1k:23_23,49.322736740112305,42.0
onek1k:240_241,48.78726005554199,68.0
onek1k:241_242,51.442710876464844,79.0
onek1k:242_243,50.311073303222656,82.0
onek1k:243_244,49.818336486816406,59.0
onek1k:244_245,50.8676815032959,79.0
onek1k:245_246,47.80024337768555,58.0
onek1k:246_247,48.80092239379883,28.0
onek1k:247_248,49.95173263549805,77.0
onek1k:248_249,51.22081756591797,69.0
onek1k:24_24,51.19012641906738,77.0
onek1k:250_251,49.35429763793945,63.0
onek1k:251_252,49.81892204284668,35.0
onek1k:252_253,48.42180824279785,29.0
onek1k:255_256,49.249019622802734,54.0
onek1k:256_257,49.65467643737793,52.0
onek1k:257_258,50.21179389953613,68.0
onek1k:258_259,49.40410804748535,68.0
onek1k:259_260,48.78279685974121,45.0
onek1k:25_25,50.576982498168945,64.0
onek1k:260_261,50.00533103942871,76.0
onek1k:262_263,48.911903381347656,66.0
onek1k:263_264,51.12072944641113,77.0
onek1k:264_265,50.95798873901367,59.0
onek1k:266_267,49.923309326171875,49.0
onek1k:267_268,50.668663024902344,61.0
onek1k:269_270,51.42524337768555,76.0
onek1k:270_271,50.05088233947754,64.0
onek1k:271_272,50.88259315490723,20.0
onek1k:272_273,50.04984474182129,54.0
onek1k:273_274,50.30305290222168,63.0
onek1k:274_275,50.668731689453125,66.0
onek1k:275_276,50.69125747680664,31.0
onek1k:276_277,50.53228569030762,65.0
onek1k:278_279,50.74856758117676,45.0
onek1k:279_280,50.62658882141113,73.0
onek1k:27_27,52.55737113952637,73.0
onek1k:280_281,50.663400650024414,25.0
onek1k:281_282,50.79337501525879,53.0
onek1k:282_283,51.099388122558594,40.0
onek1k:283_284,48.84523391723633,47.0
onek1k:284_285,51.78969192504883,30.0
onek1k:286_287,50.04846954345703,44.0
onek1k:287_288,50.33058738708496,79.0
onek1k:288_289,51.47374725341797,80.0
onek1k:289_290,49.42460250854492,29.0
onek1k:28_28,51.130550384521484,74.0
onek1k:290_291,50.40002250671387,53.0
onek1k:291_292,49.974185943603516,67.0
onek1k:292_293,47.99898338317871,76.0
onek1k:293_294,50.423728942871094,86.0
onek1k:294_295,50.00296401977539,54.0
onek1k:295_296,50.43066596984863,87.0
onek1k:296_297,51.209543228149414,80.0
onek1k:297_298,51.43258285522461,82.0
onek1k:298_299,51.000118255615234,74.0
onek1k:299_300,51.76279067993164,95.0
onek1k:29_29,50.55564880371094,69.0
onek1k:2_2,50.85134315490723,48.0
onek1k:301_302,50.95108222961426,88.0
onek1k:302_303,51.434770584106445,83.0
onek1k:303_304,50.55491256713867,85.0
onek1k:304_305,50.70792579650879,68.0
onek1k:305_306,51.66351890563965,74.0
onek1k:306_307,51.67424392700195,80.0
onek1k:307_308,51.14346122741699,91.0
onek1k:308_309,51.352041244506836,79.0
onek1k:309_310,50.954477310180664,75.0
onek1k:30_30,48.95714569091797,37.0
onek1k:310_311,50.367143630981445,80.0
onek1k:311_312,51.30268669128418,88.0
onek1k:312_313,51.909461975097656,84.0
onek1k:313_314,50.904008865356445,33.0
onek1k:314_315,51.89772415161133,80.0
onek1k:315_316,51.66736602783203,80.0
onek1k:316_317,49.92549514770508,76.0
onek1k:317_318,51.01778030395508,66.0
onek1k:318_319,51.8359432220459,88.0
onek1k:319_320,50.67795181274414,84.0
onek1k:320_321,52.38468360900879,89.0
onek1k:321_322,51.7302188873291,76.0
onek1k:322_323,51.41772270202637,90.0
onek1k:323_324,50.07621765136719,77.0
onek1k:324_325,51.7796516418457,97.0
onek1k:325_326,50.71112823486328,66.0
onek1k:326_327,50.625078201293945,66.0
onek1k:327_328,50.34397315979004,23.0
onek1k:328_329,51.53567314147949,65.0
onek1k:329_330,51.123727798461914,42.0
onek1k:330_331,51.72687530517578,63.0
onek1k:331_332,49.11042594909668,24.0
onek1k:332_333,50.12911796569824,62.0
onek1k:333_334,52.05438232421875,51.0
onek1k:334_335,49.81363868713379,60.0
onek1k:335_336,50.809486389160156,71.0
onek1k:336_337,52.208560943603516,57.0
onek1k:337_338,51.08698654174805,42.0
onek1k:338_339,50.16928482055664,69.0
onek1k:339_340,50.79899787902832,80.0
onek1k:33_33,50.7863826751709,73.0
onek1k:340_341,51.5589599609375,78.0
onek1k:342_343,51.140037536621094,80.0
onek1k:344_345,50.01972198486328,61.0
onek1k:345_346,50.74858093261719,66.0
onek1k:346_347,49.634796142578125,61.0
onek1k:347_348,50.799869537353516,49.0
onek1k:348_349,49.92808532714844,31.0
onek1k:349_350,49.9315128326416,51.0
onek1k:350_351,50.01944923400879,52.0
onek1k:351_352,50.1429500579834,77.0
onek1k:352_353,50.155696868896484,58.0
onek1k:353_354,50.161224365234375,71.0
onek1k:354_355,48.963510513305664,23.0
onek1k:355_356,47.077903747558594,27.0
onek1k:356_357,50.753347396850586,28.0
onek1k:357_358,49.308794021606445,39.0
onek1k:358_359,50.28575325012207,52.0
onek1k:359_360,51.10606002807617,58.0
onek1k:35_35,51.642629623413086,69.0
onek1k:360_361,50.62711715698242,46.0
onek1k:361_362,51.467790603637695,56.0
onek1k:363_364,50.17634201049805,66.0
onek1k:364_365,49.11311721801758,42.0
onek1k:365_366,50.22839164733887,67.0
onek1k:366_367,48.642333984375,35.0
onek1k:367_368,49.32933235168457,65.0
onek1k:368_369,48.60369110107422,36.0
onek1k:369_370,50.30827331542969,54.0
onek1k:36_36,51.96469306945801,66.0
onek1k:370_371,50.55617141723633,26.0
onek1k:371_372,49.695796966552734,41.0
onek1k:372_373,49.50982093811035,49.0
onek1k:373_374,50.98478126525879,78.0
onek1k:374_375,50.68411064147949,50.0
onek1k:376_377,51.10564422607422,79.0
onek1k:377_378,50.493404388427734,38.0
onek1k:378_379,51.75842475891113,22.0
onek1k:379_380,49.409568786621094,51.0
onek1k:37_37,51.072248458862305,47.0
onek1k:380_381,51.29922294616699,79.0
onek1k:381_382,50.63775634765625,77.0
onek1k:382_383,50.229862213134766,63.0
onek1k:383_384,51.705055236816406,81.0
onek1k:384_385,48.10335731506348,61.0
onek1k:385_386,49.30785942077637,47.0
onek1k:386_387,50.796016693115234,80.0
onek1k:387_388,50.970876693725586,65.0
onek1k:388_389,49.44131660461426,62.0
onek1k:389_390,51.69078063964844,81.0
onek1k:38_38,51.91412353515625,79.0
onek1k:390_391,49.51399803161621,78.0
onek1k:391_392,48.17945861816406,43.0
onek1k:392_393,48.9894962310791,56.0
onek1k:393_394,50.74329948425293,56.0
onek1k:394_395,49.22257995605469,37.0
onek1k:395_396,51.20904541015625,66.0
onek1k:396_397,50.052255630493164,57.0
